Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,385,3232270669,419,229,405,6,443,58133,0,0,0,0,4,3232270669,6,443,443,473,54,419,236.5,236.5,0.0,-2.0,33306.25,327.75,145.25,182.5,405,20,385,202.5,202.5,0.0,-2.0,33306.25,293.75,111.25,182.5,1633441029.681514,0.0,0.0
1,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,4,3232270669,6,443,443,560,54,419,87.0,186.66666666666663,0.6859105844425953,-1.4999999999999996,27170.888888888887,253.0,70.5,182.5,458,20,385,53.0,152.66666666666666,0.6859105844425953,-1.4999999999999996,27170.888888888887,219.0,36.5,182.5,1633441029.686124,0.0046100616455078,0.0046100616455078
2,1,0,0,1,1,3,412,3232270669,446,229,432,6,443,58133,0,0,0,0,4,3232270669,6,443,443,1006,54,446,253.0,251.5,-0.0040782460815998,-1.9726326964504093,32988.25,425.75,78.75,347.0,870,20,412,219.0,217.5,-0.0040782460815998,-1.9726326964504093,32988.25,391.75,44.75,347.0,1633441029.687996,0.0018718242645263,0.0064818859100341
3,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,1060,54,446,87.0,212.0,0.4017511074435657,-1.812044904857225,32631.6,419.0,54.0,365.0,890,20,412,53.0,178.0,0.4017511074435657,-1.812044904857225,32631.6,385.0,20.0,365.0,1633441029.71508,0.0270841121673584,0.033565998077392495
4,1,0,0,1,3,1,316,911297469,350,255,336,6,58133,443,0,0,0,0,4,3232270669,6,443,443,1410,54,446,218.5,235.0,0.0660648121618539,-1.889969921406055,29838.0,401.75,62.25,339.5,1206,20,412,184.5,201.0,0.0660648121618539,-1.889969921406055,29838.0,367.75,28.25,339.5,1633441029.720321,0.0052409172058105,0.03880691528320299
5,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,1464,54,446,87.0,209.14285714285717,0.3452689602700217,-1.7856665474805116,29586.979591836734,384.5,54.0,330.5,1226,20,412,53.0,175.14285714285714,0.3452689602700217,-1.7856665474805116,29586.979591836734,350.5,20.0,330.5,1633441029.749329,0.029008150100708,0.067815065383911
6,1,0,0,1,1,3,53,3232270669,87,229,73,6,443,58133,0,0,0,0,4,3232270669,6,443,443,1551,54,446,87.0,193.875,0.5637626016422902,-1.5785017045253396,27520.359375,367.25,54.0,313.25,1279,20,412,53.0,159.875,0.5637626016422902,-1.5785017045253396,27520.359375,333.25,20.0,313.25,1633441029.753779,0.0044498443603515,0.0722649097442625
7,1,0,0,1,1,3,414,3232270669,448,229,434,6,443,58133,0,0,0,0,4,3232270669,6,443,443,1999,54,448,87.0,222.11111111111111,0.2725808162415619,-1.837770514742889,30840.765432098764,419.0,54.0,365.0,1693,20,414,53.0,188.11111111111111,0.2725808162415619,-1.837770514742889,30840.765432098764,385.0,20.0,365.0,1633441029.796775,0.0429961681365966,0.1152610778808591
8,1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,0,0,0,0,4,3232270669,6,443,443,2053,54,448,87.0,205.3,0.4524700419532791,-1.710600958937968,30300.21,401.75,54.0,347.75,1713,20,414,53.0,171.3,0.4524700419532791,-1.710600958937968,30300.21,367.75,20.0,347.75,1633441029.800154,0.0033788681030273,0.1186399459838864
9,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,4,3232270669,6,443,443,2140,54,448,87.0,194.54545454545453,0.6059037743229466,-1.5423974847523747,28702.2479338843,384.5,54.0,330.5,1766,20,414,53.0,160.54545454545453,0.6059037743229466,-1.5423974847523747,28702.2479338843,350.5,20.0,330.5,1633441029.80348,0.0033259391784667,0.1219658851623531
10,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,2194,54,448,87.0,182.83333333333331,0.743209699494408,-1.3565467873877273,27819.30555555555,367.25,54.0,313.25,1786,20,414,53.0,148.83333333333334,0.743209699494408,-1.3565467873877273,27819.30555555555,333.25,20.0,313.25,1633441029.913085,0.109605073928833,0.23157095909118608
11,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,4,3232270669,6,443,443,2254,54,448,87.0,173.3846153846154,0.86847540904071,-1.154219882794869,26750.69822485207,350.0,54.0,296.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633441038.805353,8.892267942428589,9.123838901519775
12,1,0,0,1,3,1,51,911297469,85,255,71,6,58133,443,0,0,1,0,4,3232270669,6,443,443,2339,54,448,86.0,167.07142857142858,0.9805631903381902,-0.9397931620324712,25358.06632653061,284.25,54.0,230.25,1837,20,414,53.0,141.30769230769232,0.8661609655348598,-1.1523752009743575,26358.982248520708,316.0,20.0,296.0,1633441038.805353,0.0,9.123838901519775
13,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,4,3232270669,6,443,443,2381,42,448,85.0,158.73333333333332,1.0812203779871483,-0.7239183287365445,24640.86222222222,218.5,54.0,164.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633441038.805371,1.811981201171875e-05,9.123857021331787
14,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,2,0,4,3232270669,6,443,443,2435,42,448,72.5,152.1875,1.1795399832911655,-0.4988997677203657,23743.52734375,152.75,54.0,98.75,1857,20,414,52.0,132.64285714285714,0.9793485219123816,-0.940997089064143,25452.22959183673,250.25,20.0,230.25,1633441038.834247,0.0288760662078857,9.152733087539673
15,1,0,0,1,1,3,51,3232270669,85,229,71,6,443,58133,0,0,2,0,4,3232270669,6,443,443,2520,42,448,85.0,148.23529411764707,1.2693677422490384,-0.2693435053501365,22596.768166089965,87.0,54.0,33.0,1908,20,414,51.0,127.2,1.0831588723714296,-0.7195872870560631,24170.160000000007,184.5,20.0,164.5,1633441038.834304,5.698204040527344e-05,9.152790069580078
16,1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,0,0,2,0,4,3232270669,6,443,443,2574,42,448,72.5,143.0,1.3564948765770215,-0.0369172803837134,21807.33333333333,87.0,54.0,33.0,1928,20,414,51.0,120.5,1.1806758243849638,-0.4951647681282791,23332.875,118.75,20.0,98.75,1633441038.962641,0.1283369064331054,9.281126976013184
