Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,412,3232270669,446,229,432,6,443,58133,0,0,0,0,4,3232270669,6,443,443,3020,42,448,85.0,158.94736842105263,1.0952459847681455,-0.7078792538499394,25237.313019390585,218.5,54.0,164.5,2340,20,414,51.0,137.64705882352942,0.9280436277497264,-1.05358386152183,26664.69896193772,316.0,20.0,296.0,1633441145.662813,0.0,0.0
1,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,4,3232270669,6,443,443,3107,42,448,85.0,155.35,1.171047698029098,-0.5286276172166979,24221.3275,152.75,54.0,98.75,2393,20,414,52.0,132.94444444444446,1.0139811053571337,-0.8807924234577493,25559.274691358023,250.25,20.0,230.25,1633441145.667604,0.0047910213470458,0.0047910213470458
2,1,0,0,1,1,3,385,3232270669,419,229,405,6,443,58133,0,0,0,0,4,3232270669,6,443,443,419,419,419,419.0,419.0,0.0,-3.0,0.0,419.0,419.0,0.0,2778,20,414,53.0,146.21052631578948,0.8113051492337294,-1.266136571938295,27381.850415512465,350.5,20.0,330.5,1633441145.668032,0.0004279613494873,0.005218982696533101
3,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,473,54,419,236.5,236.5,0.0,-2.0,33306.25,327.75,145.25,182.5,2798,20,414,52.0,139.9,0.8901570387023242,-1.1304872710252698,26769.390000000003,333.25,20.0,313.25,1633441145.73769,0.0696580410003662,0.0748770236968993
4,1,0,0,1,3,1,316,911297469,350,255,336,6,58133,443,0,0,0,0,4,3232270669,6,443,443,823,54,419,350.0,274.3333333333333,-0.6077187390537803,-1.5000000000000009,25066.88888888889,384.5,202.0,182.5,316,316,316,316.0,316.0,0.0,-3.0,0.0,316.0,316.0,0.0,1633441145.742681,0.0049910545349121,0.0798680782318114
5,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,877,54,419,202.0,219.25,0.0632997310226475,-1.9160503636988195,27902.6875,367.25,54.0,313.25,336,20,316,168.0,168.0,0.0,-2.0,21904.0,242.0,94.0,148.0,1633441145.771509,0.0288279056549072,0.1086959838867186
6,1,0,0,1,1,3,53,3232270669,87,229,73,6,443,58133,0,0,0,0,4,3232270669,6,443,443,964,54,419,87.0,192.8,0.4483854396465037,-1.7017383690133947,25120.56,350.0,54.0,296.0,389,20,316,53.0,129.66666666666666,0.6743255617300926,-1.4999999999999996,17541.555555555555,184.5,36.5,148.0,1633441145.776804,0.0052950382232666,0.1139910221099852
7,1,0,0,1,1,3,414,3232270669,448,229,434,6,443,58133,0,0,0,0,4,3232270669,6,443,443,1412,54,448,218.5,235.33333333333331,0.068481572526719,-1.8868172188566368,29979.22222222222,401.75,62.25,339.5,803,20,414,184.5,200.75,0.1100787879538779,-1.818676310689636,28314.6875,340.5,44.75,295.75,1633441145.822826,0.0460219383239746,0.1600129604339598
8,1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,0,0,0,0,4,3232270669,6,443,443,1466,54,448,87.0,209.42857142857144,0.3473965763738434,-1.7816510623232604,29722.81632653061,384.5,54.0,330.5,823,20,414,53.0,164.6,0.4960848692332168,-1.6043443562731057,27879.04,316.0,20.0,296.0,1633441145.825617,0.0027911663055419,0.1628041267395017
9,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,4,3232270669,6,443,443,1553,54,448,87.0,194.125,0.5658406635048849,-1.57367812236597,27646.859375,367.25,54.0,313.25,876,20,414,53.0,146.0,0.784007623596317,-1.2219522844645252,24962.33333333333,250.25,28.25,222.0,1633441145.827945,0.0023279190063476,0.1651320457458493
10,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,1607,54,448,87.0,178.55555555555554,0.7524549443716221,-1.3277434721734125,26514.24691358025,350.0,54.0,296.0,896,20,414,53.0,128.0,1.0182170730415392,-0.7942910902861016,23340.285714285717,184.5,20.0,164.5,1633441145.901355,0.0734100341796875,0.2385420799255368
