Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,411,3232270669,445,229,431,6,443,58133,0,0,0,0,4,3232270669,6,443,443,2052,54,448,87.0,205.2,0.451983759703674,-1.7115214367400828,30252.16,401.75,54.0,347.75,1307,20,414,53.0,163.375,0.5754662204501121,-1.5597212799940965,29182.484375,339.75,20.0,319.75,1633440976.232218,0.0,0.0
1,1,0,0,1,1,3,384,3232270669,418,229,404,6,443,58133,0,0,0,0,4,3232270669,6,443,443,2470,54,448,87.0,224.54545454545453,0.2204551246940081,-1.8794332490358776,31244.42975206612,418.5,54.0,364.5,1691,20,414,53.0,187.88888888888889,0.272155054756997,-1.838135479968687,30747.432098765432,384.0,20.0,364.0,1633440976.235901,0.0036830902099609,0.0036830902099609
2,1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,0,0,0,0,4,3232270669,6,443,443,2524,54,448,87.0,210.33333333333331,0.3728309913482013,-1.7918868464629143,30862.55555555556,418.25,54.0,364.25,1711,20,414,53.0,171.1,0.4520682599861758,-1.7110941135780964,30209.49000000001,367.0,20.0,347.0,1633440976.238345,0.002443790435791,0.0061268806457519
3,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,4,3232270669,6,443,443,2611,54,448,87.0,200.84615384615384,0.5042904365605609,-1.671703548031515,29568.591715976327,418.0,54.0,364.0,1764,20,414,53.0,160.36363636363637,0.6054997836214994,-1.5429946016123426,28615.86776859504,350.0,20.0,330.0,1633440976.239274,0.0009291172027587,0.0070559978485106
4,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,2665,54,448,87.0,190.3571428571429,0.624253729854152,-1.5366335905594593,28886.80102040816,401.0,54.0,347.0,1784,20,414,53.0,148.66666666666666,0.7428139669752893,-1.3572423425508342,27736.22222222223,333.0,20.0,313.0,1633440976.268065,0.0287909507751464,0.035846948623657005
5,1,0,0,1,3,1,315,911297469,349,255,335,6,58133,443,0,0,0,0,4,3232270669,6,443,443,3014,54,448,87.0,200.9333333333333,0.4608382544725345,-1.6866006073191273,28526.99555555556,384.0,54.0,330.0,2099,20,414,53.0,161.46153846153845,0.5376882127910172,-1.5888809953584466,27567.17159763314,316.0,20.0,296.0,1633440976.270569,0.0025041103363037,0.0383510589599607
6,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,3068,54,448,87.0,191.75,0.5665605782439718,-1.5793171445384178,28009.0625,367.0,54.0,313.0,2119,20,414,53.0,151.35714285714286,0.6564423589534375,-1.4480841503128734,26925.372448979597,315.75,20.0,295.75,1633440976.299614,0.0290448665618896,0.06739592552185031
7,1,0,0,1,1,3,53,3232270669,87,229,73,6,443,58133,0,0,0,0,4,3232270669,6,443,443,3155,54,448,87.0,185.58823529411765,0.6617267122852719,-1.4571579561625514,26968.94809688581,350.0,54.0,296.0,2172,20,414,53.0,144.8,0.7631106543453214,-1.289947915923778,25732.293333333328,315.5,20.0,295.5,1633440976.303743,0.0041289329528808,0.07152485847473111
8,1,0,0,1,1,3,413,3232270669,447,229,433,6,443,58133,0,0,0,0,4,3232270669,6,443,443,3602,54,448,87.0,200.11111111111111,0.5030074157510711,-1.6524355733562528,29056.209876543213,401.0,54.0,347.0,2585,20,414,53.0,161.5625,0.5720569083973309,-1.5629317041546007,28338.74609375,333.0,20.0,313.0,1633440976.359954,0.056211233139038,0.12773609161376911
9,1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,0,0,0,0,4,3232270669,6,443,443,3656,54,448,87.0,192.42105263157896,0.5907742087909347,-1.5571137142368816,28591.40166204986,384.0,54.0,330.0,2605,20,414,53.0,153.23529411764707,0.6686608977335886,-1.4433841277584178,27781.23875432526,316.0,20.0,296.0,1633440976.365395,0.0054409503936767,0.13317704200744582
10,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,4,3232270669,6,443,443,3743,54,448,87.0,187.15,0.6712188565096331,-1.4514514873595057,27689.7275,367.0,54.0,313.0,2658,20,414,53.0,147.66666666666666,0.7571954394996347,-1.3121348957884598,26765.0,315.75,20.0,295.75,1633440976.365395,0.0,0.13317704200744582
11,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,2678,20,414,53.0,140.94736842105263,0.840799633698498,-1.1775466665681398,26168.997229916906,315.5,20.0,295.5,1633440976.447827,0.0824320316314697,0.21560907363891552
