Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,384,3232270669,418,229,404,6,443,58133,0,0,0,0,4,3232270669,6,443,443,3011,54,447,87.0,200.7333333333333,0.4609554816449516,-1.6862791677331417,28445.262222222223,383.5,54.0,329.5,2070,20,413,53.0,159.23076923076923,0.5258363386735307,-1.6119293792801046,26519.254437869826,315.0,20.0,295.0,1633441193.590748,0.0,0.0
1,1,0,0,1,1,3,411,3232270669,445,229,431,6,443,58133,0,0,0,0,4,3232270669,6,443,443,3456,54,447,87.0,216.0,0.305243652197857,-1.8139011096735156,30163.5,418.0,54.0,364.0,2481,20,413,53.0,177.21428571428572,0.3447258073064378,-1.7775275688764651,28829.3112244898,366.75,20.0,346.75,1633441193.591582,0.0008339881896972,0.0008339881896972
2,1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,0,0,0,0,4,3232270669,6,443,443,3510,54,447,87.0,206.4705882352941,0.4090871782063789,-1.7420057626387977,29842.131487889277,418.0,54.0,364.0,2501,20,413,53.0,166.73333333333332,0.4609554816449517,-1.6862791677331417,28445.262222222223,349.5,20.0,329.5,1633441193.593796,0.0022139549255371,0.0030479431152343
3,1,0,0,1,3,1,53,911297469,87,255,73,6,58133,443,0,0,0,0,4,3232270669,6,443,443,3597,54,447,87.0,199.83333333333331,0.5025807395676211,-1.6532424761600186,28933.13888888889,400.75,54.0,346.75,2554,20,413,53.0,159.625,0.5650783482750884,-1.5752146194803764,27425.359375,332.25,20.0,312.25,1633441193.595985,0.0021889209747314,0.005236864089965701
4,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,3651,54,447,87.0,192.1578947368421,0.5903554941999467,-1.5579801947680396,28470.764542936293,383.5,54.0,329.5,2574,20,413,53.0,151.41176470588235,0.6618276972880253,-1.4567969408761043,26891.418685121116,315.0,20.0,295.0,1633441193.624833,0.0288481712341308,0.0340850353240965
5,1,0,0,1,3,1,315,911297469,349,255,335,6,58133,443,0,0,0,0,4,3232270669,6,443,443,4000,54,447,87.0,200.0,0.4690022956396559,-1.6678625453095173,28215.7,366.25,54.0,312.25,2889,20,413,53.0,160.5,0.5169227030503107,-1.6106406823828177,26801.58333333333,315.0,20.0,295.0,1633441193.627443,0.0026099681854248,0.0366950035095213
6,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,58133,0,0,0,0,4,3232270669,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,2909,20,413,53.0,153.10526315789474,0.6042521253047286,-1.5137779725433569,26375.252077562327,315.0,20.0,295.0,1633441193.656385,0.0289418697357177,0.065636873245239
7,1,0,0,1,1,3,53,3232270669,87,229,73,6,443,58133,0,0,0,0,4,3232270669,6,443,443,141,54,87,70.5,70.5,0.0,-2.0,272.25,78.75,62.25,16.5,2962,20,413,53.0,148.1,0.6844033238493772,-1.4057761381775766,25532.49,315.0,20.0,295.0,1633441193.661514,0.0051290988922119,0.0707659721374509
8,1,0,0,1,1,3,413,3232270669,447,229,433,6,443,58133,0,0,0,0,4,3232270669,6,443,443,588,54,447,87.0,196.0,0.6889214061585173,-1.5,31682.0,267.0,70.5,196.5,413,413,413,413.0,413.0,0.0,-3.0,0.0,413.0,413.0,0.0,1633441193.704261,0.0427470207214355,0.11351299285888639
9,1,0,0,1,3,1,20,911297469,54,255,40,6,58133,443,0,0,0,0,4,3232270669,6,443,443,642,54,447,70.5,160.5,1.132365822809298,-0.6851437280826338,27542.25,177.0,54.0,123.0,433,20,413,216.5,216.5,0.0,-2.0,38612.25,314.75,118.25,196.5,1633441193.707362,0.0031008720397949,0.11661386489868128
