Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,384,3232270669,418,229,404,6,443,65130,0,0,0,0,5,3232270669,6,443,443,3910,54,1514,54.0,205.7894736842105,3.004501944788192,8.661768036548004,115304.69252077564,164.5,54.0,110.5,1360,20,424,20.0,80.0,1.981000057625888,2.2611854610147564,16031.411764705885,51.0,20.0,31.0,1633349312.852346,0.0,0.0
1,1,0,0,1,1,3,411,3232270669,445,229,431,6,443,65130,0,0,0,0,5,3232270669,6,443,443,4355,54,1514,54.0,217.75,2.8823373967707067,8.282069865466088,112257.4875,287.5,54.0,233.5,1771,20,424,20.0,98.38888888888889,1.5414087556797895,0.572920076911632,20889.34876543209,51.0,20.0,31.0,1633349312.85291,0.0005640983581542,0.0005640983581542
2,1,0,0,1,3,1,20,583304131,54,255,40,6,65130,443,0,0,0,0,6,3232270669,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,1791,20,424,20.0,94.26315789473684,1.62600451848654,0.8464203357972933,20096.299168975067,51.0,20.0,31.0,1633349312.857462,0.004551887512207,0.0051159858703612
3,1,0,0,1,3,1,53,583304131,87,255,73,6,65130,443,0,0,0,0,6,3232270669,6,443,443,141,54,87,70.5,70.5,0.0,-2.0,272.25,78.75,62.25,16.5,1844,20,424,20.0,92.2,1.7010816204437724,1.1152250898690284,19172.360000000004,51.5,20.0,31.5,1633349312.87216,0.0146980285644531,0.0198140144348143
4,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,65130,0,0,0,0,6,3232270669,6,443,443,195,54,87,54.0,65.0,0.7071067811865476,-1.5,242.0,70.5,54.0,16.5,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633349312.943992,0.0718319416046142,0.0916459560394285
5,1,0,0,1,3,1,316,583304131,350,255,336,6,65130,443,0,0,0,0,6,3232270669,6,443,443,545,54,350,70.5,136.25,1.1151274713361767,-0.7001445388714624,15411.1875,152.75,54.0,98.75,336,20,316,168.0,168.0,0.0,-2.0,21904.0,242.0,94.0,148.0,1633349312.947517,0.0035250186920166,0.0951709747314451
6,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,65130,0,0,0,0,6,3232270669,6,443,443,599,54,350,54.0,119.8,1.4562557017731763,0.1863428915920315,13411.359999999995,87.0,54.0,33.0,356,20,316,20.0,118.66666666666669,0.7071067811865475,-1.5,19470.22222222222,168.0,20.0,148.0,1633349312.976448,0.0289311408996582,0.12410211563110331
7,1,0,0,1,1,3,53,3232270669,87,229,73,6,443,65130,0,0,0,0,6,3232270669,6,443,443,686,54,350,70.5,114.33333333333331,1.7131425519867205,1.0610522888820677,11325.555555555557,87.0,54.0,33.0,409,20,316,36.5,102.25,1.1151274713361767,-0.7001445388714624,15411.1875,118.75,20.0,98.75,1633349312.980908,0.0044598579406738,0.12856197357177712
8,1,0,0,1,1,3,413,3232270669,447,229,433,6,443,65130,0,0,0,0,6,3232270669,6,443,443,1133,54,447,87.0,161.85714285714286,1.0165415836913203,-0.7995666850740886,23258.693877551017,218.5,54.0,164.5,822,20,413,53.0,164.4,0.4943269694754394,-1.6079396801379633,27779.44,316.0,20.0,296.0,1633349313.031588,0.0506801605224609,0.17924213409423803
9,1,0,0,1,3,1,20,583304131,54,255,40,6,65130,443,0,0,0,0,6,3232270669,6,443,443,1187,54,447,70.5,148.375,1.218734796673927,-0.3398344617706441,21623.734375,152.75,54.0,98.75,842,20,413,36.5,140.33333333333334,0.7850561168413642,-1.2391761165033992,26045.55555555555,250.25,20.0,230.25,1633349313.03452,0.0029318332672119,0.18217396736144992
10,1,0,0,1,3,1,53,583304131,87,255,73,6,65130,443,0,0,0,0,6,3232270669,6,443,443,1274,54,447,87.0,141.55555555555554,1.3929264551628269,0.1414209583254839,19593.135802469136,87.0,54.0,33.0,895,20,413,53.0,127.85714285714286,1.01654158369132,-0.7995666850740895,23258.693877551024,184.5,20.0,164.5,1633349313.036792,0.0022721290588378,0.18444609642028773
11,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,65130,0,0,0,0,6,3232270669,6,443,443,1328,54,447,70.5,132.8,1.553385808406957,0.6268470164550384,18323.76,87.0,54.0,33.0,915,20,413,36.5,114.375,1.218734796673927,-0.3398344617706441,21623.734375,118.75,20.0,98.75,1633349313.107987,0.0711948871612548,0.2556409835815425
