Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,1,56,3232270593,90,255,76,17,4404,53,1,0,0,0,7,3232270669,6,443,443,90,90,90,90.0,90.0,0.0,-3.0,0.0,90.0,90.0,0.0,1903,20,453,53.0,126.86666666666666,1.2734491335849818,-0.032431461132655,23603.982222222217,172.0,20.0,152.0,1633369159.730622,0.0,0.0
1,0,1,0,0,1,2,104,3232270669,138,128,124,17,53,4404,2,0,0,0,7,3232270669,6,443,443,228,90,138,114.0,114.0,0.0,-2.0,576.0,126.0,102.0,24.0,2007,20,453,53.0,125.4375,1.341062439133383,0.207641899411088,22159.37109375,150.0,20.0,130.0,1633369159.763679,0.0330569744110107,0.0330569744110107
2,1,0,0,1,3,1,28,872922970,62,255,48,6,50359,443,2,0,0,0,8,3232270669,6,443,443,290,62,138,90.0,96.66666666666669,0.3090582912108682,-1.5000000000000009,984.888888888889,114.0,76.0,38.0,2035,20,453,53.0,119.70588235294116,1.4319247287840913,0.4695032513759654,21381.50173010381,104.0,20.0,84.0,1633369159.773903,0.0102238655090332,0.043280839920043904
3,1,0,0,1,1,3,28,3232270669,62,222,48,6,443,50359,2,0,0,0,8,3232270669,6,443,443,352,62,138,76.0,88.0,0.7505360194744951,-1.0727432378919095,964.0,102.0,62.0,40.0,2063,20,453,53.0,114.61111111111111,1.5184196687356883,0.7352506631471192,20634.90432098765,92.0,22.0,70.0,1633369159.803787,0.0298840999603271,0.07316493988037101
4,1,0,0,1,3,1,20,872922970,54,255,40,6,50359,443,2,0,0,0,8,3232270669,6,443,443,406,54,138,62.0,81.2,1.012320558494886,-0.5424939382698133,956.16,90.0,62.0,28.0,2083,20,453,53.0,109.63157894736842,1.5980106955271889,0.9969125295500344,19995.180055401663,80.0,20.0,60.0,1633369159.806375,0.0025880336761474,0.07575297355651842
5,1,0,0,1,3,1,203,872922970,237,255,223,6,50359,443,2,0,0,0,8,3232270669,6,443,443,643,54,237,76.0,107.16666666666669,1.163290222482018,-0.1081005413217139,4168.138888888888,126.0,62.0,64.0,2286,20,453,53.0,114.3,1.5018234693085446,0.8317215305407339,19409.51,128.75,20.0,108.75,1633369159.809574,0.0031988620758056,0.07895183563232401
6,1,0,0,1,1,3,20,3232270669,54,223,40,6,443,50359,2,0,0,0,8,3232270669,6,443,443,697,54,237,62.0,99.57142857142856,1.372016791227796,0.455860105446856,3918.816326530613,114.0,58.0,56.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633369159.838442,0.0288681983947753,0.1078200340270993
7,1,0,0,1,1,3,116,3232270669,150,223,136,6,443,50359,2,0,0,0,8,3232270669,6,443,443,847,54,237,76.0,105.875,1.0641277375306093,-0.0671660657686112,3707.109375,141.0,60.0,81.0,136,20,116,68.0,68.0,0.0,-2.0,2304.0,92.0,44.0,48.0,1633369159.838498,5.602836608886719e-05,0.10787606239318817
8,1,0,0,1,1,3,1480,3232270669,1514,223,1500,6,443,50359,2,0,0,0,8,3232270669,6,443,443,2361,54,1514,90.0,262.3333333333333,2.3986933962403363,3.900880010665008,199128.8888888889,150.0,62.0,88.0,1616,20,1480,116.0,538.6666666666666,0.6961293003011466,-1.4999999999999998,444590.2222222222,798.0,68.0,730.0,1633369159.838784,0.0002858638763427,0.10816192626953088
9,1,0,0,1,1,3,1480,3232270669,1514,223,1500,6,443,50359,2,0,0,0,8,3232270669,6,443,443,3875,54,1514,114.0,387.5,1.466442529959208,0.202046024827597,320216.25,215.25,62.0,153.25,3096,20,1480,798.0,774.0,-0.0069097198191743,-1.99079235127868,499588.0,1480.0,92.0,1388.0,1633369159.838844,6.008148193359375e-05,0.10822200775146447
10,1,0,0,1,1,3,1177,3232270669,1211,223,1197,6,443,50359,2,0,0,0,8,3232270669,6,443,443,5086,54,1514,138.0,462.3636363636364,1.0460019313821591,-0.8050744948373882,347151.3223140495,724.0,62.0,662.0,4273,20,1480,1177.0,854.6,-0.3323961773513344,-1.7862469128222325,425655.84,1480.0,116.0,1364.0,1633369159.839111,0.0002670288085937,0.10848903656005816
11,1,0,0,1,1,3,358,3232270669,392,223,378,6,443,50359,2,0,0,0,8,3232270669,6,443,443,5478,54,1514,144.0,456.5,1.1215731601283274,-0.5652397752742151,318600.25,596.75,62.0,534.75,4631,20,1480,767.5,771.8333333333334,-0.0007767178551464,-1.8281124154780612,388964.8055555556,1404.25,176.5,1227.75,1633369159.839739,0.0006279945373535,0.10911703109741167
12,1,0,0,1,1,3,29,3232270669,63,223,49,6,443,50359,2,0,0,0,8,3232270669,6,443,443,5541,54,1514,138.0,426.2307692307692,1.2415923856387645,-0.2750796458760614,305087.25443786976,392.0,62.0,330.0,4660,20,1480,358.0,665.7142857142857,0.2762012727214196,-1.768350819761994,400965.91836734704,1328.5,72.5,1256.0,1633369159.839795,5.602836608886719e-05,0.10917305946350053
13,1,0,0,1,3,1,20,872922970,54,255,40,6,50359,443,2,0,0,0,8,3232270669,6,443,443,5595,54,1514,114.0,399.6428571428572,1.3525320567394818,0.020516290409863,292485.22959183675,353.25,62.0,291.25,4680,20,1480,237.0,585.0,0.4976784877500327,-1.603024229161198,396448.75,1252.75,26.75,1226.0,1633369159.842412,0.0026168823242187,0.11178994178771923
14,1,0,0,1,3,1,20,872922970,54,255,40,6,50359,443,2,0,0,0,8,3232270669,6,443,443,5649,54,1514,90.0,376.6,1.4567920128520038,0.3212627916267219,280419.84,314.5,58.0,256.5,4700,20,1480,116.0,522.2222222222222,0.6849464896921785,-1.3832185539727744,383927.2839506173,1177.0,20.0,1157.0,1633369159.843369,0.0009570121765136,0.11274695396423283
15,1,0,0,1,3,1,20,872922970,54,255,40,6,50359,443,2,0,0,0,8,3232270669,6,443,443,5703,54,1514,76.5,356.4375,1.5553421276559325,0.626023107463332,268991.49609375,275.75,54.0,221.75,4720,20,1480,72.5,472.0,0.8484388237341431,-1.1315879055375424,368235.0,972.25,20.0,952.25,1633369159.844052,0.0006830692291259,0.11343002319335872
