Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,3,1,287,56331962,321,255,307,6,50355,443,0,0,0,0,9,3232270669,6,443,443,321,321,321,321.0,321.0,0.0,-3.0,0.0,321.0,321.0,0.0,1599,20,452,20.0,106.6,1.304931681145595,0.1946137917169434,19345.04,170.0,20.0,150.0,1633369064.302694,0.0,0.0
1,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,50355,0,0,0,0,9,3232270669,6,443,443,375,54,321,187.5,187.5,0.0,-2.0,17822.25,254.25,120.75,133.5,1619,20,452,20.0,101.1875,1.403355139933232,0.4719188079440402,18575.40234375,111.5,20.0,91.5,1633369064.331552,0.028857946395874,0.028857946395874
2,1,0,0,1,1,3,53,3232270669,87,229,73,6,443,50355,0,0,0,0,9,3232270669,6,443,443,462,54,321,87.0,154.0,0.6664421717740723,-1.5,14126.0,204.0,70.5,133.5,1672,20,452,20.0,98.3529411764706,1.4920073229219617,0.7610138304963017,17611.287197231835,53.0,20.0,33.0,1633369064.338172,0.0066199302673339,0.0354778766632079
3,1,0,0,1,1,3,452,3232270669,486,229,472,6,443,50355,0,0,0,0,9,3232270669,6,443,443,948,54,486,204.0,237.0,0.2952364047563446,-1.5874911877254274,31261.5,362.25,78.75,283.5,2124,20,452,20.0,118.0,1.238693656931256,-0.0763969273506655,23195.0,228.5,20.0,208.5,1633369064.458986,0.1208140850067138,0.1562919616699217
4,1,0,0,1,3,1,20,56331962,54,255,40,6,50355,443,0,0,0,0,9,3232270669,6,443,443,1002,54,486,87.0,200.4,0.6544272322115654,-1.2760692522021857,30367.44,321.0,54.0,267.0,2144,20,452,20.0,112.84210526315788,1.3207241415430355,0.1401602936947092,22453.08033240997,170.0,20.0,150.0,1633369064.462071,0.0030848979949951,0.1593768596649168
5,1,0,0,1,3,1,53,56331962,87,255,73,6,50355,443,0,0,0,0,9,3232270669,6,443,443,1089,54,486,87.0,181.5,0.9386677553087076,-0.8056522078204398,27092.25,262.5,62.25,200.25,2197,20,452,20.0,109.85,1.3968126958477076,0.3662375164815286,21500.5275,111.5,20.0,91.5,1633369064.464384,0.0023131370544433,0.1616899967193601
6,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,50355,0,0,0,0,9,3232270669,6,443,443,1143,54,486,87.0,163.28571428571428,1.1678883827421271,-0.3120696185031604,25212.489795918373,204.0,54.0,150.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633369064.535425,0.0710408687591552,0.2327308654785153
7,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,9,3232270669,6,443,443,1203,54,486,73.5,150.375,1.3714790835576531,0.2190298255935192,23227.734375,145.5,54.0,91.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633369074.47716,9.94173502922058,10.174465894699095
8,1,0,0,1,3,1,51,56331962,85,255,71,6,50355,443,0,0,1,0,9,3232270669,6,443,443,1288,54,486,85.0,143.11111111111111,1.5512811269251847,0.7778195440897218,21068.98765432099,87.0,54.0,33.0,71,20,51,35.5,35.5,0.0,-2.0,240.25,43.25,27.75,15.5,1633369074.47716,0.0,10.174465894699095
9,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,9,3232270669,6,443,443,1330,42,486,72.5,133.0,1.7016268501800682,1.3016967503249963,19882.2,87.0,54.0,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633369074.47718,2.002716064453125e-05,10.17448592185974
10,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,50355,0,0,2,0,9,3232270669,6,443,443,1384,42,486,60.0,125.8181818181818,1.8514087027936417,1.856610637231368,18590.51239669422,87.0,54.0,33.0,91,20,51,20.0,30.33333333333333,0.7071067811865476,-1.5,213.55555555555557,35.5,20.0,15.5,1633369074.506024,0.028843879699707,10.203329801559446
11,1,0,0,1,1,3,51,3232270669,85,229,71,6,443,50355,0,0,2,0,9,3232270669,6,443,443,1469,42,486,72.5,122.41666666666669,1.9876489271189155,2.4229988036672934,17168.576388888887,87.0,54.0,33.0,142,20,51,35.5,35.5,0.0,-2.0,240.25,51.0,20.0,31.0,1633369074.50707,0.0010461807250976,10.204375982284544
12,1,0,0,1,3,1,20,56331962,54,255,40,6,50355,443,0,0,2,0,9,3232270669,6,443,443,1523,42,486,60.0,117.15384615384616,2.1176174577762046,2.9826547488106776,16180.284023668635,87.0,54.0,33.0,162,20,51,20.0,32.4,0.4082482904638632,-1.8333333333333333,230.64,51.0,20.0,31.0,1633369074.607706,0.1006360054016113,10.305011987686155
