Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,384,3232270669,418,229,404,6,443,65130,0,0,0,0,9,3232270669,6,443,443,1201,54,447,87.0,171.57142857142858,0.9336952512715258,-1.0859044945788872,27480.24489795919,252.5,54.0,198.5,2382,20,413,51.0,125.36842105263158,1.0916154846871593,-0.7149866961361866,23961.49584487535,184.5,20.0,164.5,1633350171.739181,0.0,0.0
1,1,0,0,1,1,3,411,3232270669,445,229,431,6,443,65130,0,0,0,0,9,3232270669,6,443,443,1646,54,447,87.0,205.75,0.5071027453754369,-1.7139862611002186,32222.4375,424.75,54.0,370.75,2793,20,413,52.0,139.65,0.8895088381866962,-1.1319813351234302,26638.7275,333.0,20.0,313.0,1633350171.741564,0.0023829936981201,0.0023829936981201
2,1,0,0,1,3,1,53,583304131,87,255,73,6,65130,443,0,0,0,0,9,3232270669,6,443,443,1733,54,447,87.0,192.55555555555557,0.6939865719228184,-1.4832747556797743,30034.91358024691,418.0,54.0,364.0,53,53,53,53.0,53.0,0.0,-3.0,0.0,53.0,53.0,0.0,1633350171.74488,0.0033159255981445,0.0056989192962646
3,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,65130,0,0,0,0,9,3232270669,6,443,443,1787,54,447,87.0,178.7,0.8577177678964958,-1.226384979432426,28759.21,335.25,54.0,281.25,73,20,53,36.5,36.5,0.0,-2.0,272.25,44.75,28.25,16.5,1633350171.773843,0.0289630889892578,0.0346620082855224
4,1,0,0,1,3,1,316,583304131,350,255,336,6,65130,443,0,0,0,0,9,3232270669,6,443,443,2137,54,447,87.0,194.27272727272728,0.604958408605948,-1.5442221988723637,28569.8347107438,384.0,54.0,330.0,389,20,316,53.0,129.66666666666666,0.6743255617300925,-1.5,17541.55555555556,184.5,36.5,148.0,1633350171.776749,0.0029058456420898,0.0375678539276122
5,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,65130,0,0,0,0,9,3232270669,6,443,443,2191,54,447,87.0,182.58333333333331,0.7422882685808598,-1.3585891067436169,27692.076388888887,367.0,54.0,313.0,409,20,316,36.5,102.25,1.1151274713361767,-0.7001445388714624,15411.1875,118.75,20.0,98.75,1633350171.805756,0.0290071964263916,0.0665750503540038
6,1,0,0,1,1,3,53,3232270669,87,229,73,6,443,65130,0,0,0,0,9,3232270669,6,443,443,2278,54,447,87.0,175.23076923076923,0.8646019126622388,-1.154706967806312,26210.639053254432,350.0,54.0,296.0,462,20,316,53.0,92.4,1.4361615573001605,0.1652468292975202,12717.04,53.0,20.0,33.0,1633350171.811233,0.005476951599121,0.07205200195312479
7,1,0,0,1,3,1,20,583304131,54,255,40,6,65130,443,0,0,0,0,9,3232270669,6,443,443,2332,54,447,87.0,166.57142857142858,0.9777547497606406,-0.9437090786547432,25313.24489795919,284.25,54.0,230.25,482,20,316,36.5,80.33333333333333,1.71314255198672,1.0610522888820686,11325.555555555557,53.0,20.0,33.0,1633350171.871415,0.0601818561553955,0.13223385810852029
8,1,0,0,1,1,3,413,3232270669,447,229,433,6,443,65130,0,0,0,0,9,3232270669,6,443,443,2779,54,447,87.0,185.26666666666668,0.7349104805228012,-1.38019857771998,28518.862222222226,384.0,54.0,330.0,895,20,413,53.0,127.85714285714286,1.0165415836913203,-0.7995666850740886,23258.693877551017,184.5,20.0,164.5,1633350171.872718,0.0013031959533691,0.1335370540618894
9,1,0,0,1,3,1,53,583304131,87,255,73,6,65130,443,0,0,0,0,9,3232270669,6,443,443,2866,54,447,87.0,179.125,0.833954452867295,-1.2195641479002717,27302.234375,367.0,54.0,313.0,948,20,413,53.0,118.5,1.2162950325825812,-0.3318406593239733,20964.25,118.75,20.0,98.75,1633350171.877847,0.0051288604736328,0.1386659145355222
10,1,0,0,1,1,3,20,3232270669,54,229,40,6,443,65130,0,0,0,0,9,3232270669,6,443,443,2920,54,447,87.0,171.76470588235293,0.9268454315625604,-1.0541099397678262,26563.00346020761,350.0,54.0,296.0,968,20,413,53.0,107.55555555555556,1.3929264551628266,0.1414209583254826,19593.13580246914,53.0,20.0,33.0,1633350171.960677,0.0828299522399902,0.22149586677551242
