Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,93,1796729194,127,64,113,6,42530,443,0,0,0,0,5,919699250,17,43679,8811,859,66,127,95.0,95.44444444444444,0.2586307103180954,-1.5820955488447137,562.246913580247,124.0,74.0,50.0,298,40,93,61.0,59.6,0.5993163884883462,-0.878648858694477,381.0400000000001,64.0,40.0,24.0,1634045120.946013,0.0,0.0
1,1,0,0,1,1,2,90,3232270736,124,229,110,6,443,42530,0,0,0,0,5,919699250,17,43679,8811,983,66,127,96.5,98.3,0.0318925837378083,-1.7000818752584013,579.4100000000001,124.0,74.0,50.0,388,40,93,62.5,64.66666666666667,0.1582076678255781,-1.4936549659904832,445.88888888888886,83.5,45.25,38.25,1634045120.975186,0.0291731357574462,0.0291731357574462
2,1,0,0,1,2,1,32,1796729194,66,64,52,6,42530,443,0,0,0,0,5,919699250,17,43679,443,1049,66,127,95.0,95.36363636363636,0.1822537020446508,-1.6788465725083073,612.9586776859504,124.0,74.0,50.0,420,32,93,61.0,60.0,0.3081165861462321,-1.4081565164764398,512.8571428571429,77.0,40.0,37.0,1634045120.978024,0.0028378963470458,0.032011032104492
3,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,5,919699250,17,43679,443,1091,42,127,84.5,90.91666666666669,0.0164420058871577,-1.2809589923217344,779.4097222222223,124.0,72.0,52.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634045125.574298,4.596273899078369,4.628284931182861
4,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,5,919699250,17,43679,443,1151,42,127,74.0,88.53846153846153,0.1669296717245907,-1.3181245012733076,787.3254437869823,124.0,66.0,58.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634045125.578764,0.0044660568237304,4.632750988006592
5,0,1,0,0,2,2,61,919445191,95,64,81,17,36008,8802,0,0,2,0,5,919699250,17,43679,443,1246,42,127,84.5,89.0,0.1221037974586605,-1.21222509469843,733.8571428571429,117.5,68.0,49.5,481,32,93,61.0,60.125,0.3115829206834793,-1.189198450043648,448.859375,70.5,40.0,30.5,1634045128.771535,3.1927709579467773,7.825521945953369
6,0,1,0,0,2,2,64,3232270736,98,39,84,17,8802,36008,0,0,2,0,5,919699250,17,43679,443,1344,42,127,95.0,89.6,0.0591506184896532,-1.1200248555308157,689.9733333333334,111.0,70.0,41.0,545,32,93,61.0,60.55555555555556,0.2649007752557866,-1.0033273091272017,400.4691358024691,64.0,40.0,24.0,1634045128.799905,0.0283701419830322,7.853892087936401
7,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,3,0,5,919699250,17,43679,443,1404,42,127,84.5,87.75,0.1770023840484213,-1.1601912188692796,698.1875,104.5,66.0,38.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634045149.660042,20.86013698577881,28.71402907371521
8,0,1,0,0,2,2,61,919445191,95,64,81,17,36008,8802,0,0,3,0,5,919699250,17,43679,443,1499,42,127,95.0,88.17647058823529,0.1327619968908593,-1.072498177039838,660.0276816608996,98.0,66.0,32.0,606,32,93,61.0,60.6,0.2721875533193556,-0.7842752420342336,360.44,64.0,45.25,18.75,1634045149.762466,0.1024239063262939,28.816452980041504
9,0,1,0,0,2,2,64,3232270736,98,39,84,17,8802,36008,0,0,3,0,5,919699250,17,43679,443,1597,42,127,95.0,88.72222222222223,0.0729844383036618,-0.9997606037870072,628.422839506173,98.0,68.0,30.0,670,32,93,61.0,60.90909090909091,0.2336724478556877,-0.5944220508686597,328.6280991735537,64.0,50.5,13.5,1634045149.791055,0.0285890102386474,28.84504199028015
10,1,0,0,1,2,1,93,1796729194,127,64,113,6,42530,443,0,0,3,0,5,919699250,17,43679,443,1724,42,127,95.0,90.73684210526316,-0.0003977298799932,-1.1083990247314146,668.4044321329641,111.0,70.0,41.0,763,32,93,62.5,63.583333333333336,0.1300543814903325,-0.9223620679634013,379.90972222222223,70.5,55.75,14.75,1634045150.945914,1.1548590660095217,29.999901056289673
11,1,0,0,1,1,2,90,3232270736,124,229,110,6,443,42530,0,0,3,0,5,919699250,17,43679,443,1848,42,127,95.0,92.4,-0.0888292762831403,-1.1737466745756644,687.5400000000001,124.0,72.0,52.0,853,32,93,64.0,65.61538461538461,-0.0176450100778074,-1.0930262432238582,400.23668639053255,90.0,61.0,29.0,1634045150.97515,0.0292360782623291,30.029137134552002
12,1,0,0,1,2,1,32,1796729194,66,64,52,6,42530,443,0,0,3,0,5,919699250,17,43679,443,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,885,32,93,62.5,63.21428571428572,0.0409406428295991,-1.1795195340008977,446.5969387755102,83.5,45.25,38.25,1634045150.97806,0.0029098987579345,30.032047033309937
