Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,1,40,3232270593,74,64,60,6,33572,53,0,0,0,1,6,3232270736,17,43679,80,1077,42,127,74.0,82.84615384615384,0.3476454587684764,-0.8209016605622685,600.1301775147929,98.0,66.0,32.0,40,40,40,40.0,40.0,0.0,-3.0,0.0,40.0,40.0,0.0,1633531897.761746,0.0,0.0
1,0,1,0,0,2,3,638,3232270701,672,39,658,17,8802,50888,0,0,0,1,7,3232270736,17,43679,80,1749,42,672,84.5,124.92857142857144,3.192795467808738,8.52335138782938,23579.352040816328,98.0,66.0,32.0,678,40,638,339.0,339.0,0.0,-2.0,89401.0,488.5,189.5,299.0,1633531898.210665,0.4489190578460693,0.4489190578460693
2,0,1,0,0,3,2,49,919445191,83,64,69,17,50888,8802,0,0,0,1,7,3232270736,17,43679,80,1832,42,672,83.0,122.13333333333334,3.3352691123232474,9.473677706770175,22116.782222222224,98.0,66.0,32.0,727,40,638,49.0,242.33333333333331,0.706558130090703,-1.5,78289.55555555555,343.5,44.5,299.0,1633531898.220423,0.0097579956054687,0.458677053451538
3,0,1,0,0,3,2,48,586033527,82,64,68,17,62065,8800,0,0,0,1,8,3232270736,17,43679,80,1914,42,672,82.5,119.625,3.472067560292095,10.424897430754276,20828.859375,98.0,66.0,32.0,775,40,638,48.5,193.75,1.1540580812781325,-0.6671551545890599,65798.1875,196.25,46.0,150.25,1633531898.221721,0.0012979507446289,0.4599750041961669
4,0,1,0,0,2,3,637,3232270701,671,39,657,17,8802,50888,0,0,0,1,8,3232270736,17,43679,80,2585,42,672,83.0,152.05882352941177,2.315621570528027,3.476867269404588,36434.87889273356,98.0,66.0,32.0,1412,40,638,49.0,282.4,0.4078963903721168,-1.833128914979512,84073.84,637.0,48.0,589.0,1633531898.223946,0.0022251605987548,0.4622001647949217
5,0,1,0,0,2,3,639,3232270701,673,39,659,17,8802,50888,0,0,0,1,8,3232270736,17,43679,80,3258,42,673,89.0,181.0,1.7534580192804956,1.1357526589917883,48649.77777777778,117.5,66.0,51.5,2051,40,639,343.0,341.8333333333333,-0.0002668237196332,-1.999611578323793,87723.13888888888,637.75,48.25,589.5,1633531898.224005,5.888938903808594e-05,0.4622590541839598
6,0,1,0,0,3,2,50,919445191,84,64,70,17,50888,8802,0,0,0,1,8,3232270736,17,43679,80,3342,42,673,84.0,175.89473684210526,1.8405586367659776,1.4509640566060673,46558.40997229917,111.0,66.0,45.0,2101,40,639,50.0,300.1428571428572,0.2883664317782238,-1.9163977687192293,85619.83673469388,637.5,48.5,589.0,1633531898.23507,0.0110650062561035,0.4733240604400633
7,0,1,0,0,3,2,48,586033527,82,64,68,17,62066,8800,0,0,0,1,8,3232270736,17,43679,80,3424,42,673,83.5,171.2,1.9241465944393643,1.7677407213044267,44649.26,104.5,66.0,38.5,2149,40,639,49.5,268.625,0.5161028627048952,-1.7332012243748716,81870.984375,637.25,48.0,589.25,1633531898.237276,0.0022060871124267,0.47553014755249
8,0,1,0,0,2,3,40,3232270701,74,38,60,17,8800,62065,0,0,0,1,8,3232270736,17,43679,80,74,74,74,74.0,74.0,0.0,-3.0,0.0,74.0,74.0,0.0,2189,40,639,49.0,243.22222222222223,0.706638923284245,-1.499970389752434,77936.61728395062,637.0,48.0,589.0,1633531898.250617,0.013340950012207,0.488871097564697
9,0,1,0,0,3,2,49,919445191,83,64,69,17,50888,8802,0,0,0,1,8,3232270736,17,43679,80,157,74,83,78.5,78.5,0.0,-2.0,20.25,80.75,76.25,4.5,2238,40,639,49.0,223.8,0.8723736263340748,-1.2382084157996482,73537.96,490.25,48.0,442.25,1633531898.259063,0.0084459781646728,0.4973170757293698
