Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,3,1,1480,918795291,1514,64,1500,6,59786,443,0,0,0,0,6,3232270687,6,443,443,2383,66,1514,66.0,216.63636363636363,2.7728063577590745,5.832921048892104,170885.86776859505,81.5,66.0,15.5,2009,32,1480,32.0,182.63636363636363,2.7728063577590745,5.832921048892104,170885.86776859505,47.5,32.0,15.5,1634134332.609329,0.0,0.0
1,1,0,0,1,3,1,1480,918795291,1514,64,1500,6,59786,443,0,0,0,0,6,3232270687,6,443,443,3897,66,1514,66.0,324.75,1.7577750627976845,1.137637208883902,285219.5208333333,133.75,66.0,67.75,3489,32,1480,32.0,290.75,1.7577750627976845,1.137637208883902,285219.5208333333,99.75,32.0,67.75,1634134332.609329,0.0,0.0
2,1,0,0,1,3,1,1480,918795291,1514,64,1500,6,59786,443,0,0,0,0,6,3232270687,6,443,443,5411,66,1514,66.0,416.2307692307692,1.258108520566727,-0.3899292791576294,363704.3313609468,244.0,66.0,178.0,4969,32,1480,32.0,382.2307692307692,1.258108520566727,-0.3899292791576294,363704.3313609468,210.0,32.0,178.0,1634134332.609329,0.0,0.0
3,1,0,0,1,3,1,1480,918795291,1514,64,1500,6,59786,443,0,0,0,0,6,3232270687,6,443,443,6925,66,1514,66.0,494.6428571428572,0.9336634539837227,-1.109073409977987,417655.3724489796,1196.5,66.0,1130.5,6449,32,1480,32.0,460.6428571428572,0.9336634539837227,-1.109073409977987,417655.3724489796,1162.5,32.0,1130.5,1634134332.609329,0.0,0.0
4,1,0,0,1,3,1,1480,918795291,1514,64,1500,6,59786,443,0,0,0,0,6,3232270687,6,443,443,8439,66,1514,66.0,562.6,0.6947587774992915,-1.5021658497540418,454466.1066666666,1514.0,66.0,1448.0,7929,32,1480,32.0,528.6,0.6947587774992915,-1.5021658497540418,454466.1066666666,1480.0,32.0,1448.0,1634134332.609329,0.0,0.0
5,1,0,0,1,3,1,1480,918795291,1514,64,1500,6,59786,443,0,0,0,0,6,3232270687,6,443,443,9953,66,1514,81.5,622.0625,0.505704052746406,-1.7314820810958955,479098.80859375,1514.0,66.0,1448.0,9409,32,1480,47.5,588.0625,0.505704052746406,-1.7314820810958955,479098.80859375,1480.0,32.0,1448.0,1634134332.609329,0.0,0.0
6,1,0,0,1,3,1,1480,918795291,1514,64,1500,6,59786,443,0,0,0,0,6,3232270687,6,443,443,11467,66,1514,97.0,674.5294117647059,0.3489846644725871,-1.8669351748496588,494960.9550173011,1514.0,66.0,1448.0,10889,32,1480,63.0,640.5294117647059,0.3489846644725871,-1.8669351748496588,494960.9550173011,1480.0,32.0,1448.0,1634134332.609329,0.0,0.0
7,1,0,0,1,3,1,861,918795291,895,64,881,6,59786,443,0,0,0,0,6,3232270687,6,443,443,12362,66,1514,170.5,686.7777777777778,0.3044278498031722,-1.83634521985608,470013.5061728396,1514.0,66.0,1448.0,11750,32,1480,136.5,652.7777777777778,0.3044278498031722,-1.83634521985608,470013.5061728396,1480.0,32.0,1448.0,1634134332.609329,0.0,0.0
8,1,0,0,1,1,3,32,3232270687,66,224,52,6,443,59786,0,0,0,0,6,3232270687,6,443,443,12428,66,1514,97.0,654.1052631578947,0.3977199483811432,-1.7725206871923826,464490.8310249306,1514.0,66.0,1448.0,11782,32,1480,63.0,620.1052631578947,0.3977199483811432,-1.7725206871923826,464490.8310249306,1480.0,32.0,1448.0,1634134332.706973,0.0976440906524658,0.0976440906524658
9,1,0,0,1,1,3,32,3232270687,66,224,52,6,443,59786,0,0,0,0,6,3232270687,6,443,443,12494,66,1514,81.5,624.7,0.4839113608991713,-1.697663352528202,457695.01,1514.0,66.0,1448.0,11814,32,1480,47.5,590.7,0.4839113608991713,-1.697663352528202,457695.01,1480.0,32.0,1448.0,1634134332.70703,5.698204040527344e-05,0.09770107269287108
10,1,0,0,1,1,3,32,3232270687,66,224,52,6,443,59786,0,0,0,0,6,3232270687,6,443,443,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134332.707064,3.3855438232421875e-05,0.0977349281311035
11,1,0,0,1,1,3,32,3232270687,66,224,52,6,443,59786,0,0,0,0,6,3232270687,6,443,443,132,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,64,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134332.707095,3.0994415283203125e-05,0.0977659225463867
12,1,0,0,1,1,3,32,3232270687,66,224,52,6,443,59786,0,0,0,0,6,3232270687,6,443,443,198,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,96,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134332.707373,0.0002779960632324,0.0980439186096191
