Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,3,1,1480,873477259,1514,64,1500,6,60678,443,0,0,0,0,13,3232270687,6,443,443,1680,66,1514,100.0,560.0,0.7057603724765174,-1.5,455250.6666666667,807.0,83.0,724.0,1480,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634133946.449101,0.0,0.0
1,1,0,0,1,3,1,1480,873477259,1514,64,1500,6,60678,443,0,0,0,0,13,3232270687,6,443,443,3194,66,1514,807.0,798.5,-0.0008464201154229,-1.9988715194603368,512084.75,1514.0,91.5,1422.5,2960,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634133946.449101,0.0,0.0
2,1,0,0,1,3,1,1480,873477259,1514,64,1500,6,60678,443,0,0,0,0,13,3232270687,6,443,443,4708,66,1514,1514.0,941.6,-0.4089682277123613,-1.8317658886838104,491578.23999999993,1514.0,100.0,1414.0,4440,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634133946.449101,0.0,0.0
3,1,0,0,1,3,1,1480,873477259,1514,64,1500,6,60678,443,0,0,0,0,13,3232270687,6,443,443,6222,66,1514,1514.0,1037.0,-0.707780163641848,-1.4980954875752677,455154.3333333333,1514.0,453.5,1060.5,5920,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634133946.449101,0.0,0.0
4,1,0,0,1,3,1,1480,873477259,1514,64,1500,6,60678,443,0,0,0,0,13,3232270687,6,443,443,7736,66,1514,1514.0,1105.142857142857,-0.9493391382245108,-1.0977878972711703,417992.9795918367,1514.0,807.0,707.0,7400,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634133946.449101,0.0,0.0
5,1,0,0,1,3,1,1480,873477259,1514,64,1500,6,60678,443,0,0,0,0,13,3232270687,6,443,443,9250,66,1514,1514.0,1156.25,-1.1553521895015373,-0.6641585782985913,384027.4375,1514.0,1160.5,353.5,8880,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634133946.449101,0.0,0.0
6,1,0,0,1,3,1,1480,873477259,1514,64,1500,6,60678,443,0,0,0,0,13,3232270687,6,443,443,10764,66,1514,1514.0,1196.0,-1.3369607005268902,-0.2114871201313435,353998.22222222225,1514.0,1514.0,0.0,10360,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634133946.449101,0.0,0.0
7,1,0,0,1,3,1,901,873477259,935,64,921,6,60678,443,0,0,0,0,13,3232270687,6,443,443,11699,66,1514,1514.0,1169.9,-1.2416660047164247,-0.2532126593291077,324729.2900000001,1514.0,1079.75,434.25,11261,901,1480,1480.0,1407.625,-2.2677868380553634,3.1428571428571432,36666.984375,1480.0,1480.0,0.0,1634133946.449101,0.0,0.0
8,1,0,0,1,1,3,32,3232270687,66,224,52,6,443,60678,0,0,0,0,13,3232270687,6,443,443,11765,66,1514,1514.0,1069.5454545454545,-0.8468313662381971,-1.152474021461185,395918.7933884298,1514.0,517.5,996.5,11293,32,1480,1480.0,1254.7777777777778,-1.9369236444739455,2.233680706769399,219491.06172839503,1480.0,1480.0,0.0,1634133946.546955,0.0978541374206543,0.0978541374206543
9,1,0,0,1,1,3,32,3232270687,66,224,52,6,443,60678,0,0,0,0,13,3232270687,6,443,443,11831,66,1514,1514.0,985.9166666666666,-0.5713219536208759,-1.57483999803449,439857.0763888889,1514.0,91.5,1422.5,11325,32,1480,1480.0,1132.5,-1.2457771967993148,-0.2451675649015658,332108.65,1480.0,1045.75,434.25,1634133946.547014,5.888938903808594e-05,0.09791302680969238
