Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,32,3232270687,66,223,52,6,443,39381,0,0,0,0,27,3232270687,6,443,443,2064,66,473,66.0,114.66666666666669,2.4894050646169306,5.452502231091,10605.999999999996,97.0,66.0,31.0,64,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134905.221355,0.0,0.0
1,1,0,0,1,1,2,32,3232270687,66,223,52,6,443,39381,0,0,0,0,27,3232270687,6,443,443,2130,66,473,66.0,112.10526315789474,2.5834938449361524,5.977509521684903,10165.883656509694,97.0,66.0,31.0,96,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134905.221406,5.1021575927734375e-05,5.1021575927734375e-05
2,1,0,0,1,1,2,32,3232270687,66,223,52,6,443,39381,0,0,0,0,27,3232270687,6,443,443,2196,66,473,66.0,109.8,2.6745147475875544,6.504221067089423,9758.56,97.0,66.0,31.0,128,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134905.221426,2.002716064453125e-05,7.104873657226562e-05
3,1,0,0,1,1,2,32,3232270687,66,223,52,6,443,39381,0,0,0,0,27,3232270687,6,443,443,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,160,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134905.221443,1.6927719116210938e-05,8.797645568847656e-05
4,1,0,0,1,1,2,32,3232270687,66,223,52,6,443,39381,0,0,0,0,27,3232270687,6,443,443,132,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,192,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134905.221836,0.0003931522369384,0.0004811286926268766
5,1,0,0,1,1,2,32,3232270687,66,223,52,6,443,39381,0,0,0,0,27,3232270687,6,443,443,198,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,224,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134905.221858,2.193450927734375e-05,0.0005030632019042203
6,1,0,0,1,1,2,32,3232270687,66,223,52,6,443,39381,0,0,0,0,27,3232270687,6,443,443,264,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,256,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634134905.222233,0.0003750324249267,0.0008780956268309204
7,1,0,0,1,2,1,1480,886147703,1514,64,1500,6,39381,443,0,0,0,0,28,3232270687,6,443,443,1778,66,1514,66.0,355.6,1.5,0.25,335472.6400000001,66.0,66.0,0.0,1736,32,1480,32.0,192.88888888888889,2.4748737341529163,4.125,207081.87654320983,32.0,32.0,0.0,1634134905.222372,0.0001389980316162,0.0010170936584471203
8,1,0,0,1,2,1,1480,886147703,1514,64,1500,6,39381,443,0,0,0,0,28,3232270687,6,443,443,3292,66,1514,66.0,548.6666666666666,0.7071067811865477,-1.4999999999999998,465934.2222222222,1152.0,66.0,1086.0,3216,32,1480,32.0,321.6,1.5000000000000004,0.2500000000000013,335472.64,32.0,32.0,0.0,1634134905.222372,0.0,0.0010170936584471203
9,1,0,0,1,2,1,1480,886147703,1514,64,1500,6,39381,443,0,0,0,0,28,3232270687,6,443,443,4806,66,1514,66.0,686.5714285714286,0.288675134594813,-1.9166666666666667,513478.5306122449,1514.0,66.0,1448.0,4696,32,1480,32.0,426.9090909090909,1.0206207261596574,-0.9583333333333336,415875.173553719,756.0,32.0,724.0,1634134905.222372,0.0,0.0010170936584471203
