Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,371,3232270687,405,225,391,6,443,52883,0,0,0,0,35,3232270687,6,443,443,507,42,405,60.0,169.0,0.7009535188751645,-1.5,27902.0,232.5,51.0,181.5,1301,32,371,32.0,76.52941176470588,2.14890412248644,3.4957867748624745,8617.778546712803,63.0,32.0,31.0,1634134511.533521,0.0,0.0
1,1,0,0,1,3,1,32,918113709,66,64,52,6,52883,443,0,0,0,0,35,3232270687,6,443,443,573,42,405,63.0,143.25,1.1428034803242657,-0.6754372532016033,22915.6875,150.75,55.5,95.25,1333,32,371,32.0,74.05555555555556,2.2446825066394345,3.948778964460724,8243.052469135804,55.25,32.0,23.25,1634134511.534348,0.0008270740509033,0.0008270740509033
2,1,0,0,1,3,1,621,586908587,655,64,641,6,54532,443,0,0,0,0,35,3232270687,6,443,443,1228,42,655,66.0,245.6,0.7040745331804212,-1.198364552056622,60234.63999999999,405.0,60.0,345.0,1954,32,621,32.0,102.84210526315788,2.3984369101310725,4.93422952411864,22725.185595567866,63.0,32.0,31.0,1634134511.542356,0.0080080032348632,0.0088350772857665
3,1,0,0,1,1,3,1480,3232270687,1514,225,1500,6,443,52883,0,0,0,0,35,3232270687,6,443,443,2742,42,1514,235.5,457.0,1.1581728031689829,-0.0449766605608266,273645.3333333333,592.5,61.5,531.0,3434,32,1480,32.0,171.7,3.0815731771753194,8.936474425069742,111675.71,99.75,32.0,67.75,1634134511.543182,0.0008258819580078,0.0096609592437743
4,1,0,0,1,1,3,455,3232270687,489,225,475,6,443,52883,0,0,0,0,35,3232270687,6,443,443,3231,42,1514,405.0,461.57142857142856,1.2216977100121926,0.397197971178953,234678.5306122449,572.0,63.0,509.0,455,455,455,455.0,455.0,0.0,-3.0,0.0,455.0,455.0,0.0,1634134511.543245,6.318092346191406e-05,0.009724140167236214
5,1,0,0,1,3,1,32,918113709,66,64,52,6,52883,443,0,0,0,0,35,3232270687,6,443,443,3297,42,1514,235.5,412.125,1.4001860501540009,0.8910380167936385,222458.359375,530.5,64.5,466.0,487,32,455,243.5,243.5,0.0,-2.0,44732.25,349.25,137.75,211.5,1634134511.543977,0.0007319450378417,0.010456085205077913
6,1,0,0,1,3,1,32,918113709,66,64,52,6,52883,443,0,0,0,0,35,3232270687,6,443,443,3363,42,1514,66.0,373.6666666666667,1.5657352135724738,1.4171343863837895,209573.11111111112,489.0,66.0,423.0,519,32,455,32.0,173.0,0.7071067811865476,-1.5,39762.0,243.5,32.0,211.5,1634134511.543977,0.0,0.010456085205077913
7,0,1,0,0,2,1,62,134743044,96,64,82,17,40361,53,1,0,0,0,35,3232270687,6,443,443,3459,42,1514,81.0,345.9,1.727231991633566,1.991492949232745,195554.69,468.0,66.0,402.0,581,32,455,47.0,145.25,1.138817880506933,-0.6796646186737276,32131.6875,160.25,32.0,128.25,1634134511.636416,0.0924389362335205,0.10289502143859841
8,0,1,0,0,2,1,38,134743044,72,64,58,17,15925,53,2,0,0,0,35,3232270687,6,443,443,3531,42,1514,72.0,321.0,1.87141748585061,2.5562476611595155,183977.0909090909,447.0,66.0,381.0,619,32,455,38.0,123.8,1.4837029345974744,0.2271928809715926,27545.76,62.0,32.0,30.0,1634134511.654446,0.0180299282073974,0.12092494964599582
9,1,0,0,1,1,3,683,3232270687,717,223,703,6,443,54532,2,0,0,0,35,3232270687,6,443,443,4248,42,1514,84.0,354.0,1.5974486621802937,1.8144962091688948,180624.66666666663,530.5,66.0,464.5,1302,32,683,50.0,217.0,0.9018345358672964,-0.9460496942965908,66386.0,356.75,33.5,323.25,1634134511.655509,0.0010631084442138,0.12198805809020961
