Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,3339,66,1514,66.0,256.84615384615387,2.412555310165227,4.57195548536353,160995.8224852071,192.0,66.0,126.0,2897,32,1480,32.0,222.84615384615384,2.412555310165227,4.57195548536353,160995.8224852071,158.0,32.0,126.0,1634042392.949641,0.0,0.0
1,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,4853,66,1514,81.5,346.6428571428572,1.695046453872672,1.177556734511592,254320.94387755104,231.0,66.0,165.0,4377,32,1480,47.5,312.6428571428572,1.695046453872672,1.177556734511592,254320.94387755104,197.0,32.0,165.0,1634042392.955275,0.005634069442749,0.005634069442749
2,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,6367,66,1514,97.0,424.4666666666666,1.2757252868143787,-0.1900887457265212,322157.84888888884,478.5,66.0,412.5,5857,32,1480,63.0,390.4666666666666,1.2757252868143787,-0.1900887457265212,322157.84888888884,444.5,32.0,412.5,1634042392.956113,0.0008380413055419,0.0064721107482909
3,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,7881,66,1514,107.0,492.5625,0.985863243585438,-0.8975172484732665,371578.62109375,913.25,66.0,847.25,7337,32,1480,73.0,458.5625,0.985863243585438,-0.8975172484732665,371578.62109375,879.25,32.0,847.25,1634042392.958322,0.0022089481353759,0.0086810588836668
4,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,9395,66,1514,117.0,552.6470588235294,0.7657681497118276,-1.3104628081822165,407483.52249134943,1514.0,66.0,1448.0,8817,32,1480,83.0,518.6470588235294,0.7657681497118276,-1.3104628081822165,407483.52249134943,1480.0,32.0,1448.0,1634042392.961126,0.0028040409088134,0.0114850997924802
5,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,10909,66,1514,154.5,606.0555555555555,0.5885797903498821,-1.5669004611947246,433337.4969135802,1514.0,66.0,1448.0,10297,32,1480,120.5,572.0555555555555,0.5885797903498821,-1.5669004611947246,433337.4969135802,1480.0,32.0,1448.0,1634042392.961693,0.0005669593811035,0.0120520591735837
6,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,12423,66,1514,192.0,653.8421052631579,0.4401731745432692,-1.7303121107883337,451634.23822714685,1514.0,66.0,1448.0,11777,32,1480,158.0,619.8421052631579,0.4401731745432692,-1.7303121107883337,451634.23822714685,1480.0,32.0,1448.0,1634042392.962404,0.0007109642028808,0.0127630233764645
7,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,13937,66,1514,218.0,696.85,0.3122929256315933,-1.8339534144323295,464196.4275000001,1514.0,66.0,1448.0,13257,32,1480,184.0,662.85,0.3122929256315933,-1.8339534144323295,464196.4275000001,1480.0,32.0,1448.0,1634042392.963022,0.0006179809570312,0.0133810043334957
8,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,1514,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,1480,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634042392.963648,0.0006260871887207,0.0140070915222164
9,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,3028,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,2960,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634042392.964618,0.0009698867797851,0.0149769783020015
10,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,4542,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,4440,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1634042392.965331,0.0007131099700927,0.0156900882720942
11,1,0,0,1,3,1,517,587030337,551,64,537,6,58782,443,0,0,0,0,10,3232270833,6,443,443,5093,551,1514,1514.0,1273.25,-1.1547005383792517,-0.6666666666666665,173881.6875,1514.0,1273.25,240.75,4957,517,1480,1480.0,1239.25,-1.1547005383792517,-0.6666666666666665,173881.6875,1480.0,1239.25,240.75,1634042392.96602,0.0006890296936035,0.0163791179656977
12,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,6607,551,1514,1514.0,1321.4,-1.5000000000000009,0.2500000000000009,148379.04,1514.0,1514.0,0.0,6437,517,1480,1480.0,1287.4,-1.5000000000000009,0.2500000000000009,148379.04,1480.0,1480.0,0.0,1634042392.968688,0.0026679039001464,0.019047021865844102
13,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,8121,551,1514,1514.0,1353.5,-1.7888543819998317,1.2000000000000002,128801.25,1514.0,1514.0,0.0,7917,517,1480,1480.0,1319.5,-1.7888543819998317,1.2000000000000002,128801.25,1480.0,1480.0,0.0,1634042392.968688,0.0,0.019047021865844102
14,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,9635,551,1514,1514.0,1376.428571428571,-2.0412414523193148,2.166666666666667,113555.38775510204,1514.0,1514.0,0.0,9397,517,1480,1480.0,1342.428571428571,-2.0412414523193148,2.166666666666667,113555.38775510204,1480.0,1480.0,0.0,1634042392.96954,0.0008521080017089,0.019899129867553003
15,1,0,0,1,1,3,32,3232270833,66,223,52,6,443,58782,0,0,0,0,10,3232270833,6,443,443,9701,66,1514,1514.0,1212.625,-1.3262829103949314,-0.0146751004909213,287182.234375,1514.0,1273.25,240.75,9429,32,1480,1480.0,1178.625,-1.3262829103949314,-0.0146751004909213,287182.234375,1480.0,1239.25,240.75,1634042393.047828,0.0782878398895263,0.0981869697570793
16,1,0,0,1,1,3,32,3232270833,66,223,52,6,443,58782,0,0,0,0,10,3232270833,6,443,443,9767,66,1514,1514.0,1085.2222222222222,-0.8354365658848045,-1.170243652890552,385124.83950617287,1514.0,551.0,963.0,9461,32,1480,1480.0,1051.2222222222222,-0.8354365658848045,-1.170243652890552,385124.83950617287,1480.0,517.0,963.0,1634042393.053314,0.0054860115051269,0.1036729812622062
17,1,0,0,1,1,3,32,3232270833,66,223,52,6,443,58782,0,0,0,0,10,3232270833,6,443,443,9833,66,1514,1514.0,983.3,-0.5135974011022063,-1.639640430264047,440105.61,1514.0,187.25,1326.75,9493,32,1480,1480.0,949.3,-0.5135974011022063,-1.639640430264047,440105.61,1480.0,153.25,1326.75,1634042393.054198,0.0008840560913085,0.1045570373535147
18,1,0,0,1,3,1,1480,587030337,1514,64,1500,6,58782,443,0,0,0,0,10,3232270833,6,443,443,11347,66,1514,1514.0,1031.5454545454545,-0.6683835340586181,-1.458170734759385,423372.2479338843,1514.0,308.5,1205.5,10973,32,1480,1480.0,997.5454545454544,-0.6683835340586181,-1.458170734759385,423372.2479338843,1480.0,274.5,1205.5,1634042393.054739,0.0005409717559814,0.1050980091094961
19,1,0,0,1,1,3,32,3232270833,66,223,52,6,443,58782,0,0,0,0,10,3232270833,6,443,443,11413,66,1514,1514.0,951.0833333333334,-0.4253425907911907,-1.742598282331134,459306.9097222222,1514.0,66.0,1448.0,11005,32,1480,1480.0,917.0833333333334,-0.4253425907911907,-1.742598282331134,459306.9097222222,1480.0,32.0,1448.0,1634042393.056389,0.0016500949859619,0.106748104095458
20,1,0,0,1,1,3,32,3232270833,66,223,52,6,443,58782,0,0,0,0,10,3232270833,6,443,443,11479,66,1514,1514.0,883.0,-0.2326674942497966,-1.8798155856828016,479599.6923076923,1514.0,66.0,1448.0,11037,32,1480,1480.0,849.0,-0.2326674942497966,-1.8798155856828016,479599.6923076923,1480.0,32.0,1448.0,1634042393.059263,0.0028738975524902,0.1096220016479482
21,1,0,0,1,1,3,32,3232270833,66,223,52,6,443,58782,0,0,0,0,10,3232270833,6,443,443,11545,66,1514,1032.5,824.6428571428571,-0.0723718892530774,-1.935117213298227,489614.80102040817,1514.0,66.0,1448.0,11069,32,1480,998.5,790.6428571428571,-0.0723718892530774,-1.935117213298227,489614.80102040817,1480.0,32.0,1448.0,1634042393.059719,0.0004560947418212,0.11007809638976941
22,1,0,0,1,1,3,32,3232270833,66,223,52,6,443,58782,0,0,0,0,10,3232270833,6,443,443,11611,66,1514,551.0,774.0666666666667,0.0654731940963565,-1.9402222421114668,492785.128888889,1514.0,66.0,1448.0,11101,32,1480,517.0,740.0666666666667,0.0654731940963565,-1.9402222421114668,492785.128888889,1480.0,32.0,1448.0,1634042393.060524,0.0008049011230468,0.11088299751281622
23,1,0,0,1,1,3,32,3232270833,66,223,52,6,443,58782,0,0,0,0,10,3232270833,6,443,443,11677,66,1514,308.5,729.8125,0.1868802392376657,-1.9123655165427036,491362.52734375,1514.0,66.0,1448.0,11133,32,1480,274.5,695.8125,0.1868802392376657,-1.9123655165427036,491362.52734375,1480.0,32.0,1448.0,1634042393.061101,0.0005769729614257,0.11145997047424192
