Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,3207,66,1514,97.0,291.54545454545456,2.1355157124209274,3.227693108545961,182441.52066115703,218.0,66.0,152.0,2833,32,1480,63.0,257.54545454545456,2.1355157124209274,3.227693108545961,182441.52066115703,184.0,32.0,152.0,1634042697.295997,0.0,0.0
1,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,4721,66,1514,107.0,393.4166666666667,1.4586164290181405,0.4069064663213249,281393.2430555555,361.25,66.0,295.25,4313,32,1480,73.0,359.4166666666667,1.4586164290181405,0.4069064663213249,281393.2430555555,327.25,32.0,295.25,1634042697.301083,0.0050861835479736,0.0050861835479736
2,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,6235,66,1514,117.0,479.61538461538464,1.059462378097804,-0.7048258472032849,348910.2366863905,713.0,66.0,647.0,5793,32,1480,83.0,445.61538461538464,1.059462378097804,-0.7048258472032849,348910.2366863905,679.0,32.0,647.0,1634042697.301083,0.0,0.0050861835479736
3,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,7749,66,1514,154.5,553.5,0.7810363005428378,-1.2629241087347916,394954.25,1313.75,66.0,1247.75,7273,32,1480,120.5,519.5,0.7810363005428378,-1.2629241087347916,394954.25,1279.75,32.0,1247.75,1634042697.302328,0.0012450218200683,0.0063312053680419
4,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,9263,66,1514,192.0,617.5333333333333,0.5678732023458212,-1.5746653263912995,426027.7155555556,1514.0,66.0,1448.0,8753,32,1480,158.0,583.5333333333333,0.5678732023458212,-1.5746653263912995,426027.7155555556,1480.0,32.0,1448.0,1634042697.302328,0.0,0.0063312053680419
5,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,10777,66,1514,218.0,673.5625,0.3949894864537864,-1.7556521782011716,446489.99609375,1514.0,66.0,1448.0,10233,32,1480,184.0,639.5625,0.3949894864537864,-1.7556521782011716,446489.99609375,1480.0,32.0,1448.0,1634042697.303939,0.0016109943389892,0.0079421997070311
6,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,12291,66,1514,244.0,723.0,0.2492235915189743,-1.8589885155383388,459330.9411764706,1514.0,66.0,1448.0,11713,32,1480,210.0,689.0,0.2492235915189743,-1.8589885155383388,459330.9411764706,1480.0,32.0,1448.0,1634042697.303939,0.0,0.0079421997070311
7,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,13805,66,1514,478.5,766.9444444444445,0.1228671675025901,-1.9124641843470944,466641.4969135802,1514.0,73.75,1440.25,13193,32,1480,444.5,732.9444444444445,0.1228671675025901,-1.9124641843470944,466641.4969135802,1480.0,39.75,1440.25,1634042697.305367,0.0014278888702392,0.009370088577270301
8,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,15319,66,1514,713.0,806.2631578947369,0.0110480811833494,-1.9320264868378776,469908.7202216067,1514.0,81.5,1432.5,14673,32,1480,679.0,772.2631578947369,0.0110480811833494,-1.9320264868378776,469908.7202216067,1480.0,47.5,1432.5,1634042697.305367,0.0,0.009370088577270301
9,1,0,0,1,2,1,1480,910911548,1514,64,1500,6,48618,443,0,0,0,0,30,3232270833,6,443,443,16833,66,1514,1113.5,841.65,-0.0894953387316695,-1.927479170895705,470205.6275000001,1514.0,89.25,1424.75,16153,32,1480,1079.5,807.65,-0.0894953387316695,-1.927479170895705,470205.6275000001,1480.0,55.25,1424.75,1634042697.307324,0.0019569396972656,0.0113270282745359
