Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,370,3232270666,404,225,390,6,443,60846,0,0,0,0,35,3232270833,6,443,443,2038,66,714,66.0,169.83333333333334,1.9703064241884043,2.675501803479205,36668.13888888889,148.75,66.0,82.75,1630,32,680,32.0,135.83333333333334,1.9703064241884043,2.675501803479205,36668.13888888889,114.75,32.0,82.75,1633531465.227012,0.0,0.0
1,1,0,0,1,1,3,1480,3232270666,1514,225,1500,6,443,60846,0,0,0,0,35,3232270833,6,443,443,3552,66,1514,66.0,273.2307692307692,2.2697405065793115,4.088549913472233,162139.8698224852,244.0,66.0,178.0,3110,32,1480,32.0,239.23076923076923,2.2697405065793115,4.088549913472233,162139.8698224852,210.0,32.0,178.0,1633531465.229833,0.0028209686279296,0.0028209686279296
2,1,0,0,1,1,3,454,3232270666,488,225,474,6,443,60846,0,0,0,0,35,3232270833,6,443,443,4040,66,1514,81.5,288.57142857142856,2.179680452944224,3.9887820370698543,153617.81632653062,364.0,66.0,298.0,3564,32,1480,47.5,254.57142857142856,2.179680452944223,3.988782037069849,153617.8163265306,330.0,32.0,298.0,1633531465.229897,6.413459777832031e-05,0.00288510322570792
3,1,0,0,1,3,1,32,753364417,66,64,52,6,60846,443,0,0,0,0,35,3232270833,6,443,443,4106,66,1514,66.0,273.7333333333333,2.288595007857316,4.529654512105642,146458.99555555556,324.0,66.0,258.0,3596,32,1480,32.0,239.7333333333333,2.2885950078573165,4.529654512105647,146458.99555555554,290.0,32.0,258.0,1633531465.237071,0.007174015045166,0.01005911827087392
4,1,0,0,1,3,1,32,753364417,66,64,52,6,60846,443,0,0,0,0,35,3232270833,6,443,443,4172,66,1514,66.0,260.75,2.3933186549101624,5.074900577591142,139833.8125,284.0,66.0,218.0,3628,32,1480,32.0,226.75,2.3933186549101624,5.074900577591142,139833.8125,250.0,32.0,218.0,1633531465.242831,0.0057599544525146,0.01581907272338852
5,1,0,0,1,3,1,32,753364417,66,64,52,6,60846,443,0,0,0,0,35,3232270833,6,443,443,4238,66,1514,66.0,249.2941176470588,2.4942234515892863,5.623636056481514,133708.08996539793,244.0,66.0,178.0,3660,32,1480,32.0,215.2941176470588,2.4942234515892863,5.623636056481514,133708.08996539793,210.0,32.0,178.0,1633531465.242831,0.0,0.01581907272338852
6,1,0,0,1,2,1,672,886196901,706,64,692,6,35175,443,0,0,0,0,35,3232270833,6,443,443,4944,66,1514,66.0,274.6666666666667,2.1640151457767605,4.239852033334229,137223.88888888888,364.0,66.0,298.0,4332,32,1480,32.0,240.66666666666663,2.1640151457767605,4.239852033334229,137223.88888888888,330.0,32.0,298.0,1633531465.282092,0.0392611026763916,0.05508017539978012
7,0,1,0,0,3,1,62,3232270593,96,64,82,17,58032,53,1,0,0,0,35,3232270833,6,443,443,5040,66,1514,66.0,265.2631578947368,2.254594800440916,4.691158748837988,131593.24653739613,324.0,66.0,258.0,4394,32,1480,32.0,231.26315789473685,2.254594800440916,4.691158748837988,131593.24653739613,290.0,32.0,258.0,1633531465.333832,0.0517399311065673,0.10682010650634742
8,0,1,0,0,1,3,78,3232270666,112,128,98,17,53,58032,2,0,0,0,35,3232270833,6,443,443,5152,66,1514,81.0,257.6,2.343263496176307,5.154541288879194,126129.34,284.0,66.0,218.0,4472,32,1480,47.0,223.6,2.343263496176307,5.154541288879194,126129.34,250.0,32.0,218.0,1633531465.361623,0.0277910232543945,0.1346111297607419
9,1,0,0,1,3,1,40,873535854,74,64,60,6,55934,443,2,0,0,0,36,3232270833,6,443,443,74,74,74,74.0,74.0,0.0,-3.0,0.0,74.0,74.0,0.0,40,40,40,40.0,40.0,0.0,-3.0,0.0,40.0,40.0,0.0,1633531465.379325,0.0177018642425537,0.15231299400329562
