Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,2092,54,235,214.0,160.92307692307693,-0.4247941992641292,-1.462955416773676,5103.30177514793,214.0,123.0,91.0,1650,20,201,180.0,126.92307692307692,-0.4247941992641288,-1.4629554167736762,5103.30177514793,180.0,89.0,91.0,1634132583.427413,0.0,0.0
1,1,0,0,0,2,3,313,3232270786,347,225,333,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2439,54,347,214.0,174.21428571428572,0.0568172169851957,-0.7061906685804078,7035.311224489795,229.75,123.0,106.75,1963,20,313,180.0,140.21428571428572,0.0568172169851957,-0.7061906685804078,7035.311224489795,195.75,89.0,106.75,1634132583.517428,0.0900149345397949,0.0900149345397949
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2674,54,347,214.0,178.26666666666668,-0.0650097072124247,-0.6878280621694808,6796.195555555553,235.0,123.0,112.0,2164,20,313,180.0,144.26666666666668,-0.0650097072124247,-0.6878280621694808,6796.195555555553,201.0,89.0,112.0,1634132583.537619,0.0201911926269531,0.11020612716674799
3,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2909,54,347,214.0,181.8125,-0.1742079596160016,-0.6394036185530867,6560.02734375,235.0,123.0,112.0,2365,20,313,180.0,147.8125,-0.1742079596160016,-0.6394036185530867,6560.02734375,201.0,89.0,112.0,1634132583.540428,0.0028088092803955,0.11301493644714349
4,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,3144,54,347,214.0,184.94117647058823,-0.2734022684098638,-0.568960969700735,6330.76124567474,235.0,123.0,112.0,2566,20,313,180.0,150.94117647058823,-0.2734022684098638,-0.568960969700735,6330.76124567474,201.0,89.0,112.0,1634132583.542758,0.0023300647735595,0.11534500122070299
5,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,3267,54,347,214.0,181.5,-0.1634683627163715,-0.6096241577453312,6180.361111111111,235.0,123.0,112.0,2655,20,313,180.0,147.5,-0.1634683627163715,-0.6096241577453312,6180.361111111111,201.0,89.0,112.0,1634132583.625179,0.082421064376831,0.19776606559753399
6,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,3390,54,347,214.0,178.42105263157896,-0.0643366051341715,-0.6203791644146341,6025.717451523546,235.0,123.0,112.0,2744,20,313,180.0,144.42105263157896,-0.0643366051341715,-0.6203791644146341,6025.717451523546,201.0,89.0,112.0,1634132583.62809,0.0029108524322509,0.20067691802978488
7,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,3513,54,347,214.0,175.65,0.026062555205042,-0.6084876058845095,5870.327500000001,235.0,123.0,112.0,2833,20,313,180.0,141.65,0.026062555205042,-0.6084876058845095,5870.327500000001,201.0,89.0,112.0,1634132583.630051,0.0019609928131103,0.20263791084289517
8,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1634132583.630108,5.7220458984375e-05,0.20269513130187955
9,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,108,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,40,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1634132583.669765,0.0396568775177001,0.24235200881957963
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,322,54,214,54.0,107.33333333333331,0.7071067811865477,-1.5000000000000002,5688.88888888889,134.0,54.0,80.0,220,20,180,20.0,73.33333333333333,0.7071067811865477,-1.5000000000000002,5688.88888888889,100.0,20.0,80.0,1634132588.428404,4.758639097213745,5.000991106033325
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,536,54,214,134.0,134.0,0.0,-2.0,6400.0,214.0,54.0,160.0,400,20,180,100.0,100.0,0.0,-2.0,6400.0,180.0,20.0,160.0,1634132593.429354,5.000949859619141,10.001940965652466
12,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,750,54,214,214.0,150.0,-0.408248290463863,-1.8333333333333333,6144.0,214.0,54.0,160.0,580,20,180,180.0,116.0,-0.408248290463863,-1.8333333333333333,6144.0,180.0,20.0,160.0,1634132598.435328,5.005974054336548,15.007915019989014
