Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,313,3232270786,347,225,333,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,3268,54,347,214.0,181.55555555555557,0.0627089973525177,-0.7536465006867212,8055.358024691358,229.75,123.0,106.75,2656,20,313,180.0,147.55555555555554,0.0627089973525177,-0.7536465006867212,8055.358024691358,195.75,89.0,106.75,1634132486.193661,0.0,0.0
1,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,3503,54,347,214.0,184.3684210526316,-0.0213545347018401,-0.711211750795572,7773.81163434903,235.0,123.0,112.0,2857,20,313,180.0,150.3684210526316,-0.0213545347018401,-0.711211750795572,7773.81163434903,201.0,89.0,112.0,1634132486.231267,0.0376060009002685,0.0376060009002685
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,3738,54,347,214.0,186.9,-0.099081512251174,-0.6559880894652723,7506.889999999999,235.0,123.0,112.0,3058,20,313,180.0,152.9,-0.099081512251174,-0.6559880894652723,7506.889999999999,201.0,89.0,112.0,1634132486.23396,0.0026929378509521,0.0402989387512206
3,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,235,235,235,235.0,235.0,0.0,-3.0,0.0,235.0,235.0,0.0,201,201,201,201.0,201.0,0.0,-3.0,0.0,201.0,201.0,0.0,1634132486.23616,0.0022001266479492,0.0424990653991698
4,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,358,123,235,179.0,179.0,0.0,-2.0,3136.0,207.0,151.0,56.0,290,89,201,145.0,145.0,0.0,-2.0,3136.0,173.0,117.0,56.0,1634132486.318532,0.0823719501495361,0.1248710155487059
5,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,481,123,235,123.0,160.33333333333334,0.7071067811865472,-1.5000000000000004,2787.555555555555,179.0,123.0,56.0,379,89,201,89.0,126.33333333333331,0.7071067811865477,-1.5,2787.555555555556,145.0,89.0,56.0,1634132486.321748,0.0032160282135009,0.1280870437622068
6,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,604,123,235,123.0,151.0,1.1547005383792517,-0.6666666666666665,2352.0,151.0,123.0,28.0,468,89,201,89.0,117.0,1.1547005383792517,-0.6666666666666665,2352.0,117.0,89.0,28.0,1634132486.323141,0.0013930797576904,0.1294801235198972
7,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,658,54,235,123.0,131.6,0.645607605669158,-0.3747047695081829,3387.0399999999995,123.0,123.0,0.0,488,20,201,89.0,97.6,0.645607605669158,-0.3747047695081829,3387.0399999999995,89.0,89.0,0.0,1634132486.324373,0.0012319087982177,0.1307120323181149
8,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,712,54,235,123.0,118.66666666666669,0.7784987114164856,-0.2844042313757779,3658.8888888888887,123.0,71.25,51.75,508,20,201,89.0,84.66666666666667,0.7784987114164856,-0.2844042313757779,3658.8888888888887,89.0,37.25,51.75,1634132486.491397,0.1670238971710205,0.2977359294891354
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,926,54,235,123.0,132.28571428571428,0.3441832763462724,-1.1719209542685496,4249.061224489797,168.5,88.5,80.0,688,20,201,89.0,98.28571428571428,0.3441832763462718,-1.1719209542685491,4249.061224489796,134.5,54.5,80.0,1634132488.375274,1.8838770389556885,2.1816129684448238
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,1140,54,235,123.0,142.5,0.0480118216182888,-1.429508210453676,4448.25,214.0,105.75,108.25,868,20,201,89.0,108.5,0.0480118216182888,-1.429508210453676,4448.25,180.0,71.75,108.25,1634132493.38463,5.009356021881104,7.190968990325928
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,1354,54,235,123.0,150.44444444444446,-0.1796737866909319,-1.4642416072476565,4458.913580246914,214.0,123.0,91.0,1048,20,201,89.0,116.44444444444444,-0.1796737866909311,-1.464241607247657,4458.913580246914,180.0,89.0,91.0,1634132498.381896,4.997266054153442,12.18823504447937
