Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,313,3232270786,347,218,333,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,3354,54,347,168.5,167.7,0.3487712134767434,-0.7427757496496805,8161.610000000001,219.25,105.75,113.5,2674,20,313,134.5,133.7,0.3487712134767434,-0.7427757496496805,8161.610000000001,185.25,71.75,113.5,1634132917.496292,0.0,0.0
1,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,235,235,235,235.0,235.0,0.0,-3.0,0.0,235.0,235.0,0.0,201,201,201,201.0,201.0,0.0,-3.0,0.0,201.0,201.0,0.0,1634132917.534454,0.0381619930267334,0.0381619930267334
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,470,235,235,235.0,235.0,0.0,-3.0,0.0,235.0,235.0,0.0,402,201,201,201.0,201.0,0.0,-3.0,0.0,201.0,201.0,0.0,1634132917.537253,0.0027987957000732,0.0409607887268066
3,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,705,235,235,235.0,235.0,0.0,-3.0,0.0,235.0,235.0,0.0,603,201,201,201.0,201.0,0.0,-3.0,0.0,201.0,201.0,0.0,1634132917.540302,0.0030491352081298,0.0440099239349364
4,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,828,123,235,235.0,207.0,-1.1547005383792517,-0.6666666666666665,2352.0,235.0,207.0,28.0,692,89,201,201.0,173.0,-1.1547005383792517,-0.6666666666666665,2352.0,201.0,173.0,28.0,1634132917.622813,0.0825109481811523,0.1265208721160887
5,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,951,123,235,235.0,190.2,-0.4082482904638624,-1.833333333333334,3010.5600000000004,235.0,123.0,112.0,781,89,201,201.0,156.2,-0.4082482904638624,-1.833333333333334,3010.5600000000004,201.0,89.0,112.0,1634132917.625916,0.0031030178070068,0.1296238899230955
6,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1005,54,235,179.0,167.5,-0.328952927348045,-1.478502775888978,5085.25,235.0,123.0,112.0,801,20,201,145.0,133.5,-0.328952927348045,-1.478502775888978,5085.25,201.0,89.0,112.0,1634132917.628549,0.0026330947875976,0.1322569847106931
7,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,1128,54,235,123.0,161.14285714285714,-0.0859528728843337,-1.465615349256041,4601.265306122449,235.0,123.0,112.0,890,20,201,89.0,127.14285714285714,-0.0859528728843337,-1.465615349256041,4601.265306122449,201.0,89.0,112.0,1634132917.629014,0.000464916229248,0.1327219009399411
8,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1182,54,235,123.0,147.75,0.0974202053796973,-1.52366096767142,5281.6875,235.0,105.75,129.25,910,20,201,89.0,113.75,0.0974202053796973,-1.52366096767142,5281.6875,201.0,71.75,129.25,1634132917.631217,0.0022029876708984,0.1349248886108395
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,1396,54,235,123.0,155.11111111111111,-0.1309767740399486,-1.5363027309938715,5128.320987654321,235.0,123.0,112.0,1090,20,201,89.0,121.11111111111111,-0.1309767740399486,-1.5363027309938715,5128.320987654321,201.0,89.0,112.0,1634132918.602377,0.9711599349975586,1.106084823608398
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,1610,54,235,168.5,161.0,-0.318377966805647,-1.4590767486349516,4927.6,229.75,123.0,106.75,1270,20,201,134.5,127.0,-0.318377966805647,-1.4590767486349516,4927.6,195.75,89.0,106.75,1634132923.604097,5.001719951629639,6.107804775238037
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,1824,54,235,214.0,165.8181818181818,-0.4786229986540691,-1.3307889912702004,4711.785123966944,224.5,123.0,101.5,1450,20,201,180.0,131.8181818181818,-0.4786229986540691,-1.3307889912702004,4711.785123966944,190.5,89.0,101.5,1634132928.609285,5.005188226699829,11.112993001937866
