Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,313,3232270786,347,218,333,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,3514,54,347,214.0,175.7,0.2339039259674374,-0.64734013634853,7558.410000000001,219.25,123.0,96.25,2834,20,313,180.0,141.7,0.2339039259674374,-0.64734013634853,7558.410000000001,185.25,89.0,96.25,1634132841.304107,0.0,0.0
1,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1634132841.306375,0.0022680759429931,0.0022680759429931
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,289,54,235,144.5,144.5,0.0,-2.0,8190.25,189.75,99.25,90.5,221,20,201,110.5,110.5,0.0,-2.0,8190.25,155.75,65.25,90.5,1634132841.341934,0.0355589389801025,0.0378270149230956
3,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,524,54,235,235.0,174.66666666666666,-0.7071067811865471,-1.5000000000000004,7280.222222222223,235.0,144.5,90.5,422,20,201,201.0,140.66666666666666,-0.7071067811865471,-1.5000000000000004,7280.222222222223,201.0,110.5,90.5,1634132841.344738,0.0028040409088134,0.040631055831909
4,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,759,54,235,235.0,189.75,-1.1547005383792517,-0.6666666666666665,6142.6875,235.0,189.75,45.25,623,20,201,201.0,155.75,-1.1547005383792517,-0.6666666666666665,6142.6875,201.0,155.75,45.25,1634132841.346833,0.0020949840545654,0.0427260398864744
5,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,882,54,235,235.0,176.4,-0.6549802202345518,-1.3074511595267195,5627.04,235.0,123.0,112.0,712,20,201,201.0,142.4,-0.6549802202345518,-1.3074511595267195,5627.04,201.0,89.0,112.0,1634132841.430365,0.0835320949554443,0.1262581348419187
6,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,1005,54,235,179.0,167.5,-0.328952927348045,-1.478502775888978,5085.25,235.0,123.0,112.0,801,20,201,145.0,133.5,-0.328952927348045,-1.478502775888978,5085.25,201.0,89.0,112.0,1634132841.43338,0.0030148029327392,0.1292729377746579
7,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,1128,54,235,123.0,161.14285714285714,-0.0859528728843336,-1.4656153492560402,4601.265306122448,235.0,123.0,112.0,890,20,201,89.0,127.14285714285714,-0.0859528728843336,-1.4656153492560402,4601.265306122448,201.0,89.0,112.0,1634132841.43561,0.002230167388916,0.13150310516357389
8,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1182,54,235,123.0,147.75,0.0974202053796973,-1.52366096767142,5281.6875,235.0,105.75,129.25,910,20,201,89.0,113.75,0.0974202053796973,-1.52366096767142,5281.6875,201.0,71.75,129.25,1634132841.541389,0.1057789325714111,0.237282037734985
9,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1236,54,235,123.0,137.33333333333334,0.281165313491466,-1.4999999999999998,5562.888888888889,235.0,54.0,181.0,930,20,201,89.0,103.33333333333331,0.2811653134914667,-1.4999999999999998,5562.888888888889,201.0,20.0,181.0,1634132841.782994,0.2416050434112548,0.4788870811462398
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,1450,54,235,123.0,145.0,0.0541089971771285,-1.610036172541785,5535.6,229.75,71.25,158.5,1110,20,201,89.0,111.0,0.0541089971771285,-1.610036172541785,5535.6,195.75,37.25,158.5,1634132843.56281,1.779815912246704,2.258702993392944
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,1664,54,235,123.0,151.27272727272728,-0.1306768991589185,-1.6138090464917547,5425.834710743802,224.5,88.5,136.0,1290,20,201,89.0,117.27272727272728,-0.1306768991589179,-1.6138090464917545,5425.834710743801,190.5,54.5,136.0,1634132848.563744,5.00093412399292,7.259637117385864
12,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,1878,54,235,168.5,156.5,-0.2875960122599141,-1.5571661850015173,5274.25,219.25,105.75,113.5,1470,20,201,134.5,122.5,-0.2875960122599141,-1.5571661850015173,5274.25,185.25,71.75,113.5,1634132853.569775,5.006031036376953,12.265668153762817
