Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1568,54,235,168.5,156.8,-0.3667214030602401,-1.3946671898329708,4376.56,214.0,123.0,91.0,1228,20,201,134.5,122.8,-0.3667214030602395,-1.3946671898329708,4376.56,180.0,89.0,91.0,1634131572.430014,0.0,0.0
1,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1803,54,235,214.0,163.9090909090909,-0.4963697899787982,-1.2976436314788833,4484.082644628099,214.0,123.0,91.0,1429,20,201,180.0,129.9090909090909,-0.4963697899787982,-1.2976436314788833,4484.082644628099,180.0,89.0,91.0,1634131572.430014,0.0,0.0
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2038,54,235,214.0,169.83333333333334,-0.6195591520780476,-1.1707637882605637,4496.472222222224,219.25,123.0,96.25,1630,20,201,180.0,135.83333333333334,-0.6195591520780476,-1.1707637882605637,4496.472222222224,185.25,89.0,96.25,1634131572.430808,0.0007941722869873,0.0007941722869873
3,1,0,0,0,2,3,20,3232270786,54,218,40,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2092,54,235,214.0,160.92307692307693,-0.4247941992641293,-1.4629554167736751,5103.301775147929,214.0,123.0,91.0,1650,20,201,180.0,126.92307692307692,-0.4247941992641288,-1.4629554167736754,5103.301775147929,180.0,89.0,91.0,1634131572.516806,0.0859978199005127,0.0867919921875
4,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2215,54,235,168.5,158.21428571428572,-0.3224990913972269,-1.462446225834275,4834.168367346939,214.0,123.0,91.0,1739,20,201,134.5,124.21428571428572,-0.3224990913972265,-1.4624462258342747,4834.168367346938,180.0,89.0,91.0,1634131572.519182,0.0023760795593261,0.0891680717468261
5,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2338,54,235,123.0,155.86666666666667,-0.2307924538506714,-1.4418838552482762,4589.04888888889,214.0,123.0,91.0,1828,20,201,89.0,121.86666666666666,-0.2307924538506708,-1.441883855248277,4589.04888888889,180.0,89.0,91.0,1634131572.520772,0.0015900135040283,0.09075808525085441
6,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2461,54,235,123.0,153.8125,-0.1475900108210715,-1.4061809134192118,4365.52734375,214.0,123.0,91.0,1917,20,201,89.0,119.8125,-0.1475900108210715,-1.4061809134192118,4365.52734375,180.0,89.0,91.0,1634131572.522402,0.0016300678253173,0.09238815307617171
7,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2515,54,235,123.0,147.94117647058823,-0.0511449531279756,-1.4769022446898037,4660.290657439446,214.0,123.0,91.0,1937,20,201,89.0,113.94117647058825,-0.0511449531279756,-1.4769022446898037,4660.290657439446,180.0,89.0,91.0,1634131572.53268,0.0102779865264892,0.10266613960266091
8,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2569,54,235,123.0,142.72222222222223,0.0438570380310078,-1.517368211036767,4864.422839506172,214.0,71.25,142.75,1957,20,201,89.0,108.72222222222224,0.0438570380310078,-1.517368211036767,4864.422839506172,180.0,37.25,142.75,1634131572.776098,0.2434179782867431,0.346084117889404
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,2783,54,235,123.0,146.47368421052633,-0.0637567365259144,-1.5400212199782022,4861.72299168975,214.0,88.5,125.5,2137,20,201,89.0,112.47368421052632,-0.0637567365259138,-1.5400212199782022,4861.72299168975,180.0,54.5,125.5,1634131572.892125,0.1160268783569336,0.4621109962463376
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,2997,54,235,123.0,149.85,-0.1610578391231463,-1.5361824993020212,4835.227500000001,214.0,105.75,108.25,2317,20,201,89.0,115.85,-0.1610578391231463,-1.5361824993020212,4835.227500000001,180.0,71.75,108.25,1634131577.898535,5.006410121917725,5.4685211181640625
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,214,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,180,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1634131582.899134,5.000598907470703,10.469120025634766
12,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,428,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,360,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1634131587.90006,5.000926017761231,15.470046043395996
