Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1643,54,235,123.0,149.36363636363637,-0.1455830609591389,-1.592376721831778,5142.595041322313,214.0,88.5,125.5,1269,20,201,89.0,115.36363636363636,-0.1455830609591383,-1.5923767218317788,5142.5950413223145,180.0,54.5,125.5,1634132187.887082,0.0,0.0
1,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1878,54,235,168.5,156.5,-0.2875960122599141,-1.5571661850015173,5274.25,219.25,105.75,113.5,1470,20,201,134.5,122.5,-0.2875960122599141,-1.5571661850015173,5274.25,185.25,71.75,113.5,1634132187.892718,0.0056359767913818,0.0056359767913818
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2113,54,235,214.0,162.53846153846155,-0.4160749266020379,-1.483655579971556,5306.094674556211,235.0,123.0,112.0,1671,20,201,180.0,128.53846153846155,-0.4160749266020379,-1.483655579971556,5306.094674556211,201.0,89.0,112.0,1634132187.892718,0.0,0.0056359767913818
3,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2236,54,235,168.5,159.71428571428572,-0.3113588366556627,-1.4858418035018963,5030.775510204082,229.75,123.0,106.75,1760,20,201,134.5,125.71428571428572,-0.311358836655662,-1.4858418035018968,5030.775510204082,195.75,89.0,106.75,1634132187.974743,0.0820248126983642,0.087660789489746
4,1,0,0,0,2,3,20,3232270786,54,225,40,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2290,54,235,123.0,152.66666666666666,-0.1721277149078154,-1.6041683295779154,5390.755555555556,224.5,88.5,136.0,1780,20,201,89.0,118.66666666666669,-0.1721277149078159,-1.6041683295779152,5390.755555555556,190.5,54.5,136.0,1634132187.978389,0.0036461353302001,0.0913069248199461
5,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2413,54,235,123.0,150.8125,-0.1016926675911016,-1.5537781487068514,5105.40234375,219.25,105.75,113.5,1869,20,201,89.0,116.8125,-0.1016926675911016,-1.5537781487068514,5105.40234375,185.25,71.75,113.5,1634132187.980064,0.0016748905181884,0.09298181533813449
6,1,0,0,0,2,3,89,3232270786,123,225,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2536,54,235,123.0,149.1764705882353,-0.0366815077018562,-1.495680592266991,4847.910034602077,214.0,123.0,91.0,1958,20,201,89.0,115.17647058823528,-0.0366815077018555,-1.4956805922669916,4847.910034602077,180.0,89.0,91.0,1634132187.981891,0.0018270015716552,0.09480881690978969
7,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2590,54,235,123.0,143.88888888888889,0.0576829481739447,-1.530275694764642,5053.876543209877,214.0,71.25,142.75,1978,20,201,89.0,109.88888888888889,0.0576829481739447,-1.530275694764642,5053.876543209877,180.0,37.25,142.75,1634132188.178568,0.1966769695281982,0.2914857864379879
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,2804,54,235,123.0,147.57894736842104,-0.0503945461904846,-1.551594528976722,5032.980609418282,214.0,88.5,125.5,2158,20,201,89.0,113.57894736842104,-0.0503945461904852,-1.5515945289767226,5032.980609418282,180.0,54.5,125.5,1634132188.218869,0.0403010845184326,0.3317868709564205
9,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2858,54,235,123.0,142.9,0.0400024511813489,-1.5826002676689848,5197.29,214.0,54.0,160.0,2178,20,201,89.0,108.9,0.0400024511813489,-1.5826002676689848,5197.29,180.0,20.0,160.0,1634132188.409168,0.1902990341186523,0.5220859050750728
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,214,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,180,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1634132193.224987,4.815819025039673,5.337904930114746
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,428,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,360,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1634132198.22596,5.0009729862213135,10.33887791633606
12,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,642,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,540,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1634132203.22682,5.000859975814819,15.339737892150879
