Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,877,214,235,214.0,219.25,1.1547005383792517,-0.6666666666666665,82.6875,219.25,214.0,5.25,741,180,201,180.0,185.25,1.1547005383792517,-0.6666666666666665,82.6875,185.25,180.0,5.25,1634132026.62813,0.0,0.0
1,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1112,214,235,214.0,222.4,0.4082482904638613,-1.833333333333334,105.84,235.0,214.0,21.0,942,180,201,180.0,188.4,0.4082482904638613,-1.833333333333334,105.84,201.0,180.0,21.0,1634132026.630639,0.0025091171264648,0.0025091171264648
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1347,214,235,224.5,224.5,0.0,-2.0,110.25,235.0,214.0,21.0,1143,180,201,190.5,190.5,0.0,-2.0,110.25,201.0,180.0,21.0,1634132026.632845,0.0022058486938476,0.004714965820312399
3,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,1470,123,235,214.0,210.0,-1.7492965158206126,1.5421267653431483,1356.0,235.0,214.0,21.0,1232,89,201,180.0,176.0,-1.7492965158206126,1.5421267653431483,1356.0,201.0,180.0,21.0,1634132026.717123,0.0842781066894531,0.0889930725097655
4,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,1593,123,235,214.0,199.125,-1.0147117947065407,-0.7733223772171725,2014.359375,235.0,191.25,43.75,1321,89,201,180.0,165.125,-1.0147117947065407,-0.7733223772171725,2014.359375,201.0,157.25,43.75,1634132026.719317,0.0021939277648925,0.091187000274658
5,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,1716,123,235,214.0,190.66666666666663,-0.6094204234245685,-1.5000000000000004,2362.8888888888887,235.0,123.0,112.0,1410,89,201,180.0,156.66666666666666,-0.6094204234245685,-1.5000000000000004,2362.8888888888887,201.0,89.0,112.0,1634132026.721157,0.0018401145935058,0.0930271148681638
6,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1770,54,235,214.0,177.0,-0.6792757545660962,-0.9723308371893892,3807.6,229.75,123.0,106.75,1430,20,201,180.0,143.0,-0.6792757545660962,-0.9723308371893892,3807.6,195.75,89.0,106.75,1634132026.72158,0.0004229545593261,0.0934500694274899
7,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1824,54,235,214.0,165.8181818181818,-0.4786229986540695,-1.3307889912701996,4711.785123966942,224.5,123.0,101.5,1450,20,201,180.0,131.8181818181818,-0.4786229986540695,-1.3307889912701996,4711.785123966942,190.5,89.0,101.5,1634132026.72158,0.0,0.0934500694274899
8,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1878,54,235,168.5,156.5,-0.2875960122599141,-1.5571661850015173,5274.25,219.25,105.75,113.5,1470,20,201,134.5,122.5,-0.2875960122599141,-1.5571661850015173,5274.25,185.25,71.75,113.5,1634132026.832297,0.1107170581817627,0.2041671276092526
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,2092,54,235,214.0,160.92307692307693,-0.4247941992641294,-1.4629554167736754,5103.301775147929,214.0,123.0,91.0,1650,20,201,180.0,126.92307692307692,-0.4247941992641289,-1.4629554167736754,5103.301775147929,180.0,89.0,91.0,1634132028.139021,1.3067238330841064,1.510890960693359
