Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,201,3232270786,235,218,221,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,931,54,235,214.0,186.2,-1.4420131081800125,0.1811344453283814,4435.36,214.0,214.0,0.0,761,20,201,180.0,152.2,-1.4420131081800125,0.1811344453283814,4435.36,180.0,180.0,0.0,1634131656.91704,0.0,0.0
1,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1166,54,235,214.0,194.33333333333331,-1.6998943966656004,1.046975568379148,4026.888888888889,229.75,214.0,15.75,962,20,201,180.0,160.33333333333334,-1.6998943966656004,1.046975568379148,4026.888888888889,195.75,180.0,15.75,1634131656.954773,0.0377328395843505,0.0377328395843505
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1401,54,235,214.0,200.14285714285717,-1.9313110515542151,1.928862387757733,3654.122448979592,235.0,214.0,21.0,1163,20,201,180.0,166.14285714285714,-1.9313110515542151,1.928862387757733,3654.122448979592,201.0,180.0,21.0,1634131656.957583,0.002810001373291,0.040542840957641504
3,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1636,54,235,224.5,204.5,-2.1417072687285765,2.8216118564427743,3330.25,235.0,214.0,21.0,1364,20,201,190.5,170.5,-2.1417072687285765,2.8216118564427743,3330.25,201.0,180.0,21.0,1634131656.961683,0.0041000843048095,0.044642925262451005
4,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,1759,54,235,214.0,195.44444444444449,-1.5038450821349505,0.7210779070107867,3616.246913580248,235.0,214.0,21.0,1453,20,201,180.0,161.44444444444446,-1.5038450821349505,0.7210779070107867,3616.246913580248,201.0,180.0,21.0,1634131657.043632,0.0819489955902099,0.1265919208526609
5,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,1882,54,235,214.0,188.2,-1.103034238559514,-0.2570099496768914,3726.960000000001,235.0,145.75,89.25,1542,20,201,180.0,154.2,-1.103034238559514,-0.2570099496768914,3726.960000000001,201.0,111.75,89.25,1634131657.046273,0.002640962600708,0.12923288345336892
6,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,1936,54,235,214.0,176.0,-0.7857349770960176,-1.0367088297124667,4876.545454545455,235.0,123.0,112.0,1562,20,201,180.0,142.0,-0.7857349770960176,-1.0367088297124667,4876.545454545455,201.0,89.0,112.0,1634131657.048092,0.0018188953399658,0.1310517787933347
7,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2059,54,235,214.0,171.58333333333334,-0.6097772559020099,-1.2023671195387378,4684.743055555556,235.0,123.0,112.0,1651,20,201,180.0,137.58333333333334,-0.6097772559020099,-1.2023671195387378,4684.743055555556,201.0,89.0,112.0,1634131657.050164,0.0020720958709716,0.1331238746643063
8,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2113,54,235,214.0,162.53846153846155,-0.4160749266020376,-1.483655579971558,5306.094674556214,235.0,123.0,112.0,1671,20,201,180.0,128.53846153846155,-0.4160749266020376,-1.483655579971558,5306.094674556214,201.0,89.0,112.0,1634131657.186947,0.1367831230163574,0.26990699768066373
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,2327,54,235,214.0,166.21428571428572,-0.5374833993785045,-1.3635271043993542,5102.739795918367,229.75,123.0,106.75,1851,20,201,180.0,132.21428571428572,-0.5374833993785045,-1.3635271043993542,5102.739795918367,195.75,89.0,106.75,1634131657.93757,0.7506229877471924,1.020529985427856
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,2541,54,235,214.0,169.4,-0.6477305626072646,-1.2268627397432053,4904.64,224.5,123.0,101.5,2031,20,201,180.0,135.4,-0.6477305626072646,-1.2268627397432053,4904.64,190.5,89.0,101.5,1634131662.938488,5.000917911529541,6.0214478969573975
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,2755,54,235,214.0,172.1875,-0.74904904318111,-1.0781410368322772,4714.65234375,219.25,123.0,96.25,2211,20,201,180.0,138.1875,-0.74904904318111,-1.0781410368322772,4714.65234375,185.25,89.0,96.25,1634131667.944832,5.0063440799713135,11.027791976928711
12,1,0,0,0,3,2,89,584410931,123,255,109,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2878,54,235,214.0,169.2941176470588,-0.6326037157802602,-1.1787405047153827,4571.266435986159,214.0,123.0,91.0,2300,20,201,180.0,135.2941176470588,-0.6326037157802602,-1.1787405047153827,4571.266435986159,180.0,89.0,91.0,1634131670.825496,2.8806638717651367,13.908455848693848
13,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,3001,54,235,214.0,166.72222222222223,-0.5290262955969,-1.2459981418341446,4429.756172839505,214.0,123.0,91.0,2389,20,201,180.0,132.72222222222223,-0.5290262955969,-1.2459981418341446,4429.756172839505,180.0,89.0,91.0,1634131670.912388,0.0868921279907226,13.99534797668457
14,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,3055,54,235,214.0,160.78947368421052,-0.4080179887650907,-1.4212732661796192,4830.16620498615,214.0,123.0,91.0,2409,20,201,180.0,126.78947368421052,-0.4080179887650907,-1.4212732661796192,4830.16620498615,180.0,89.0,91.0,1634131671.049884,0.1374959945678711,14.132843971252441
15,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,3269,54,235,214.0,163.45,-0.4938544445025387,-1.3460269304666403,4723.1475,214.0,123.0,91.0,2589,20,201,180.0,129.45,-0.4938544445025387,-1.3460269304666403,4723.1475,180.0,89.0,91.0,1634131672.946291,1.896406888961792,16.029250860214233
