Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,201,3232270786,235,218,221,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,2103,54,235,123.0,150.21428571428572,-0.1246169792258393,-1.442476943390955,4437.596938775509,214.0,123.0,91.0,1627,20,201,89.0,116.21428571428572,-0.1246169792258386,-1.4424769433909568,4437.596938775511,180.0,89.0,91.0,1634131627.665016,0.0,0.0
1,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2157,54,235,123.0,143.8,-0.0083739781213361,-1.5126866661300051,4717.76,214.0,88.5,125.5,1647,20,201,89.0,109.8,-0.0083739781213355,-1.5126866661300051,4717.759999999999,180.0,54.5,125.5,1634131627.870292,0.2052760124206543,0.2052760124206543
2,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2392,54,235,123.0,149.5,-0.1141750869485235,-1.5360882413944634,4910.25,214.0,105.75,108.25,1848,20,201,89.0,115.5,-0.1141750869485235,-1.5360882413944634,4910.25,180.0,71.75,108.25,1634131627.902921,0.0326290130615234,0.2379050254821777
3,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2627,54,235,123.0,154.52941176470588,-0.2137648181065689,-1.5301266368893416,5026.131487889274,214.0,123.0,91.0,2049,20,201,89.0,120.52941176470588,-0.2137648181065689,-1.5301266368893416,5026.131487889274,180.0,89.0,91.0,1634131627.905695,0.0027740001678466,0.2406790256500243
4,1,0,0,0,3,2,201,584410931,235,255,221,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,2862,54,235,168.5,159.0,-0.306792858545248,-1.5012643235898857,5086.666666666667,229.75,123.0,106.75,2250,20,201,134.5,125.0,-0.306792858545248,-1.5012643235898857,5086.666666666667,195.75,89.0,106.75,1634131627.907811,0.0021159648895263,0.24279499053955061
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,49153,6667,0,0,0,0,3,584410931,6,49153,8886,3076,54,235,214.0,161.89473684210526,-0.3992215933658424,-1.4376187494232362,4969.7783933518,224.5,123.0,101.5,2430,20,201,180.0,127.89473684210526,-0.3992215933658424,-1.4376187494232362,4969.7783933518,190.5,89.0,101.5,1634131627.922613,0.0148019790649414,0.257596969604492
6,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,3199,54,235,168.5,159.95,-0.32499025999916,-1.4405999511424783,4793.1475,219.25,123.0,96.25,2519,20,201,134.5,125.95,-0.3249902599991603,-1.4405999511424787,4793.147500000001,185.25,89.0,96.25,1634131627.991314,0.0687010288238525,0.3262979984283445
7,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,123,123,123,123.0,123.0,0.0,-3.0,0.0,123.0,123.0,0.0,89,89,89,89.0,89.0,0.0,-3.0,0.0,89.0,89.0,0.0,1634131627.993893,0.0025789737701416,0.3288769721984861
8,1,0,0,0,2,3,89,3232270786,123,218,109,6,8886,49153,0,0,0,0,3,584410931,6,49153,8886,246,123,123,123.0,123.0,0.0,-3.0,0.0,123.0,123.0,0.0,178,89,89,89.0,89.0,0.0,-3.0,0.0,89.0,89.0,0.0,1634131627.996077,0.0021841526031494,0.3310611248016355
9,1,0,0,0,3,2,20,584410931,54,255,40,6,49153,8886,0,0,0,0,3,584410931,6,49153,8886,300,54,123,123.0,100.0,-0.7071067811865476,-1.5,1058.0,123.0,88.5,34.5,198,20,89,89.0,66.0,-0.7071067811865476,-1.5,1058.0,89.0,54.5,34.5,1634131628.043134,0.0470569133758544,0.3781180381774899
