Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,1,3232270593,1,0,0,98,98,98,98.0,98.0,0.0,-3.0,0.0,98.0,98.0,0.0,64,64,64,64.0,64.0,0.0,-3.0,0.0,64.0,64.0,0.0,1634129040.306708,0.0,0.0
1,1,0,1,0,2,1,40,2018300615,74,64,60,6,44884,80,0,0,0,0,2,3232270593,1,44884,80,172,74,98,86.0,86.0,0.0,-2.0,144.0,92.0,80.0,12.0,104,40,64,52.0,52.0,0.0,-2.0,144.0,58.0,46.0,12.0,1634129040.6862,0.3794918060302734,0.3794918060302734
2,1,0,1,0,2,1,40,2018300615,74,64,60,6,44884,80,0,0,0,0,2,2018300615,6,44884,80,246,74,98,74.0,82.0,0.7071067811865475,-1.5,128.0,86.0,74.0,12.0,144,40,64,40.0,48.0,0.7071067811865475,-1.5,128.0,52.0,40.0,12.0,1634129041.681282,0.995082139968872,1.3745739459991453
3,1,0,1,0,2,1,40,2018300615,74,64,60,6,44884,80,0,0,0,0,2,2018300615,6,44884,80,320,74,98,74.0,80.0,1.1547005383792517,-0.6666666666666665,108.0,80.0,74.0,6.0,184,40,64,40.0,46.0,1.1547005383792517,-0.6666666666666665,108.0,46.0,40.0,6.0,1634129043.683912,2.0026299953460693,3.377203941345215
4,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,2,2018300615,6,44884,80,418,74,98,74.0,83.6,0.4082482904638643,-1.8333333333333328,138.24,98.0,74.0,24.0,248,40,64,40.0,49.6,0.4082482904638626,-1.8333333333333337,138.24,64.0,40.0,24.0,1634129044.421297,0.7373850345611572,4.114588975906372
5,0,1,0,0,2,2,24,794308863,58,64,44,17,49066,8877,0,0,0,0,3,2018300615,6,44884,80,476,58,98,74.0,79.33333333333333,0.1600821880836664,-1.2271105826397142,206.2222222222222,92.0,74.0,18.0,272,24,64,40.0,45.333333333333336,0.1600821880836648,-1.2271105826397144,206.2222222222222,58.0,40.0,18.0,1634129045.327747,0.9064500331878662,5.021039009094238
6,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,3,3232270593,1,44884,80,574,58,98,74.0,82.0,-0.1350154312168304,-1.395833333333333,219.42857142857144,98.0,74.0,24.0,336,24,64,40.0,48.0,-0.1350154312168304,-1.395833333333333,219.42857142857144,64.0,40.0,24.0,1634129045.353854,0.026106834411621,5.047145843505859
7,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,3,3232270593,1,44884,80,672,58,98,86.0,84.0,-0.3677453795254047,-1.3454545454545457,220.0,98.0,74.0,24.0,400,24,64,52.0,50.0,-0.3677453795254047,-1.3454545454545457,220.0,64.0,40.0,24.0,1634129046.282565,0.9287111759185792,5.9758570194244385
8,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,3,3232270593,1,44884,80,770,58,98,98.0,85.55555555555556,-0.5613094704425432,-1.195880190311418,214.9135802469136,98.0,74.0,24.0,464,24,64,64.0,51.55555555555556,-0.5613094704425432,-1.195880190311418,214.9135802469136,64.0,40.0,24.0,1634129047.226672,0.9441068172454834,6.919963836669922
9,1,0,1,0,2,1,40,2018300615,74,64,60,6,44884,80,0,0,0,0,3,3232270593,1,44884,80,844,58,98,86.0,84.4,-0.3505362845878113,-1.3329257285934717,205.44,98.0,74.0,24.0,504,24,64,52.0,50.4,-0.3505362845878099,-1.3329257285934728,205.44,64.0,40.0,24.0,1634129047.690284,0.4636120796203613,7.383575916290283
10,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,3,3232270593,1,44884,80,942,58,98,98.0,85.63636363636364,-0.5086978663212258,-1.225473534168471,202.04958677685957,98.0,74.0,24.0,568,24,64,64.0,51.63636363636363,-0.5086978663212245,-1.2254735341684722,202.0495867768595,64.0,40.0,24.0,1634129048.161421,0.4711370468139648,7.854712963104248
