Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,1,1,308,4294967295,342,64,328,17,68,67,0,0,0,0,7,3232270593,17,53,80,1378,54,342,74.0,98.42857142857144,2.941674462511579,7.458197150072818,4910.959183673469,98.0,74.0,24.0,308,308,308,308.0,308.0,0.0,-3.0,0.0,308.0,308.0,0.0,1634129553.141523,0.0,0.0
1,0,1,0,0,1,1,314,3232270647,348,128,334,17,67,68,0,0,0,0,7,3232270593,17,53,80,1726,54,348,74.0,115.06666666666666,1.997864919949213,2.2611630431767,8459.128888888888,98.0,74.0,24.0,622,308,314,311.0,311.0,0.0,-2.0,9.0,312.5,309.5,3.0,1634129553.149053,0.0075302124023437,0.0075302124023437
2,0,1,0,0,1,1,308,4294967295,342,64,328,17,68,67,0,0,0,0,7,3232270593,17,53,80,2068,54,348,74.0,129.25,1.5006066697845626,0.4034080060538865,10947.9375,105.0,74.0,31.0,930,308,314,308.0,310.0,0.7071067811865475,-1.5,8.0,311.0,308.0,3.0,1634129553.198578,0.0495247840881347,0.057054996490478405
3,0,1,0,0,1,1,314,3232270647,348,128,334,17,67,68,0,0,0,0,7,3232270593,17,53,80,2416,54,348,74.0,142.11764705882354,1.1744608385415016,-0.517007980637433,12953.162629757788,126.0,74.0,52.0,1244,308,314,311.0,311.0,0.0,-2.0,9.0,314.0,308.0,6.0,1634129553.205693,0.0071151256561279,0.0641701221466063
4,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,7,3232270593,17,53,80,2476,54,348,74.0,137.55555555555554,1.258186933721721,-0.3060051972116393,12587.35802469136,119.0,74.0,45.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634129553.394482,0.188788890838623,0.25295901298522927
5,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,7,3232270593,17,53,80,2536,54,348,74.0,133.47368421052633,1.3380277821555242,-0.0920028423751881,12224.775623268695,112.0,67.0,45.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634129554.231107,0.8366250991821289,1.0895841121673582
6,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,3,0,7,3232270593,17,53,80,2578,42,348,74.0,128.9,1.401412285342754,0.109568594397472,12010.99,105.0,60.0,45.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634129554.231128,2.09808349609375e-05,1.0896050930023191
7,0,1,0,0,3,2,72,794308863,106,64,92,17,52810,7788,0,0,3,0,7,3232270593,17,53,80,106,106,106,106.0,106.0,0.0,-3.0,0.0,106.0,106.0,0.0,1316,72,314,308.0,263.2,-1.4970488839648466,0.2460659530045963,9146.56,314.0,308.0,6.0,1634129554.239225,0.0080969333648681,1.0977020263671873
8,0,1,0,0,2,3,24,3232270647,58,111,44,17,7788,52810,0,0,3,0,7,3232270593,17,53,80,164,58,106,82.0,82.0,0.0,-2.0,576.0,94.0,70.0,24.0,1340,24,314,308.0,223.33333333333331,-0.7448360185528222,-1.3902070921796243,15568.88888888889,312.5,131.0,181.5,1634129554.477458,0.2382330894470214,1.3359351158142088
9,0,1,0,0,3,1,45,3232270593,79,64,65,17,50271,53,1,0,3,0,7,3232270593,17,53,80,243,58,106,79.0,81.0,0.1516410850630001,-1.5,386.0,92.5,68.5,24.0,1385,24,314,308.0,197.8571428571429,-0.316489637134386,-1.861337885425764,17238.979591836734,311.0,58.5,252.5,1634129556.434297,1.956839084625244,3.2927742004394527
10,0,1,0,0,1,3,61,3232270647,95,128,81,17,53,50271,2,0,3,0,7,3232270593,17,53,80,338,58,106,87.0,84.5,-0.3258182811119913,-1.3091258202316467,326.25,97.75,73.75,24.0,1446,24,314,190.0,180.75,-0.0280677279076061,-1.9593322463174871,17132.6875,309.5,57.0,252.5,1634129556.43662,0.0023229122161865,3.295097112655639
11,1,0,1,0,2,1,40,2018300615,74,64,60,6,44923,80,2,0,3,0,7,3232270593,17,53,80,412,58,106,79.0,82.4,-0.0006088748797983,-1.2097557398888112,278.64,95.0,74.0,21.0,1486,24,314,72.0,165.11111111111111,0.1972332839775321,-1.9244847822661508,17185.654320987655,308.0,45.0,263.0,1634129556.46134,0.0247199535369873,3.3198170661926265
12,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,2,0,3,0,7,3232270593,17,53,80,510,58,106,87.0,85.0,-0.3369961332056466,-1.16171066764656,266.0,97.25,75.25,22.0,1550,24,314,68.0,155.0,0.3788126211936616,-1.8142789274741649,16387.2,308.0,49.0,259.0,1634129556.664484,0.2031440734863281,3.5229611396789546
13,0,1,0,0,3,1,41,3232270593,75,64,61,17,51515,53,3,0,3,0,7,3232270593,17,53,80,585,58,106,79.0,83.57142857142857,-0.097606696018303,-1.130652547917742,240.24489795918365,96.5,74.5,22.0,1591,24,314,64.0,144.63636363636363,0.5377455909277901,-1.669041898365884,15971.504132231405,308.0,43.0,265.0,1634129556.716159,0.0516750812530517,3.5746362209320064
14,0,1,0,0,1,3,155,3232270647,189,128,175,17,53,51515,4,0,3,0,7,3232270593,17,53,80,774,58,189,87.0,96.75,1.6250142070121691,1.6275877304269557,1425.9375,100.0,74.75,25.25,1746,24,314,68.0,145.5,0.5398303026106477,-1.5653807685575416,14648.75,308.0,44.0,264.0,1634129556.754601,0.0384418964385986,3.613078117370605
15,0,1,0,0,3,1,56,3452847623,90,64,76,17,59555,123,4,1,3,0,8,3232270593,17,53,80,864,58,189,90.0,96.0,1.7767924627650675,2.316211614783171,1272.0,98.0,75.0,23.0,1802,24,314,64.0,138.6153846153846,0.6694172307070655,-1.408801352716894,14090.698224852073,308.0,45.0,263.0,1634129556.774518,0.0199170112609863,3.6329951286315914
16,0,1,0,0,1,3,56,3232270647,90,52,76,17,123,59555,4,2,3,0,8,3232270593,17,53,80,954,58,189,90.0,95.4,1.9175553933164744,3.00764996768712,1148.0400000000002,97.25,76.0,21.25,1858,24,314,62.5,132.71428571428572,0.7868483914665926,-1.2367460505721868,13536.91836734694,269.75,47.75,222.0,1634129556.846581,0.0720629692077636,3.705058097839355
17,1,0,1,0,2,1,40,2018300615,74,64,60,6,44923,80,4,2,3,0,8,3232270593,17,53,80,1028,58,189,90.0,93.45454545454544,2.059135229296318,3.636520769358758,1081.520661157025,96.5,74.5,22.0,1898,24,314,61.0,126.53333333333332,0.8919373489231698,-1.057987876278434,13169.315555555551,231.5,43.0,188.5,1634129557.459359,0.6127779483795166,4.317836046218872
18,0,0,0,0,0,0,0,0,60,0,0,0,0,0,4,2,4,0,8,3232270593,17,53,80,1088,58,189,84.5,90.66666666666669,2.0669159117148044,3.8849546532584487,1076.8888888888891,95.75,74.0,21.75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634129558.249226,0.7898671627044678,5.10770320892334
19,1,0,0,0,2,2,40,794308863,74,64,60,6,45092,1340,4,2,4,0,8,3232270593,17,53,80,1162,58,189,79.0,89.38461538461539,2.1986664393331905,4.521460842504974,1013.775147928994,95.0,74.0,21.0,1938,24,314,58.5,121.125,0.9897679187086296,-0.8711823922786808,12784.984375,193.25,40.75,152.5,1634129558.586918,0.3376920223236084,5.445395231246948
20,1,0,0,0,2,2,40,3232270647,74,111,60,6,1340,45092,4,2,4,0,8,3232270593,17,53,80,1236,58,189,77.0,88.28571428571429,2.323580038239781,5.163428521313477,957.061224489796,93.75,74.0,19.75,1978,24,314,56.0,116.3529411764706,1.0814877244192571,-0.678173015426776,12397.287197231832,155.0,40.0,115.0,1634129558.710447,0.1235289573669433,5.568924188613892
21,1,0,0,0,2,2,32,794308863,66,64,52,6,45092,1340,4,2,4,0,8,3232270593,17,53,80,1302,58,189,75.0,86.8,2.405979484072023,5.646621723654958,924.16,92.5,74.0,18.5,2010,24,314,56.0,111.66666666666669,1.1645326585177822,-0.484224636814512,12081.888888888889,134.25,40.0,94.25,1634129558.713874,0.0034270286560058,5.5723512172698975
22,1,0,0,0,2,2,32,794308863,66,64,52,6,45092,1340,4,2,4,0,8,3232270593,17,53,80,1368,58,189,74.5,85.5,2.489245794475695,6.142940981046944,891.75,91.25,72.0,19.25,2042,24,314,56.0,107.47368421052632,1.2436660393211854,-0.2867486430063164,11762.459833795016,113.5,40.0,73.5,1634129558.714887,0.0010128021240234,5.573364019393921
23,0,1,0,0,3,2,24,794308863,58,64,44,17,55814,1341,4,2,4,0,8,3232270593,17,53,80,1426,58,189,74.0,83.88235294117646,2.502047156502082,6.384044411430406,881.1626297577855,90.0,66.0,24.0,2066,24,314,50.5,103.3,1.314539580437492,-0.092051110616091,11505.309999999998,92.75,40.0,52.75,1634129558.716637,0.0017499923706054,5.575114011764526
24,0,1,0,0,3,2,24,794308863,58,64,44,17,55814,9001,4,2,4,0,8,3232270593,17,53,80,1484,58,189,74.0,82.44444444444444,2.52856193272198,6.659713669609415,867.3580246913581,90.0,66.0,24.0,24,24,24,24.0,24.0,0.0,-3.0,0.0,24.0,24.0,0.0,1634129558.730303,0.0136661529541015,5.588780164718628
25,1,0,0,0,2,2,32,3232270647,66,111,52,6,1340,45092,4,2,4,0,8,3232270593,17,53,80,1550,58,189,74.0,81.57894736842105,2.6153696486787146,7.183235940012278,835.191135734072,90.0,66.0,24.0,56,24,32,28.0,28.0,0.0,-2.0,16.0,30.0,26.0,4.0,1634129558.80363,0.0733270645141601,5.662107229232788
26,1,0,0,0,2,2,32,3232270647,66,111,52,6,1340,45092,4,2,4,0,8,3232270593,17,53,80,1616,58,189,74.0,80.8,2.6999826563307114,7.7108934371358036,804.9599999999998,90.0,66.0,24.0,88,24,32,32.0,29.33333333333333,-0.7071067811865465,-1.500000000000001,14.222222222222223,32.0,28.0,4.0,1634129558.803688,5.793571472167969e-05,5.66216516494751
27,1,0,0,0,2,2,32,794308863,66,64,52,6,45092,1340,4,2,4,0,8,3232270593,17,53,80,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,120,24,32,32.0,30.0,-1.1547005383792517,-0.6666666666666665,12.0,32.0,30.0,2.0,1634129558.810561,0.0068728923797607,5.6690380573272705
