Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,3,72,3232270647,106,112,92,17,8877,58134,0,0,0,0,8,3232270593,17,53,80,532,58,106,98.0,88.66666666666667,-0.8380403822865474,-0.8765865514447735,286.22222222222223,98.0,80.0,18.0,496,24,72,64.0,55.11111111111112,-0.8911009875328585,-0.6564554419284137,233.87654320987653,64.0,40.0,24.0,1633541140.330242,0.0,0.0
1,0,1,0,0,3,2,72,794308863,106,64,92,17,58134,8877,0,0,0,0,8,3232270593,17,53,80,638,58,106,98.0,91.14285714285714,-1.0225107645414344,-0.4925411522633744,282.1224489795917,102.0,86.0,16.0,568,24,72,64.0,56.8,-0.988677256834102,-0.4235133408244653,236.16,64.0,46.0,18.0,1633541140.33755,0.007308006286621,0.007308006286621
2,0,1,0,0,2,2,72,794308863,106,64,92,17,7050,1340,0,0,0,0,8,3232270593,17,53,80,744,58,106,98.0,93.0,-1.1983260988663422,-0.0750262115167275,271.0,106.0,92.0,14.0,640,24,72,64.0,58.18181818181818,-1.0950745711574958,-0.1743309924039242,233.78512396694217,68.0,52.0,16.0,1633541140.338732,0.0011820793151855,0.0084900856018065
3,0,1,0,0,2,3,72,825445225,106,64,92,17,7050,63346,0,0,0,0,9,3232270593,17,53,80,850,58,106,98.0,94.44444444444444,-1.3611768068347088,0.3671383943693769,257.58024691358025,106.0,98.0,8.0,712,24,72,64.0,59.333333333333336,-1.201484369051902,0.0911904986332357,228.88888888888889,72.0,58.0,14.0,1633541140.339848,0.0011160373687744,0.0096061229705809
4,0,1,0,0,3,2,144,3232270647,178,113,164,17,63346,7050,0,0,0,0,9,3232270593,17,53,80,1028,58,178,102.0,102.8,1.2338078481423411,1.959980867346939,860.1600000000001,106.0,98.0,8.0,856,24,144,64.0,65.84615384615384,1.4741431582638438,3.1194309824955964,720.2840236686391,72.0,64.0,8.0,1633541140.430971,0.0911228656768798,0.1007289886474607
5,0,1,0,0,2,3,104,825445225,138,64,124,17,7050,63346,0,0,0,0,9,3232270593,17,53,80,1166,58,178,106.0,106.0,0.9026120700426804,0.9859764542936288,884.3636363636364,106.0,98.0,8.0,960,24,144,64.0,68.57142857142857,1.1405261598316243,1.7830143624270525,765.3877551020408,72.0,64.0,8.0,1633541140.581104,0.1501331329345703,0.25086212158203103
6,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,9,3232270593,17,53,80,1264,58,178,102.0,105.33333333333331,1.002497128145324,1.387215288553631,815.5555555555555,106.0,98.0,8.0,1024,24,144,64.0,68.26666666666667,1.21118603009031,2.160523049936689,715.662222222222,72.0,64.0,8.0,1633541141.596952,1.01584792137146,1.266710042953491
7,1,0,1,0,3,1,40,2018300615,74,64,60,6,57604,80,0,0,0,0,9,3232270593,17,53,80,1338,58,178,98.0,102.92307692307692,1.0660362211989507,1.4068506252352906,822.5325443786982,106.0,98.0,8.0,1064,24,144,64.0,66.5,1.255243516551185,2.192325736375028,717.75,72.0,58.0,14.0,1633541141.805432,0.2084801197052002,1.4751901626586912
8,0,1,0,0,3,2,24,794308863,58,64,44,17,58134,8877,0,0,0,0,9,3232270593,17,53,80,1396,58,178,98.0,99.71428571428572,0.950042079626162,1.13507858474546,897.6326530612242,106.0,80.0,26.0,1088,24,144,64.0,64.0,1.112824097573736,1.8561127344707329,775.5294117647059,72.0,40.0,32.0,1633541141.865932,0.0604999065399169,1.5356900691986082
9,1,0,1,0,3,1,40,2018300615,74,64,60,6,57604,80,0,0,0,0,9,3232270593,17,53,80,1470,58,178,98.0,98.0,1.0453162224083763,1.2848053539447646,878.9333333333333,106.0,74.0,32.0,1128,24,144,64.0,62.66666666666666,1.1861911311488864,1.9891111219782545,762.6666666666667,72.0,40.0,32.0,1633541145.814855,3.948923110961914,5.4846131801605225
