Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,3,32,3232270647,66,114,52,6,6010,58642,0,0,0,0,14,3232270647,6,443,443,8130,66,1075,70.0,406.5,0.3642360984177647,-1.6214321988507117,148419.35,759.5,66.0,693.5,5877,32,1041,32.0,391.8,0.3201446437478178,-1.6380574352616064,157110.0266666667,735.0,32.0,703.0,1634048244.190715,0.0,0.0
1,1,0,0,0,3,2,1041,2721988068,1075,64,1061,6,58642,6010,0,0,0,0,15,3232270647,6,443,443,1075,1075,1075,1075.0,1075.0,0.0,-3.0,0.0,1075.0,1075.0,0.0,6918,32,1041,344.0,432.375,0.2073571104723134,-1.6978495890208205,171985.609375,754.75,32.0,722.75,1634048244.194665,0.0039498805999755,0.0039498805999755
2,1,0,0,0,2,3,32,3232270647,66,114,52,6,6010,58642,0,0,0,0,15,3232270647,6,443,443,1141,66,1075,570.5,570.5,0.0,-2.0,254520.25,822.75,318.25,504.5,6950,32,1041,32.0,408.8235294117647,0.3149566788199732,-1.652400389365194,170743.55709342562,754.0,32.0,722.0,1634048244.346923,0.1522581577301025,0.15620803833007801
3,1,0,0,0,3,2,763,2721988068,797,64,783,6,58642,6010,0,0,0,0,15,3232270647,6,443,443,1938,66,1075,797.0,646.0,-0.4875892319228206,-1.5,181080.66666666663,936.0,431.5,504.5,7713,32,1041,344.0,428.5,0.1969116730462823,-1.7034869976830227,167839.58333333334,756.25,32.0,724.25,1634048244.35027,0.0033469200134277,0.15955495834350572
4,1,0,0,0,2,3,32,3232270647,66,114,52,6,6010,58642,0,0,0,0,15,3232270647,6,443,443,2004,66,1075,431.5,501.0,0.1421364401763519,-1.8127853636521216,198885.5,866.5,66.0,800.5,7745,32,1041,32.0,407.6315789473685,0.2934811651682534,-1.665995978241284,166844.75900277006,755.5,32.0,723.5,1634048244.503136,0.1528658866882324,0.3124208450317381
5,1,0,0,0,3,2,1382,2721988068,1416,64,1402,6,58642,6010,0,0,0,0,15,3232270647,6,443,443,3420,66,1416,797.0,684.0,-0.0234671719694403,-1.5972808557319869,293064.4,1075.0,66.0,1009.0,9127,32,1382,344.0,456.35,0.3851317261685605,-1.2981540660568789,203598.7275,758.5,32.0,726.5,1634048244.513946,0.0108101367950439,0.323230981826782
6,1,0,0,0,2,3,32,3232270647,66,114,52,6,6010,58642,0,0,0,0,15,3232270647,6,443,443,3486,66,1416,431.5,581.0,0.3116267915040133,-1.5686800200833535,297265.3333333333,1005.5,66.0,939.5,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634048244.659587,0.1456408500671386,0.46887183189392057
7,1,0,0,0,3,2,423,2721988068,457,64,443,6,58642,6010,0,0,0,0,15,3232270647,6,443,443,3943,66,1416,457.0,563.2857142857143,0.4357402945002297,-1.3004164080248033,256681.6326530612,936.0,66.0,870.0,455,32,423,227.5,227.5,0.0,-2.0,38220.25,325.25,129.75,195.5,1634048244.662927,0.0033400058746337,0.47221183776855424
8,1,0,0,0,2,3,32,3232270647,66,114,52,6,6010,58642,0,0,0,0,15,3232270647,6,443,443,4009,66,1416,261.5,501.125,0.6446530935655996,-1.1048503327906694,251644.109375,866.5,66.0,800.5,487,32,423,32.0,162.33333333333334,0.7071067811865471,-1.5000000000000002,33973.555555555555,227.5,32.0,195.5,1634048244.815613,0.1526861190795898,0.6248979568481441
9,1,0,0,0,3,2,1041,2721988068,1075,64,1061,6,58642,6010,0,0,0,0,15,3232270647,6,443,443,5084,66,1416,457.0,564.8888888888889,0.3397826422758707,-1.458029456684494,256210.32098765436,1075.0,66.0,1009.0,1528,32,1041,227.5,382.0,0.713644516371368,-1.1142035456922874,170240.5,577.5,32.0,545.5,1634048244.830016,0.0144028663635253,0.6393008232116694
