Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,32,3232270647,66,112,52,6,443,41236,0,0,0,0,17,3232270647,6,443,443,716,58,98,74.0,79.55555555555556,0.1424636964017631,-1.2339144097103183,184.46913580246917,95.0,74.0,21.0,826,16,64,40.0,41.3,0.2251770643159188,-1.2071747314553172,264.8099999999999,61.75,32.0,29.75,1634129818.264287,0.0,0.0
1,1,0,0,1,2,1,335,804991157,369,64,355,6,41236,443,0,0,0,0,18,3232270647,6,443,443,1085,58,369,76.5,108.5,2.560118734006408,4.779715939810005,7706.05,97.25,74.0,23.25,335,335,335,335.0,335.0,0.0,-3.0,0.0,335.0,335.0,0.0,1634129818.27142,0.0071330070495605,0.0071330070495605
2,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,18,3232270647,6,443,443,1183,58,369,79.0,107.54545454545456,2.7138589309582226,5.65843378909519,7014.611570247933,98.0,74.0,24.0,399,64,335,199.5,199.5,0.0,-2.0,18360.25,267.25,131.75,135.5,1634129818.336581,0.0651609897613525,0.072293996810913
3,1,0,0,1,1,2,32,3232270647,66,112,52,6,443,41236,0,0,0,0,18,3232270647,6,443,443,1249,58,369,76.5,104.08333333333331,2.866585843065671,6.554661952343116,6561.909722222223,98.0,72.0,26.0,431,32,335,64.0,143.66666666666666,0.6778257815509461,-1.4999999999999996,18474.888888888887,199.5,48.0,151.5,1634129818.359996,0.0234150886535644,0.0957090854644774
4,1,0,0,1,2,1,652,804991157,686,64,672,6,41236,443,0,0,0,0,18,3232270647,6,443,443,1935,58,686,79.0,148.84615384615384,2.380510651980176,4.2932071442757005,30101.66863905326,98.0,74.0,24.0,1083,32,652,199.5,270.75,0.5342164698246025,-1.3114601992873878,62306.6875,414.25,56.0,358.25,1634129818.366865,0.006868839263916,0.1025779247283934
5,1,0,0,1,2,1,1480,804991157,1514,64,1500,6,41236,443,0,0,0,0,18,3232270647,6,443,443,3449,58,1514,87.0,246.3571428571429,2.508426473489706,5.173658355542813,151560.6581632653,98.0,74.0,24.0,2563,32,1480,335.0,512.6,0.9274986804303216,-0.5888873869602986,283811.04000000004,652.0,64.0,588.0,1634129818.632678,0.2658131122589111,0.36839103698730447
6,1,0,0,1,1,2,32,3232270647,66,112,52,6,443,41236,0,0,0,0,18,3232270647,6,443,443,3515,58,1514,79.0,234.33333333333331,2.629785687878464,5.843445962793798,143480.62222222224,98.0,70.0,28.0,2595,32,1480,199.5,432.5,1.173992811858528,-0.0513914558861601,268589.25,572.75,40.0,532.75,1634129818.639053,0.0063750743865966,0.3747661113739011
7,1,0,0,1,2,1,33,804991157,67,64,53,6,41236,443,0,0,0,0,18,3232270647,6,443,443,3582,58,1514,76.5,223.875,2.7463102370500825,6.516222125582749,136153.734375,98.0,66.75,31.25,2628,32,1480,64.0,375.4285714285714,1.3932848786110732,0.5391196180429865,249762.2448979591,493.5,32.5,461.0,1634129818.642146,0.0030930042266845,0.3778591156005856
8,1,0,0,1,1,2,32,3232270647,66,112,52,6,443,41236,0,0,0,0,18,3232270647,6,443,443,3648,58,1514,74.0,214.58823529411765,2.858178562432848,7.189889978745059,129524.59515570936,98.0,66.0,32.0,2660,32,1480,48.5,332.5,1.5896415454840638,1.158405550414697,231442.0,414.25,32.0,382.25,1634129818.730538,0.0883917808532714,0.466250896453857
9,1,0,0,1,2,1,702,804991157,736,64,722,6,41236,443,0,0,0,0,18,3232270647,6,443,443,4384,58,1514,76.5,243.55555555555557,2.4129627459369023,5.080158235049831,136593.5802469136,98.0,66.25,31.75,3362,32,1480,64.0,373.55555555555554,1.323788159064785,0.6529450897360203,219210.69135802463,652.0,32.0,620.0,1634129818.734186,0.003648042678833,0.46989893913269
