Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,32,794407024,66,64,52,6,38589,443,0,0,0,0,24,3232270647,6,443,443,832,58,106,66.0,69.33333333333333,1.4727946145158195,0.7266187297992253,239.55555555555557,68.0,58.0,10.0,392,24,72,32.0,35.63636363636363,1.3635004231556302,0.3403232203053763,260.2314049586777,36.0,24.0,12.0,1633540693.974318,0.0,0.0
1,1,0,0,1,1,2,32,3232270647,66,115,52,6,443,38589,0,0,0,0,24,3232270647,6,443,443,898,58,106,66.0,69.07692307692308,1.5755460579910252,1.1154061200479912,221.9171597633136,66.0,58.0,8.0,424,24,72,32.0,35.333333333333336,1.4727946145158182,0.7266187297992217,239.5555555555556,34.0,24.0,10.0,1633540694.000126,0.0258078575134277,0.0258078575134277
2,0,1,0,0,2,3,72,3232270647,106,112,92,17,8877,55850,0,0,0,0,24,3232270647,6,443,443,1004,58,106,66.0,71.71428571428571,1.1885617892748408,-0.2184012885947694,296.4897959183673,72.0,58.0,14.0,496,24,72,32.0,38.15384615384615,1.088457389014141,-0.484798882809458,316.5917159763313,40.0,24.0,16.0,1633540694.034155,0.0340290069580078,0.0598368644714355
3,0,1,0,0,3,2,72,794308863,106,64,92,17,55850,8877,0,0,0,0,24,3232270647,6,443,443,1110,58,106,66.0,74.0,0.9075573936688076,-0.9164187983343246,349.8666666666667,86.0,58.0,28.0,568,24,72,32.0,40.57142857142857,0.810239878666782,-1.1072105471029192,369.9591836734694,58.0,24.0,34.0,1633540694.050239,0.0160841941833496,0.0759210586547851
4,0,1,0,0,2,2,72,794308863,106,64,92,17,7050,1340,0,0,0,0,24,3232270647,6,443,443,1216,58,106,66.0,76.0,0.6908540917404006,-1.318949941545329,388.0,100.0,58.0,42.0,640,24,72,32.0,42.66666666666666,0.5954589338532812,-1.4577485451611325,406.75555555555553,68.0,24.0,44.0,1633540694.052911,0.0026719570159912,0.0785930156707763
5,0,1,0,0,2,3,72,2859112622,106,64,92,17,7050,54134,0,0,0,0,25,3232270647,6,443,443,1322,58,106,66.0,77.76470588235294,0.5151313621254049,-1.5639567000657204,415.0034602076125,106.0,58.0,48.0,712,24,72,32.0,44.5,0.4209322675849873,-1.6637927074640346,431.75,72.0,24.0,48.0,1633540694.052911,0.0,0.0785930156707763
6,0,1,0,0,3,2,144,3232270647,178,113,164,17,54134,7050,0,0,0,0,25,3232270647,6,443,443,1500,58,178,66.0,83.33333333333333,1.5982500874555123,2.537231236601581,919.1111111111112,106.0,60.0,46.0,856,24,144,32.0,50.35294117647059,1.5104643637557718,2.2249119029290334,954.4636678200692,72.0,24.0,48.0,1633540694.143566,0.0906548500061035,0.1692478656768798
7,0,1,0,0,2,3,104,2859112622,138,64,124,17,7050,54134,0,0,0,0,25,3232270647,6,443,443,1638,58,178,66.0,86.21052631578948,1.288635464473889,1.200337283663563,1019.7451523545708,106.0,62.0,44.0,960,24,144,36.0,53.333333333333336,1.2068885115356127,0.9798210372534686,1052.4444444444443,72.0,26.0,46.0,1633540694.305306,0.1617400646209716,0.3309879302978514
8,0,1,0,0,3,2,144,3232270647,178,114,164,17,54134,7050,0,0,0,0,25,3232270647,6,443,443,1816,58,178,70.0,90.8,1.1764396122018757,0.4318110139157451,1368.96,106.0,64.0,42.0,1104,24,144,40.0,58.10526315789474,1.0993327993054232,0.2497040969896273,1406.9362880886424,72.0,28.0,44.0,1633540694.403099,0.0977931022644043,0.4287810325622557
9,0,0,0,0,0,0,64,3232270593,98,64,84,1,0,0,0,0,0,0,25,3232270647,6,443,443,98,98,98,98.0,98.0,0.0,-3.0,0.0,98.0,98.0,0.0,1168,24,144,52.0,58.4,1.101843667389637,0.376442868150515,1338.2399999999998,72.0,30.0,42.0,1633540694.429954,0.0268549919128417,0.4556360244750974
