Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,3,348,2211110028,382,64,368,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,3168,66,663,199.0,243.69230769230768,0.6709521683106316,-0.7574993928078086,37337.90532544379,407.0,66.0,341.0,2726,32,629,165.0,209.69230769230768,0.6709521683106316,-0.7574993928078086,37337.90532544379,373.0,32.0,341.0,1633543509.324588,0.0,0.0
1,0,1,0,0,3,3,272,2211110028,306,64,292,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,3474,66,663,215.0,248.14285714285717,0.6197872769775797,-0.6820331538123123,34928.40816326531,400.75,66.0,334.75,2998,32,629,181.0,214.14285714285717,0.6197872769775797,-0.6820331538123123,34928.40816326531,366.75,32.0,334.75,1633543509.324588,0.0,0.0
2,0,1,0,0,3,3,371,2211110028,405,64,391,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,3879,66,663,231.0,258.6,0.4696777243373878,-0.8251939503211934,34130.77333333333,406.0,66.0,340.0,3369,32,629,197.0,224.6,0.4696777243373881,-0.8251939503211934,34130.77333333333,372.0,32.0,340.0,1633543509.349619,0.0250308513641357,0.0250308513641357
3,0,1,0,0,3,3,386,2211110028,420,64,406,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,4299,66,663,268.5,268.6875,0.3296934481740178,-0.939780657203892,33523.96484375,410.25,66.0,344.25,3755,32,629,234.5,234.6875,0.3296934481740178,-0.939780657203892,33523.96484375,376.25,32.0,344.25,1633543509.399069,0.0494501590728759,0.07448101043701161
4,0,1,0,0,3,3,278,2211110028,312,64,298,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,4611,66,663,306.0,271.2352941176471,0.2960553437958431,-0.8433387555973471,31655.826989619374,407.0,66.0,341.0,4033,32,629,272.0,237.23529411764707,0.2960553437958431,-0.8433387555973471,31655.826989619374,373.0,32.0,341.0,1633543509.399069,0.0,0.07448101043701161
5,0,1,0,0,3,3,407,2211110028,441,64,427,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,5052,66,663,309.0,280.6666666666667,0.1719352279824339,-0.9378839143959476,31409.33333333333,416.75,69.0,347.75,4440,32,629,275.0,246.66666666666663,0.1719352279824345,-0.9378839143959472,31409.33333333333,382.75,35.0,347.75,1633543509.407527,0.0084578990936279,0.08293890953063951
6,0,1,0,0,3,3,279,2211110028,313,64,299,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,5365,66,663,312.0,282.3684210526316,0.1469583670091009,-0.8372404362748558,29808.3379501385,413.5,72.0,341.5,4719,32,629,278.0,248.3684210526316,0.1469583670091005,-0.8372404362748562,29808.337950138502,379.5,38.0,341.5,1633543509.448537,0.0410101413726806,0.12394905090332012
7,0,1,0,0,3,3,357,2211110028,391,64,377,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,5756,66,663,312.5,287.8,0.0635488038809087,-0.816837774285641,28878.460000000003,410.25,75.0,335.25,5076,32,629,278.5,253.8,0.0635488038809087,-0.816837774285641,28878.460000000003,376.25,41.0,335.25,1633543509.448537,0.0,0.12394905090332012
8,0,1,0,0,3,3,1037,2211110028,1071,64,1057,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,1071,1071,1071,1071.0,1071.0,0.0,-3.0,0.0,1071.0,1071.0,0.0,1037,1037,1037,1037.0,1037.0,0.0,-3.0,0.0,1037.0,1037.0,0.0,1633543509.47819,0.0296528339385986,0.15360188484191872
9,0,1,0,0,3,3,275,2211110028,309,64,295,17,51068,56239,0,0,0,0,11,2211110130,17,51089,52303,1380,309,1071,690.0,690.0,0.0,-2.0,145161.0,880.5,499.5,381.0,1312,275,1037,656.0,656.0,0.0,-2.0,145161.0,846.5,465.5,381.0,1633543509.507298,0.0291080474853515,0.18270993232727023
