Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,3,1,318,878637817,352,64,338,6,53014,443,0,0,0,0,6,3232270688,6,443,443,1383,54,380,73.0,138.3,1.1677501386605686,-0.3416964278792922,14735.21,170.75,54.0,116.75,1043,20,346,39.0,104.3,1.1677501386605686,-0.3416964278792922,14735.21,136.75,20.0,116.75,1633625335.265751,0.0,0.0
1,1,0,0,1,3,1,346,878637817,380,64,366,6,53014,443,0,0,0,0,6,3232270688,6,443,443,1763,54,380,92.0,160.27272727272728,0.8010230322117775,-1.1669862579187606,18223.652892561982,274.5,54.0,220.5,1389,20,346,58.0,126.27272727272728,0.8010230322117781,-1.1669862579187604,18223.652892561982,240.5,20.0,220.5,1633625335.268669,0.002918004989624,0.002918004989624
2,1,0,0,1,3,1,58,878637817,92,64,78,6,53014,443,0,0,0,0,6,3232270688,6,443,443,1855,54,380,92.0,154.58333333333334,0.929442582707784,-0.9261726816559296,17061.07638888889,235.75,54.0,181.75,1447,20,346,58.0,120.58333333333331,0.9294425827077843,-0.9261726816559293,17061.07638888889,201.75,20.0,181.75,1633625335.268669,0.0,0.002918004989624
3,1,0,0,1,1,3,20,3232270688,54,223,40,6,443,53014,0,0,0,0,6,3232270688,6,443,443,1909,54,380,92.0,146.84615384615384,1.048844871021947,-0.6849293180745404,16467.05325443787,197.0,54.0,143.0,1467,20,346,58.0,112.84615384615384,1.048844871021947,-0.6849293180745404,16467.05325443787,163.0,20.0,143.0,1633625335.294407,0.0257380008697509,0.0286560058593749
4,1,0,0,1,1,3,20,3232270688,54,223,40,6,443,53014,0,0,0,0,6,3232270688,6,443,443,1963,54,380,73.0,140.21428571428572,1.1596214984919084,-0.4346415692935301,15862.596938775514,170.75,54.0,116.75,1487,20,346,39.0,106.21428571428572,1.159621498491909,-0.4346415692935288,15862.596938775509,136.75,20.0,116.75,1633625335.297278,0.002871036529541,0.0315270423889159
5,1,0,0,1,1,3,20,3232270688,54,223,40,6,443,53014,0,0,0,0,6,3232270688,6,443,443,2017,54,380,54.0,134.46666666666667,1.263199298761385,-0.1775527245700034,15267.58222222222,144.5,54.0,90.5,1507,20,346,20.0,100.46666666666668,1.263199298761385,-0.1775527245700034,15267.58222222222,110.5,20.0,90.5,1633625335.297334,5.602836608886719e-05,0.031583070755004765
6,1,0,0,1,1,3,163,3232270688,197,223,183,6,443,53014,0,0,0,0,6,3232270688,6,443,443,2214,54,380,73.0,138.375,1.1853678221563169,-0.2389633493001675,14542.484375,197.0,54.0,143.0,1670,20,346,39.0,104.375,1.1853678221563169,-0.2389633493001675,14542.484375,163.0,20.0,143.0,1633625335.347092,0.049757957458496,0.08134102821350075
7,1,0,0,1,1,3,58,3232270688,92,223,78,6,443,53014,0,0,0,0,6,3232270688,6,443,443,2306,54,380,92.0,135.64705882352942,1.2721229773797766,-0.0004495723531543,13806.110726643596,197.0,54.0,143.0,1728,20,346,58.0,101.6470588235294,1.2721229773797769,-0.0004495723531547,13806.1107266436,163.0,20.0,143.0,1633625335.347147,5.507469177246094e-05,0.08139610290527322
8,1,0,0,1,3,1,20,878637817,54,64,40,6,53014,443,0,0,0,0,6,3232270688,6,443,443,2360,54,380,73.0,131.11111111111111,1.356190493209169,0.2294272998152937,13388.876543209875,170.75,54.0,116.75,1748,20,346,39.0,97.11111111111111,1.356190493209169,0.2294272998152937,13388.876543209875,136.75,20.0,116.75,1633625335.351916,0.0047690868377685,0.08616518974304171
9,1,0,0,1,3,1,318,878637817,352,64,338,6,53014,443,0,0,0,0,6,3232270688,6,443,443,2712,54,380,92.0,142.73684210526315,1.0915934687789528,-0.5183668982872391,15117.03601108033,197.0,54.0,143.0,2066,20,346,58.0,108.73684210526316,1.0915934687789526,-0.5183668982872409,15117.03601108033,163.0,20.0,143.0,1633625335.403414,0.0514979362487793,0.137663125991821
10,1,0,0,1,3,1,367,878637817,401,64,387,6,53014,443,0,0,0,0,6,3232270688,6,443,443,3113,54,401,92.0,155.65,0.9080750266431672,-0.9342116493278656,17529.4275,235.75,54.0,181.75,2433,20,367,58.0,121.65,0.9080750266431672,-0.9342116493278656,17529.4275,201.75,20.0,181.75,1633625335.404111,0.0006968975067138,0.13836002349853482
11,1,0,0,1,3,1,58,878637817,92,64,78,6,53014,443,0,0,0,0,6,3232270688,6,443,443,92,92,92,92.0,92.0,0.0,-3.0,0.0,92.0,92.0,0.0,58,58,58,58.0,58.0,0.0,-3.0,0.0,58.0,58.0,0.0,1633625335.404111,0.0,0.13836002349853482
12,1,0,0,1,1,3,20,3232270688,54,223,40,6,443,53014,0,0,0,0,6,3232270688,6,443,443,146,54,92,73.0,73.0,0.0,-2.0,361.0,82.5,63.5,19.0,78,20,58,39.0,39.0,0.0,-2.0,361.0,48.5,29.5,19.0,1633625335.432099,0.0279881954193115,0.16634821891784632
