Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,318,3455841079,352,64,338,6,42900,443,0,0,0,0,8,3232270688,6,443,443,860,54,352,73.0,107.5,2.067482825725965,2.630795313352817,8947.75,100.0,54.0,46.0,588,20,318,39.0,73.5,2.067482825725965,2.630795313352817,8947.75,66.0,20.0,46.0,1633628318.185379,0.0,0.0
1,1,0,0,1,2,1,1480,3455841079,1514,64,1500,6,42900,443,0,0,0,0,8,3232270688,6,443,443,2374,54,1514,92.0,263.77777777777777,2.3073902833830537,3.5928701904923197,203335.5061728395,100.0,54.0,46.0,2068,20,1480,58.0,229.77777777777777,2.3073902833830537,3.5928701904923197,203335.5061728395,66.0,20.0,46.0,1633628318.197607,0.0122280120849609,0.0122280120849609
2,1,0,0,1,2,1,1480,3455841079,1514,64,1500,6,42900,443,0,0,0,0,8,3232270688,6,443,443,3888,54,1514,96.0,388.8,1.425314897991652,0.1286868338646374,323676.96,289.0,54.0,235.0,3548,20,1480,62.0,354.8,1.425314897991652,0.1286868338646374,323676.96,255.0,20.0,235.0,1633628318.198272,0.0006649494171142,0.0128929615020751
3,1,0,0,1,2,1,1480,3455841079,1514,64,1500,6,42900,443,0,0,0,0,8,3232270688,6,443,443,5402,54,1514,100.0,491.09090909090907,0.971073467339804,-0.9985100004991656,398886.0826446281,933.0,54.0,879.0,5028,20,1480,66.0,457.09090909090907,0.971073467339804,-0.9985100004991656,398886.0826446281,899.0,20.0,879.0,1633628318.198272,0.0,0.0128929615020751
4,1,0,0,1,2,1,1480,3455841079,1514,64,1500,6,42900,443,0,0,0,0,8,3232270688,6,443,443,6916,54,1514,100.0,576.3333333333334,0.6686684222426006,-1.5097744816857492,445574.5555555556,1514.0,54.0,1460.0,6508,20,1480,66.0,542.3333333333334,0.6686684222426006,-1.5097744816857492,445574.5555555556,1480.0,20.0,1460.0,1633628318.198272,0.0,0.0128929615020751
5,1,0,0,1,2,1,1171,3455841079,1205,64,1191,6,42900,443,0,0,0,0,8,3232270688,6,443,443,8121,54,1514,100.0,624.6923076923077,0.4767370699889134,-1.6940808983710955,439362.6745562131,1514.0,54.0,1460.0,7679,20,1480,66.0,590.6923076923077,0.4767370699889134,-1.6940808983710955,439362.6745562131,1480.0,20.0,1460.0,1633628318.198272,0.0,0.0128929615020751
6,1,0,0,1,2,1,298,3455841079,332,64,318,6,42900,443,0,0,0,0,8,3232270688,6,443,443,8453,54,1514,216.0,603.7857142857143,0.5753947204346765,-1.5604592160827506,413661.7397959184,1436.75,63.5,1373.25,7977,20,1480,182.0,569.7857142857143,0.5753947204346765,-1.5604592160827506,413661.7397959184,1402.75,29.5,1373.25,1633628318.206261,0.0079889297485351,0.0208818912506102
7,1,0,0,1,1,2,20,3232270688,54,218,40,6,443,42900,0,0,0,0,8,3232270688,6,443,443,8507,54,1514,100.0,567.1333333333333,0.6845713268811826,-1.4226308577393276,404891.8488888888,1359.5,54.0,1305.5,7997,20,1480,66.0,533.1333333333333,0.6845713268811826,-1.4226308577393276,404891.8488888888,1325.5,20.0,1305.5,1633628318.21407,0.0078091621398925,0.0286910533905027
8,1,0,0,1,2,1,378,3455841079,412,64,398,6,42900,443,0,0,0,0,8,3232270688,6,443,443,8919,54,1514,216.0,557.4375,0.7492366945168489,-1.2840592495658152,380996.24609375,1282.25,54.0,1228.25,8375,20,1480,182.0,523.4375,0.7492366945168489,-1.2840592495658152,380996.24609375,1248.25,20.0,1228.25,1633628318.216813,0.0027430057525634,0.0314340591430661
9,1,0,0,1,1,2,20,3232270688,54,218,40,6,443,42900,0,0,0,0,8,3232270688,6,443,443,8973,54,1514,100.0,527.8235294117648,0.8417419190230837,-1.1351082834433166,372616.49826989626,1205.0,54.0,1151.0,8395,20,1480,66.0,493.8235294117647,0.841741919023084,-1.1351082834433155,372616.49826989626,1171.0,20.0,1151.0,1633628318.226628,0.009814977645874,0.0412490367889401
