Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,253,3232270688,287,220,273,6,443,46836,0,0,0,0,8,3232270688,6,443,443,595,54,287,100.0,119.0,1.2920660853290866,-0.023312850547541,7479.2,100.0,54.0,46.0,425,20,253,66.0,85.0,1.2920660853290866,-0.023312850547541,7479.2,66.0,20.0,46.0,1633614815.672886,0.0,0.0
1,1,0,0,1,2,1,20,875470517,54,64,40,6,46836,443,0,0,0,0,8,3232270688,6,443,443,649,54,287,77.0,108.16666666666669,1.551226644878292,0.7581527817824871,6819.472222222222,100.0,54.0,46.0,445,20,253,43.0,74.16666666666667,1.551226644878292,0.7581527817824871,6819.472222222222,66.0,20.0,46.0,1633614815.71468,0.0417940616607666,0.0417940616607666
2,1,0,0,1,2,1,315,875470517,349,64,335,6,46836,443,0,0,0,0,8,3232270688,6,443,443,998,54,349,100.0,142.57142857142858,0.9280237521265176,-0.9188041730336264,12947.38775510204,193.5,54.0,139.5,760,20,315,66.0,108.57142857142856,0.928023752126518,-0.9188041730336254,12947.38775510204,159.5,20.0,139.5,1633614815.788427,0.0737471580505371,0.1155412197113037
3,1,0,0,1,2,1,384,875470517,418,64,404,6,46836,443,0,0,0,0,8,3232270688,6,443,443,1416,54,418,100.0,177.0,0.6328982254557427,-1.328099191031289,19626.25,302.5,54.0,248.5,1144,20,384,66.0,143.0,0.6328982254557427,-1.328099191031289,19626.25,268.5,20.0,248.5,1633614815.788427,0.0,0.1155412197113037
4,1,0,0,1,1,2,20,3232270688,54,220,40,6,443,46836,0,0,0,0,8,3232270688,6,443,443,1470,54,418,100.0,163.33333333333334,0.8130095754073178,-1.0696072879590266,18939.777777777777,287.0,54.0,233.0,1164,20,384,66.0,129.33333333333334,0.8130095754073178,-1.0696072879590266,18939.777777777777,253.0,20.0,233.0,1633614815.817791,0.0293638706207275,0.1449050903320312
5,1,0,0,1,1,2,20,3232270688,54,220,40,6,443,46836,0,0,0,0,8,3232270688,6,443,443,1524,54,418,77.0,152.4,0.972431135754712,-0.78242535365679,18121.640000000003,240.25,54.0,186.25,1184,20,384,43.0,118.4,0.972431135754712,-0.78242535365679,18121.640000000003,206.25,20.0,186.25,1633614815.817847,5.602836608886719e-05,0.14496111869812006
6,1,0,0,1,1,2,164,3232270688,198,220,184,6,443,46836,0,0,0,0,8,3232270688,6,443,443,1722,54,418,100.0,156.54545454545453,0.9117308678796172,-0.7327273368101381,16646.066115702477,242.5,54.0,188.5,1348,20,384,66.0,122.54545454545456,0.9117308678796164,-0.7327273368101399,16646.066115702477,208.5,20.0,188.5,1633614815.861328,0.0434808731079101,0.18844199180603016
7,1,0,0,1,1,2,58,3232270688,92,220,78,6,443,46836,0,0,0,0,8,3232270688,6,443,443,1814,54,418,96.0,151.16666666666666,1.041081629556729,-0.4523622773899829,15577.13888888889,220.25,54.0,166.25,1406,20,384,62.0,117.16666666666669,1.0410816295567284,-0.4523622773899842,15577.138888888889,186.25,20.0,166.25,1633614815.861382,5.412101745605469e-05,0.18849611282348622
8,1,0,0,1,2,1,20,875470517,54,64,40,6,46836,443,0,0,0,0,8,3232270688,6,443,443,1868,54,418,92.0,143.69230769230768,1.15678518014079,-0.1905630377839862,15049.289940828405,198.0,54.0,144.0,1426,20,384,58.0,109.6923076923077,1.1567851801407896,-0.1905630377839871,15049.289940828408,164.0,20.0,144.0,1633614815.903825,0.042443037033081,0.23093914985656722
9,1,0,0,1,2,1,20,875470517,54,64,40,6,46836,443,0,0,0,0,8,3232270688,6,443,443,1922,54,418,73.0,137.28571428571428,1.2650641228233317,0.0812221500029641,14507.918367346936,173.5,54.0,119.5,1446,20,384,39.0,103.28571428571428,1.265064122823331,0.0812221500029641,14507.918367346936,139.5,20.0,119.5,1633614815.903825,0.0,0.23093914985656722
