Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,253,3232270759,287,223,273,6,443,42936,0,0,0,0,4,3232270759,6,443,443,3680,54,1514,54.5,368.0,1.4471487661095035,0.2188216743465569,291587.0,264.75,54.0,210.75,3340,20,1480,20.5,334.0,1.4471487661095035,0.2188216743465569,291587.0,230.75,20.0,210.75,1633622621.974516,0.0,0.0
1,1,0,0,1,2,1,20,878637817,54,64,40,6,42936,443,0,0,0,0,4,3232270759,6,443,443,3734,54,1514,54.0,339.45454545454544,1.594681572961119,0.674944679434514,273227.52066115703,242.5,54.0,188.5,3360,20,1480,20.0,305.45454545454544,1.594681572961119,0.674944679434514,273227.52066115703,208.5,20.0,188.5,1633622621.976539,0.0020229816436767,0.0020229816436767
2,1,0,0,1,2,1,316,878637817,350,64,336,6,42936,443,0,0,0,0,4,3232270759,6,443,443,4084,54,1514,54.5,340.3333333333333,1.660238811044723,0.9970790422252108,250467.05555555565,302.75,54.0,248.75,3676,20,1480,20.5,306.3333333333333,1.660238811044723,0.9970790422252108,250467.05555555565,268.75,20.0,248.75,1633622622.079716,0.1031770706176757,0.1052000522613524
3,1,0,0,1,2,1,367,878637817,401,64,387,6,42936,443,0,0,0,0,4,3232270759,6,443,443,4485,54,1514,55.0,345.0,1.6961592274402175,1.2540410895244287,231461.6923076923,350.0,54.0,296.0,4043,20,1480,21.0,311.0,1.6961592274402175,1.2540410895244287,231461.6923076923,316.0,20.0,296.0,1633622622.079716,0.0,0.1052000522613524
4,1,0,0,1,2,1,58,878637817,92,64,78,6,42936,443,0,0,0,0,4,3232270759,6,443,443,4577,54,1514,73.5,326.92857142857144,1.8138797961469104,1.6827311839021144,219174.20918367343,334.25,54.0,280.25,4101,20,1480,39.5,292.92857142857144,1.8138797961469104,1.6827311839021144,219174.20918367343,300.25,20.0,280.25,1633622622.079716,0.0,0.1052000522613524
5,1,0,0,1,1,2,20,3232270759,54,223,40,6,443,42936,0,0,0,0,4,3232270759,6,443,443,4631,54,1514,55.0,308.7333333333333,1.920735053255278,2.1019468590260217,209197.52888888883,318.5,54.0,264.5,4121,20,1480,21.0,274.7333333333333,1.920735053255278,2.1019468590260217,209197.52888888883,284.5,20.0,264.5,1633622622.108659,0.0289430618286132,0.1341431140899656
6,1,0,0,1,1,2,163,3232270759,197,223,183,6,443,42936,0,0,0,0,4,3232270759,6,443,443,4828,54,1514,73.5,301.75,2.0189038702750617,2.527577546520765,196854.1875,302.75,54.0,248.75,4284,20,1480,39.5,267.75,2.0189038702750617,2.527577546520765,196854.1875,268.75,20.0,248.75,1633622622.160529,0.0518698692321777,0.1860129833221433
7,1,0,0,1,1,2,58,3232270759,92,223,78,6,443,42936,0,0,0,0,4,3232270759,6,443,443,4920,54,1514,92.0,289.4117647058824,2.119447496636695,2.961418532982236,187710.24221453283,287.0,54.0,233.0,4342,20,1480,58.0,255.41176470588235,2.119447496636695,2.961418532982236,187710.24221453283,253.0,20.0,233.0,1633622622.160622,9.298324584960938e-05,0.18610596656799291
8,1,0,0,1,2,1,20,878637817,54,64,40,6,42936,443,0,0,0,0,4,3232270759,6,443,443,4974,54,1514,73.5,276.3333333333333,2.211299705999912,3.3820926511510603,180189.6666666667,264.75,54.0,210.75,4362,20,1480,39.5,242.33333333333331,2.211299705999911,3.3820926511510585,180189.66666666672,230.75,20.0,210.75,1633622622.162076,0.0014541149139404,0.18756008148193332
9,1,0,0,1,2,1,20,878637817,54,64,40,6,42936,443,0,0,0,0,4,3232270759,6,443,443,5028,54,1514,55.0,264.63157894736844,2.299918297755642,3.804488427242795,173170.75900277015,242.5,54.0,188.5,4382,20,1480,21.0,230.6315789473684,2.2999182977556427,3.8044884272427977,173170.75900277012,208.5,20.0,188.5,1633622622.162076,0.0,0.18756008148193332
10,1,0,0,1,2,1,316,878637817,350,64,336,6,42936,443,0,0,0,0,4,3232270759,6,443,443,5378,54,1514,73.5,268.9,2.321163708862104,4.034399287518144,164858.38999999996,302.75,54.0,248.75,4698,20,1480,39.5,234.9,2.321163708862104,4.034399287518144,164858.38999999996,268.75,20.0,248.75,1633622622.215783,0.0537071228027343,0.2412672042846676
11,1,0,0,1,2,1,346,878637817,380,64,366,6,42936,443,0,0,0,0,4,3232270759,6,443,443,380,380,380,380.0,380.0,0.0,-3.0,0.0,380.0,380.0,0.0,346,346,346,346.0,346.0,0.0,-3.0,0.0,346.0,346.0,0.0,1633622622.215783,0.0,0.2412672042846676
