Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,316,880264544,350,64,336,6,46856,443,0,0,0,0,6,3232270759,6,443,443,496,54,350,92.0,165.33333333333334,0.6630771340320957,-1.5,17291.555555555555,221.0,73.0,148.0,394,20,316,58.0,131.33333333333334,0.6630771340320957,-1.5,17291.555555555555,187.0,39.0,148.0,1633626436.959745,0.0,0.0
1,1,0,0,1,2,1,381,880264544,415,64,401,6,46856,443,0,0,0,0,6,3232270759,6,443,443,911,54,415,221.0,227.75,0.0416844454535549,-1.888144227937099,24656.1875,366.25,82.5,283.75,775,20,381,187.0,193.75,0.0416844454535549,-1.888144227937099,24656.1875,332.25,48.5,283.75,1633626436.959745,0.0,0.0
2,1,0,0,1,1,2,20,3232270759,54,223,40,6,443,46856,0,0,0,0,6,3232270759,6,443,443,965,54,415,92.0,193.0,0.4370990834643801,-1.7106401022617002,24555.2,350.0,54.0,296.0,795,20,381,58.0,159.0,0.4370990834643801,-1.7106401022617002,24555.2,316.0,20.0,296.0,1633626436.988398,0.0286531448364257,0.0286531448364257
3,1,0,0,1,1,2,20,3232270759,54,223,40,6,443,46856,0,0,0,0,6,3232270759,6,443,443,1019,54,415,73.0,169.83333333333334,0.7312544012549703,-1.3688580585768635,23146.138888888887,285.5,54.0,231.5,815,20,381,39.0,135.83333333333334,0.7312544012549703,-1.3688580585768635,23146.138888888887,251.5,20.0,231.5,1633626436.988457,5.888938903808594e-05,0.028712034225463787
4,1,0,0,1,1,2,62,3232270759,96,223,82,6,443,46856,0,0,0,0,6,3232270759,6,443,443,1115,54,415,92.0,159.28571428571428,0.9533810977203234,-0.9604710746921384,20507.061224489797,223.0,54.0,169.0,877,20,381,58.0,125.28571428571428,0.9533810977203232,-0.9604710746921384,20507.0612244898,189.0,20.0,169.0,1633626436.988772,0.0003149509429931,0.02902698516845689
5,1,0,0,1,2,1,20,880264544,54,64,40,6,46856,443,0,0,0,0,6,3232270759,6,443,443,1169,54,415,73.0,146.125,1.1550923479732855,-0.5279593481275264,19156.109375,159.5,54.0,105.5,897,20,381,39.0,112.125,1.1550923479732855,-0.5279593481275264,19156.109375,125.5,20.0,105.5,1633626437.029073,0.0403010845184326,0.0693280696868895
6,1,0,0,1,1,2,163,3232270759,197,223,183,6,443,46856,0,0,0,0,6,3232270759,6,443,443,1366,54,415,92.0,151.77777777777777,1.0754453476988146,-0.4941856560653823,17283.283950617282,197.0,54.0,143.0,1060,20,381,58.0,117.77777777777776,1.0754453476988146,-0.4941856560653823,17283.283950617282,163.0,20.0,143.0,1633626437.037257,0.0081839561462402,0.07751202583312969
7,1,0,0,1,1,2,58,3232270759,92,223,78,6,443,46856,0,0,0,0,6,3232270759,6,443,443,1458,54,415,92.0,145.8,1.2311035739524514,-0.102237910483081,15876.56,171.75,54.0,117.75,1118,20,381,58.0,111.8,1.2311035739524514,-0.102237910483081,15876.56,137.75,20.0,117.75,1633626437.037314,5.698204040527344e-05,0.07756900787353496
8,1,0,0,1,2,1,20,880264544,54,64,40,6,46856,443,0,0,0,0,6,3232270759,6,443,443,1512,54,415,92.0,137.45454545454547,1.3691342631378562,0.2729622770937405,15129.702479338845,146.5,54.0,92.5,1138,20,381,58.0,103.45454545454544,1.369134263137856,0.272962277093741,15129.702479338848,112.5,20.0,92.5,1633626437.039968,0.0026540756225585,0.08022308349609346
9,1,0,0,1,2,1,20,880264544,54,64,40,6,46856,443,0,0,0,0,6,3232270759,6,443,443,1566,54,415,73.0,130.5,1.4975309047849734,0.6580350430664748,14400.916666666666,121.25,54.0,67.25,1158,20,381,39.0,96.5,1.4975309047849734,0.6580350430664748,14400.916666666666,87.25,20.0,67.25,1633626437.041485,0.0015170574188232,0.08174014091491666
