Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,316,880264544,350,64,336,6,46856,443,0,0,0,0,8,3232270759,6,443,443,1620,54,375,92.0,124.6153846153846,1.5260123579941445,0.7201164413375865,11765.621301775149,96.0,54.0,42.0,1178,20,341,58.0,90.6153846153846,1.5260123579941445,0.7201164413375865,11765.621301775149,62.0,20.0,42.0,1633627751.167293,0.0,0.0
1,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,46856,443,0,0,0,0,8,3232270759,6,443,443,3134,54,1514,92.0,223.8571428571429,2.9156404324679595,7.273603982354915,138961.26530612246,173.25,54.0,119.25,2658,20,1480,58.0,189.8571428571429,2.9156404324679595,7.273603982354915,138961.26530612246,139.25,20.0,119.25,1633627751.168701,0.0014078617095947,0.0014078617095947
2,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,46856,443,0,0,0,0,8,3232270759,6,443,443,4648,54,1514,92.0,309.8666666666667,1.982061045057734,2.194151423706761,233264.11555555556,274.5,54.0,220.5,4138,20,1480,58.0,275.8666666666667,1.982061045057734,2.194151423706761,233264.11555555556,240.5,20.0,220.5,1633627751.17443,0.0057289600372314,0.007136821746826101
3,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,46856,443,0,0,0,0,8,3232270759,6,443,443,6162,54,1514,92.0,385.125,1.4910654738645832,0.372091776819937,303642.359375,356.25,54.0,302.25,5618,20,1480,58.0,351.125,1.4910654738645832,0.372091776819937,303642.359375,322.25,20.0,302.25,1633627751.17443,0.0,0.007136821746826101
4,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,46856,443,0,0,0,0,8,3232270759,6,443,443,7676,54,1514,92.0,451.52941176470586,1.1666228876491065,-0.536636440258961,356333.7785467128,375.0,54.0,321.0,7098,20,1480,58.0,417.52941176470586,1.1666228876491065,-0.536636440258961,356333.7785467128,341.0,20.0,321.0,1633627751.175872,0.0014421939849853,0.0085790157318114
5,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,46856,443,0,0,0,0,8,3232270759,6,443,443,9190,54,1514,94.0,510.55555555555554,0.926626422496566,-1.062696254007112,395766.9135802469,1229.25,54.0,1175.25,8578,20,1480,60.0,476.55555555555554,0.926626422496566,-1.062696254007112,395766.9135802469,1195.25,20.0,1175.25,1633627751.175872,0.0,0.0085790157318114
6,1,0,0,1,2,1,48,880264544,82,64,68,6,46856,443,0,0,0,0,8,3232270759,6,443,443,9272,54,1514,92.0,488.0,1.0100038962531916,-0.9002975643650939,384094.63157894736,944.5,54.0,890.5,8626,20,1480,58.0,454.0,1.0100038962531916,-0.9002975643650939,384094.63157894736,910.5,20.0,890.5,1633627751.175872,0.0,0.0085790157318114
7,1,0,0,1,2,1,138,880264544,172,64,158,6,46856,443,0,0,0,0,8,3232270759,6,443,443,9444,54,1514,94.0,472.2,1.0873212755673447,-0.7335209733712471,369633.06,659.75,54.0,605.75,8764,20,1480,60.0,438.2,1.0873212755673447,-0.7335209733712471,369633.06,625.75,20.0,605.75,1633627751.175872,0.0,0.0085790157318114
8,1,0,0,1,2,1,218,880264544,252,64,238,6,46856,443,0,0,0,0,8,3232270759,6,443,443,252,252,252,252.0,252.0,0.0,-3.0,0.0,252.0,252.0,0.0,218,218,218,218.0,218.0,0.0,-3.0,0.0,218.0,218.0,0.0,1633627751.187485,0.0116128921508789,0.020191907882690298
9,1,0,0,1,2,1,138,880264544,172,64,158,6,46856,443,0,0,0,0,8,3232270759,6,443,443,424,172,252,212.0,212.0,0.0,-2.0,1600.0,232.0,192.0,40.0,356,138,218,178.0,178.0,0.0,-2.0,1600.0,198.0,158.0,40.0,1633627751.188561,0.0010759830474853,0.021267890930175597
