Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,326,3232270803,360,215,346,6,443,38112,0,0,0,0,2,2954913076,6,38112,443,626,54,360,66.0,125.2,1.4501041588754742,0.1788608145094463,13975.360000000004,92.0,54.0,38.0,456,20,326,32.0,91.2,1.4501041588754742,0.1788608145094463,13975.360000000004,58.0,20.0,38.0,1633614061.956184,0.0,0.0
1,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,680,54,360,60.0,113.33333333333331,1.7323505585214016,1.091548214100598,12350.22222222222,85.5,54.0,31.5,476,20,326,26.0,79.33333333333333,1.7323505585214016,1.091548214100598,12350.22222222222,51.5,20.0,31.5,1633614062.046788,0.0906040668487548,0.0906040668487548
2,1,0,0,1,2,1,302,2954913076,336,64,322,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,1016,54,360,66.0,145.14285714285714,0.9272466685432964,-1.0886516708339329,16656.979591836738,214.0,54.0,160.0,778,20,326,32.0,111.14285714285714,0.9272466685432964,-1.0886516708339329,16656.979591836738,180.0,20.0,160.0,1633614062.120353,0.0735650062561035,0.1641690731048583
3,1,0,0,1,2,1,156,2954913076,190,64,176,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,1206,54,360,79.0,150.75,0.8371092242891062,-1.0449060921363398,14794.9375,226.5,54.0,172.5,934,20,326,45.0,116.75,0.8371092242891062,-1.0449060921363398,14794.9375,192.5,20.0,172.5,1633614062.120353,0.0,0.1641690731048583
4,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,2720,54,1514,92.0,302.22222222222223,2.1777198679140546,3.239777743314443,196701.7283950617,336.0,54.0,282.0,2414,20,1480,58.0,268.22222222222223,2.1777198679140546,3.239777743314443,196701.7283950617,302.0,20.0,282.0,1633614062.120353,0.0,0.1641690731048583
5,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,4234,54,1514,141.0,423.4,1.3653964419584688,0.0509933009930696,309188.0399999999,354.0,57.0,297.0,3894,20,1480,107.0,389.4,1.3653964419584688,0.0509933009930696,309188.0399999999,320.0,23.0,297.0,1633614062.123691,0.0033380985260009,0.16750717163085918
6,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,5748,54,1514,190.0,522.5454545454545,0.9308380080706224,-1.0196561767904149,379378.2479338842,937.0,60.0,877.0,5374,20,1480,156.0,488.54545454545456,0.930838008070622,-1.0196561767904162,379378.2479338843,903.0,26.0,877.0,1633614062.123691,0.0,0.16750717163085918
7,1,0,0,1,2,1,1282,2954913076,1316,64,1302,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,7064,54,1514,263.0,588.6666666666666,0.6512521810005085,-1.4620370951162305,395855.5555555556,1365.5,63.0,1302.5,6656,20,1480,229.0,554.6666666666666,0.6512521810005085,-1.4620370951162305,395855.5555555556,1331.5,29.0,1302.5,1633614062.123691,0.0,0.16750717163085918
8,1,0,0,1,2,1,102,2954913076,136,64,122,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,7200,54,1514,190.0,553.8461538461538,0.7784696427622143,-1.2799149745113223,379954.7455621302,1316.0,66.0,1250.0,6758,20,1480,156.0,519.8461538461538,0.7784696427622143,-1.2799149745113223,379954.7455621302,1282.0,32.0,1250.0,1633614062.123691,0.0,0.16750717163085918
9,1,0,0,1,2,1,58,2954913076,92,64,78,6,38112,443,0,0,0,0,2,2954913076,6,38112,443,7292,54,1514,163.0,520.8571428571429,0.8934712904581428,-1.0867232247852787,366962.69387755095,1077.0,72.5,1004.5,6816,20,1480,129.0,486.8571428571428,0.893471290458143,-1.086723224785278,366962.6938775509,1043.0,38.5,1004.5,1633614062.123691,0.0,0.16750717163085918
