Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,326,3232270803,360,215,346,6,443,38112,0,0,0,0,3,2954913076,6,38112,443,1289,54,360,79.0,99.15384615384616,2.356874586026693,4.366775744037268,7040.284023668637,79.0,54.0,25.0,847,20,326,45.0,65.15384615384616,2.356874586026693,4.366775744037268,7040.284023668637,45.0,20.0,25.0,1633613935.839241,0.0,0.0
1,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,1343,54,360,66.5,95.92857142857144,2.4783173747477334,5.003867768674624,6672.6377551020405,79.0,54.0,25.0,867,20,326,32.5,61.92857142857143,2.4783173747477334,5.003867768674624,6672.6377551020405,45.0,20.0,25.0,1633613935.928649,0.0894079208374023,0.0894079208374023
2,1,0,0,1,2,1,640,2954913076,674,64,660,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,2017,54,674,79.0,134.46666666666667,2.467084574826818,5.005664217147242,27020.38222222222,85.5,54.0,31.5,1507,20,640,45.0,100.46666666666668,2.467084574826818,5.005664217147242,27020.38222222222,51.5,20.0,31.5,1633613936.001145,0.0724959373474121,0.1619038581848144
3,1,0,0,1,2,1,156,2954913076,190,64,176,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,2207,54,674,79.0,137.9375,2.458397937522202,5.203233422015563,25512.30859375,116.5,54.0,62.5,1663,20,640,45.0,103.9375,2.458397937522202,5.203233422015563,25512.30859375,82.5,20.0,62.5,1633613936.001145,0.0,0.1619038581848144
4,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,3721,54,1514,79.0,218.8823529411765,2.8299865357837493,7.147185641867779,128844.69204152247,190.0,54.0,136.0,3143,20,1480,45.0,184.8823529411765,2.8299865357837493,7.147185641867779,128844.69204152247,156.0,20.0,136.0,1633613936.001145,0.0,0.1619038581848144
5,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,5235,54,1514,79.0,290.8333333333333,2.068870011147339,2.723671337940199,209694.6944444445,195.25,54.0,141.25,4623,20,1480,45.0,256.8333333333333,2.068870011147339,2.723671337940199,209694.6944444445,161.25,20.0,141.25,1633613936.001145,0.0,0.1619038581848144
6,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,6749,54,1514,79.0,355.2105263157895,1.6205317747357983,0.8814267140159573,273257.74515235453,278.5,54.0,224.5,6103,20,1480,45.0,321.2105263157895,1.6205317747357983,0.8814267140159573,273257.74515235453,244.5,20.0,224.5,1633613936.001145,0.0,0.1619038581848144
7,1,0,0,1,2,1,1283,2954913076,1317,64,1303,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,8066,54,1514,79.0,403.3,1.3184944312195288,-0.0532953559702034,303534.2100000001,438.5,54.0,384.5,7386,20,1480,45.0,369.3,1.3184944312195288,-0.0532953559702034,303534.2100000001,404.5,20.0,384.5,1633613936.001145,0.0,0.1619038581848144
8,1,0,0,1,2,1,102,2954913076,136,64,122,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,136,136,136,136.0,136.0,0.0,-3.0,0.0,136.0,136.0,0.0,102,102,102,102.0,102.0,0.0,-3.0,0.0,102.0,102.0,0.0,1633613936.001145,0.0,0.1619038581848144
9,1,0,0,1,2,1,58,2954913076,92,64,78,6,38112,443,0,0,0,0,3,2954913076,6,38112,443,228,92,136,114.0,114.0,0.0,-2.0,484.0,125.0,103.0,22.0,160,58,102,80.0,80.0,0.0,-2.0,484.0,91.0,69.0,22.0,1633613936.001145,0.0,0.1619038581848144
