Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,302,878633874,336,64,322,6,33222,443,0,0,0,0,9,3232270803,6,38112,443,1639,54,336,66.0,96.41176470588236,2.538248600178391,5.8293352179907565,4772.948096885813,99.0,54.0,45.0,1061,20,302,32.0,62.41176470588236,2.538248600178391,5.8293352179907565,4772.948096885813,65.0,20.0,45.0,1633623321.712127,0.0,0.0
1,1,0,0,1,2,1,156,878633874,190,64,176,6,33222,443,0,0,0,0,9,3232270803,6,38112,443,1829,54,336,79.0,101.61111111111111,2.166257838659527,4.199713865691385,4967.348765432099,99.75,54.0,45.75,1217,20,302,45.0,67.61111111111111,2.166257838659527,4.199713865691385,4967.348765432099,65.75,20.0,45.75,1633623321.712127,0.0,0.0
2,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,9,3232270803,6,38112,443,3343,54,1514,92.0,175.94736842105263,3.72866695186948,12.559608039224583,104171.73407202214,100.0,54.0,46.0,2697,20,1480,58.0,141.94736842105263,3.72866695186948,12.559608039224583,104171.73407202214,66.0,20.0,46.0,1633623321.712127,0.0,0.0
3,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,9,3232270803,6,38112,443,4857,54,1514,94.0,242.85,2.5547239968116333,4.730901376903342,184006.42750000005,122.5,54.0,68.5,4177,20,1480,60.0,208.85,2.5547239968116333,4.730901376903342,184006.42750000005,88.5,20.0,68.5,1633623321.712127,0.0,0.0
4,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,9,3232270803,6,38112,443,1514,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,1480,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1633623321.712682,0.0005550384521484,0.0005550384521484
5,1,0,0,1,2,1,961,878633874,995,64,981,6,33222,443,0,0,0,0,9,3232270803,6,38112,443,2509,995,1514,1254.5,1254.5,0.0,-2.0,67340.25,1384.25,1124.75,259.5,2441,961,1480,1220.5,1220.5,0.0,-2.0,67340.25,1350.25,1090.75,259.5,1633623321.712682,0.0,0.0005550384521484
6,1,0,0,1,2,1,102,878633874,136,64,122,6,33222,443,0,0,0,0,9,3232270803,6,38112,443,2645,136,1514,995.0,881.6666666666666,-0.2912329920867622,-1.5000000000000004,322902.88888888893,1254.5,565.5,689.0,2543,102,1480,961.0,847.6666666666666,-0.2912329920867622,-1.5000000000000004,322902.88888888893,1220.5,531.5,689.0,1633623321.71413,0.0014479160308837,0.0020029544830321
7,1,0,0,1,2,1,58,878633874,92,64,78,6,33222,443,0,0,0,0,9,3232270803,6,38112,443,2737,92,1514,565.5,684.25,0.265754459304403,-1.649259182771574,359097.1875,1124.75,125.0,999.75,2601,58,1480,531.5,650.25,0.265754459304403,-1.649259182771574,359097.1875,1090.75,91.0,999.75,1633623321.718577,0.0044469833374023,0.0064499378204344
8,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,9,3232270803,6,38112,443,2791,54,1514,136.0,558.2,0.6272841509192169,-1.3513248309438353,350832.16000000003,995.0,92.0,903.0,2621,20,1480,102.0,524.2,0.6272841509192169,-1.3513248309438353,350832.16000000003,961.0,58.0,903.0,1633623321.740839,0.0222620964050292,0.0287120342254636
9,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,9,3232270803,6,443,443,2845,54,1514,114.0,474.1666666666667,0.90881334153115,-0.9207711269202824,327668.1388888888,780.25,63.5,716.75,2641,20,1480,80.0,440.1666666666667,0.90881334153115,-0.9207711269202824,327668.1388888888,746.25,29.5,716.75,1633623321.741291,0.0004520416259765,0.0291640758514401
10,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,9,3232270803,6,443,443,2899,54,1514,92.0,414.1428571428572,1.1433188704713086,-0.4323941271155256,302475.55102040817,565.5,54.0,511.5,2661,20,1480,58.0,380.1428571428572,1.1433188704713086,-0.4323941271155256,302475.55102040817,531.5,20.0,511.5,1633623321.741679,0.0003879070281982,0.0295519828796383
11,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,9,3232270803,6,443,443,2953,54,1514,73.0,369.125,1.3469033018995664,0.0861150642582275,278852.359375,350.75,54.0,296.75,2681,20,1480,39.0,335.125,1.3469033018995664,0.0861150642582275,278852.359375,316.75,20.0,296.75,1633623321.747069,0.005389928817749,0.0349419116973873
12,1,0,0,1,1,2,163,3232270803,197,213,183,6,443,33222,0,0,0,0,9,3232270803,6,443,443,3150,54,1514,92.0,350.0,1.5137898663214002,0.6153768602663714,250794.88888888888,197.0,54.0,143.0,2844,20,1480,58.0,316.0,1.5137898663214002,0.6153768602663714,250794.88888888888,163.0,20.0,143.0,1633623321.796279,0.0492100715637207,0.08415198326110801
13,1,0,0,1,1,2,58,3232270803,92,213,78,6,443,33222,0,0,0,0,9,3232270803,6,443,443,3242,54,1514,92.0,324.2,1.679743396772052,1.163180765839937,231706.16,181.75,54.0,127.75,2902,20,1480,58.0,290.2,1.679743396772052,1.163180765839937,231706.16,147.75,20.0,127.75,1633623321.796335,5.602836608886719e-05,0.08420801162719688
14,1,0,0,1,2,1,20,878633874,54,64,40,6,33222,443,0,0,0,0,9,3232270803,6,443,443,3296,54,1514,92.0,299.6363636363636,1.82933311161906,1.7077426844758277,216675.68595041323,166.5,54.0,112.5,2922,20,1480,58.0,265.6363636363636,1.82933311161906,1.7077426844758277,216675.68595041323,132.5,20.0,112.5,1633623321.857084,0.0607490539550781,0.14495706558227497
15,1,0,0,1,2,1,20,878633874,54,64,40,6,33222,443,0,0,0,0,9,3232270803,6,443,443,3350,54,1514,73.0,279.1666666666667,1.9688792036850264,2.257982361462095,203228.47222222225,151.25,54.0,97.25,2942,20,1480,39.0,245.16666666666663,1.9688792036850264,2.257982361462094,203228.47222222225,117.25,20.0,97.25,1633623321.857084,0.0,0.14495706558227497
16,1,0,0,1,2,1,320,878633874,354,64,340,6,33222,443,0,0,0,0,9,3232270803,6,443,443,3704,54,1514,92.0,284.9230769230769,2.003339986977897,2.564698522450847,187993.1479289941,197.0,54.0,143.0,3262,20,1480,58.0,250.92307692307693,2.003339986977897,2.564698522450847,187993.1479289941,163.0,20.0,143.0,1633623322.220879,0.3637950420379638,0.5087521076202388
17,1,0,0,1,2,1,156,878633874,190,64,176,6,33222,443,0,0,0,0,9,3232270803,6,443,443,3894,54,1514,92.0,278.1428571428572,2.1161053765488087,3.087669710242687,175162.693877551,195.25,54.0,141.25,3418,20,1480,58.0,244.14285714285717,2.1161053765488087,3.087669710242687,175162.693877551,161.25,20.0,141.25,1633623322.220879,0.0,0.5087521076202388
18,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,9,3232270803,6,443,443,5408,54,1514,92.0,360.53333333333336,1.568498957721382,0.7605486319855568,258519.84888888887,275.5,54.0,221.5,4898,20,1480,58.0,326.53333333333336,1.568498957721382,0.7605486319855568,258519.84888888887,241.5,20.0,221.5,1633623322.220879,0.0,0.5087521076202388
19,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,9,3232270803,6,443,443,6922,54,1514,114.0,432.625,1.2110292301808234,-0.3400021710544734,320320.484375,514.25,54.0,460.25,6378,20,1480,80.0,398.625,1.2110292301808234,-0.3400021710544734,320320.484375,480.25,20.0,460.25,1633623322.220879,0.0,0.5087521076202388
20,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,9,3232270803,6,443,443,8436,54,1514,136.0,496.2352941176471,0.9515149589824676,-0.9514037269564568,366218.4152249135,995.0,54.0,941.0,7858,20,1480,102.0,462.2352941176471,0.9515149589824676,-0.9514037269564568,366218.4152249135,961.0,20.0,941.0,1633623322.220879,0.0,0.5087521076202388
21,1,0,0,1,2,1,1008,878633874,1042,64,1028,6,33222,443,0,0,0,0,9,3232270803,6,443,443,9478,54,1514,163.0,526.5555555555555,0.8064357495322576,-1.154611618025603,361501.35802469135,1030.25,54.0,976.25,8866,20,1480,129.0,492.55555555555554,0.8064357495322576,-1.154611618025603,361501.35802469135,996.25,20.0,976.25,1633623322.220879,0.0,0.5087521076202388
22,1,0,0,1,2,1,102,878633874,136,64,122,6,33222,443,0,0,0,0,9,3232270803,6,443,443,9614,54,1514,136.0,506.0,0.8908096264273709,-1.009268092571216,350080.5263157895,1018.5,54.0,964.5,8968,20,1480,102.0,472.0,0.8908096264273709,-1.009268092571216,350080.5263157895,984.5,20.0,964.5,1633623322.220879,0.0,0.5087521076202388
23,1,0,0,1,2,1,58,878633874,92,64,78,6,33222,443,0,0,0,0,9,3232270803,6,443,443,9706,54,1514,136.0,485.3,0.9699837662385328,-0.8607400941651244,340717.81,1006.75,54.0,952.75,9026,20,1480,102.0,451.3,0.9699837662385328,-0.8607400941651244,340717.81,972.75,20.0,952.75,1633623322.220879,0.0,0.5087521076202388
24,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,9,3232270803,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633623322.249289,0.0284099578857421,0.5371620655059809
