Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,302,878633874,336,64,322,6,33222,443,0,0,0,0,13,3232270803,6,443,443,499,66,336,97.0,166.33333333333334,0.6722490337021491,-1.5,14553.555555555557,216.5,81.5,135.0,334,32,302,167.0,167.0,0.0,-2.0,18225.0,234.5,99.5,135.0,1633623364.032109,0.0,0.0
1,1,0,0,1,2,1,156,878633874,190,64,176,6,33222,443,0,0,0,0,13,3232270803,6,443,443,689,66,336,143.5,172.25,0.5987775824764667,-1.1913538222196538,11020.1875,226.5,89.25,137.25,490,32,302,156.0,163.33333333333334,0.0993902891977793,-1.5000000000000009,12176.88888888889,229.0,94.0,135.0,1633623364.032109,0.0,0.0
2,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,13,3232270803,6,443,443,2203,66,1514,190.0,440.6,1.3932247888195337,0.0982990775676002,296863.04000000004,336.0,97.0,239.0,1970,32,1480,229.0,492.5,1.0615274940674242,-0.7389801522066448,334184.75,596.5,125.0,471.5,1633623364.032109,0.0,0.0
3,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,13,3232270803,6,443,443,3717,66,1514,263.0,619.5,0.6519354727622096,-1.5045829409854148,407411.9166666667,1219.5,120.25,1099.25,3450,32,1480,302.0,690.0,0.3561127396531507,-1.8056127583623849,423372.8,1480.0,156.0,1324.0,1633623364.032109,0.0,0.0
4,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,13,3232270803,6,443,443,5231,66,1514,336.0,747.2857142857143,0.2475951378701611,-1.8884115465416045,447185.3469387755,1514.0,143.5,1370.5,4930,32,1480,891.0,821.6666666666666,-0.0410421104039982,-1.945880645080492,439491.2222222223,1480.0,192.5,1287.5,1633623364.032109,0.0,0.0
5,1,0,0,1,2,1,962,878633874,996,64,982,6,33222,443,0,0,0,0,13,3232270803,6,443,443,6227,66,1514,666.0,778.375,0.1176790226674684,-1.8071837897729444,398052.984375,1514.0,166.75,1347.25,5892,32,1480,962.0,841.7142857142857,-0.1399294660440967,-1.773541356055237,379118.2040816327,1480.0,229.0,1251.0,1633623364.032109,0.0,0.0
6,1,0,0,1,2,1,102,878633874,136,64,122,6,33222,443,0,0,0,0,13,3232270803,6,443,443,6363,66,1514,336.0,707.0,0.3295048036173585,-1.7273244851710123,394580.0,1514.0,136.0,1378.0,5994,32,1480,632.0,749.25,0.1233934933097631,-1.8085129884807076,391575.9375,1480.0,142.5,1337.5,1633623364.032109,0.0,0.0
7,1,0,0,1,2,1,58,878633874,92,64,78,6,33222,443,0,0,0,0,13,3232270803,6,443,443,6455,66,1514,263.0,645.5,0.5036669165790425,-1.5878128842432122,389162.25,1384.5,106.75,1277.75,6052,32,1480,302.0,672.4444444444445,0.3287893709173016,-1.727275335137057,395260.2469135802,1480.0,102.0,1378.0,1633623364.032109,0.0,0.0
8,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,13,3232270803,6,443,443,6509,54,1514,190.0,591.7272727272727,0.6514855882665903,-1.4153560654406607,382698.9256198347,1255.0,94.5,1160.5,6072,20,1480,229.0,607.2,0.4979312420693015,-1.588693631248491,394045.76,1350.5,69.0,1281.5,1633623364.060742,0.0286328792572021,0.0286328792572021
9,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,13,3232270803,6,443,443,6563,54,1514,163.0,546.9166666666666,0.7845387093049864,-1.2219752513419024,372895.2430555556,1125.5,85.5,1040.0,6092,20,1480,156.0,553.8181818181819,0.6472075434926882,-1.417690555796593,386719.6033057852,1221.0,45.0,1176.0,1633623364.060801,5.91278076171875e-05,0.028692007064819287
10,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,13,3232270803,6,443,443,6617,54,1514,136.0,509.0,0.9058746103306948,-1.0138907587366592,361463.07692307694,996.0,66.0,930.0,6112,20,1480,129.0,509.3333333333333,0.7812029639965085,-1.2249633264366615,376260.8888888889,1091.5,29.0,1062.5,1633623364.061144,0.0003430843353271,0.029035091400146387
11,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,13,3232270803,6,443,443,6671,54,1514,116.5,476.5,1.0177356192773752,-0.7951667042303043,349375.53571428574,831.0,57.0,774.0,6132,20,1480,102.0,471.6923076923077,0.9031935941226727,-1.0171584305326635,364319.90532544383,962.0,20.0,942.0,1633623364.061201,5.698204040527344e-05,0.02909207344055166
12,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,13,3232270803,6,443,443,6725,54,1514,97.0,448.3333333333333,1.1217902474173644,-0.5685286026459053,337190.88888888893,666.0,54.0,612.0,6152,20,1480,80.0,439.4285714285714,1.0155347082844244,-0.7985231847576562,351829.38775510195,797.0,20.0,777.0,1633623364.061233,3.1948089599609375e-05,0.02912402153015127
13,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,13,3232270803,6,443,443,6779,54,1514,94.5,423.6875,1.2193036006439697,-0.3358584014494261,325227.71484375,501.0,54.0,447.0,6172,20,1480,58.0,411.4666666666666,1.1199563967456891,-0.5718702457049245,339320.2488888888,632.0,20.0,612.0,1633623364.061551,0.0003180503845214,0.02944207191467267
14,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,13,3232270803,6,443,443,6833,54,1514,92.0,401.9411764705882,1.3112538849222923,-0.098491870041375,313663.1141868512,336.0,54.0,282.0,6192,20,1480,45.0,387.0,1.2177598669017744,-0.3391262905664907,327092.0,467.0,20.0,447.0,1633623364.061605,5.3882598876953125e-05,0.029495954513549624
15,1,0,0,1,1,2,20,3232270803,54,213,40,6,443,33222,0,0,0,0,13,3232270803,6,443,443,6887,54,1514,79.0,382.6111111111111,1.3984115190924158,0.1425990795350276,302589.4598765432,299.5,54.0,245.5,6212,20,1480,32.0,365.4117647058824,1.3099457412067588,-0.1016514393363867,315308.12456747406,302.0,20.0,282.0,1633623364.061637,3.1948089599609375e-05,0.029527902603149234
16,1,0,0,1,1,2,163,3232270803,197,213,183,6,443,33222,0,0,0,0,13,3232270803,6,443,443,7084,54,1514,92.0,372.8421052631579,1.4763201763876637,0.3839775548786361,288381.5013850416,266.5,54.0,212.5,6375,20,1480,45.0,354.1666666666667,1.3922601232200928,0.1378624285535084,299940.6944444444,267.25,20.0,247.25,1633623364.114263,0.0526261329650878,0.08215403556823703
17,1,0,0,1,1,2,58,3232270803,92,213,78,6,443,33222,0,0,0,0,13,3232270803,6,443,443,7176,54,1514,92.0,358.8,1.5565156535766909,0.6322954705379944,277708.86000000004,231.75,54.0,177.75,6433,20,1480,58.0,338.57894736842104,1.476271569415018,0.3837079742584812,288527.92797783925,232.5,20.0,212.5,1633623364.114319,5.602836608886719e-05,0.0822100639343259
18,1,0,0,1,2,1,20,878633874,54,64,40,6,33222,443,0,0,0,0,13,3232270803,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,6453,20,1480,45.0,322.65,1.5550603006825232,0.6285074644321216,278922.4274999999,197.75,20.0,177.75,1633623364.178977,0.0646579265594482,0.14686799049377408
19,1,0,0,1,2,1,302,878633874,336,64,322,6,33222,443,0,0,0,0,13,3232270803,6,443,443,390,54,336,195.0,195.0,0.0,-2.0,19881.0,265.5,124.5,141.0,302,302,302,302.0,302.0,0.0,-3.0,0.0,302.0,302.0,0.0,1633623364.505287,0.3263099193572998,0.4731779098510739
20,1,0,0,1,2,1,156,878633874,190,64,176,6,33222,443,0,0,0,0,13,3232270803,6,443,443,580,54,336,190.0,193.33333333333331,0.0433973125263084,-1.5,13259.555555555557,263.0,122.0,141.0,458,156,302,229.0,229.0,0.0,-2.0,5329.0,265.5,192.5,73.0,1633623364.505287,0.0,0.4731779098510739
21,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,13,3232270803,6,443,443,2094,54,1514,263.0,523.5,1.053862283394088,-0.7439100901650564,336974.75,630.5,156.0,474.5,1938,156,1480,302.0,646.0,0.6750663861837861,-1.5000000000000002,351330.6666666667,891.0,229.0,662.0,1633623364.505287,0.0,0.4731779098510739
22,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,13,3232270803,6,443,443,3608,54,1514,336.0,721.6,0.3517651772642305,-1.802825727457311,426554.2400000001,1514.0,190.0,1324.0,3418,156,1480,891.0,854.5,-0.0202237146386286,-1.973080645658362,393914.75,1480.0,265.5,1214.5,1633623364.505287,0.0,0.4731779098510739
23,1,0,0,1,2,1,1480,878633874,1514,64,1500,6,33222,443,0,0,0,0,13,3232270803,6,443,443,5122,54,1514,925.0,853.6666666666666,-0.0444801817769407,-1.940987984538182,442669.8888888889,1514.0,226.5,1287.5,4898,156,1480,1480.0,979.6,-0.4254731525317005,-1.7958821291919904,377731.84,1480.0,302.0,1178.0,1633623364.505287,0.0,0.4731779098510739
