Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,302,880264544,336,64,322,6,32950,443,0,0,0,0,17,3232270803,6,443,443,390,54,336,195.0,195.0,0.0,-2.0,19881.0,265.5,124.5,141.0,302,302,302,302.0,302.0,0.0,-3.0,0.0,302.0,302.0,0.0,1633629045.250473,0.0,0.0
1,1,0,0,1,2,1,156,880264544,190,64,176,6,32950,443,0,0,0,0,17,3232270803,6,443,443,580,54,336,190.0,193.33333333333331,0.0433973125263084,-1.5,13259.555555555557,263.0,122.0,141.0,458,156,302,229.0,229.0,0.0,-2.0,5329.0,265.5,192.5,73.0,1633629045.250473,0.0,0.0
2,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,32950,443,0,0,0,0,17,3232270803,6,443,443,2094,54,1514,263.0,523.5,1.053862283394088,-0.7439100901650564,336974.75,630.5,156.0,474.5,1938,156,1480,302.0,646.0,0.6750663861837861,-1.5000000000000002,351330.6666666667,891.0,229.0,662.0,1633629045.250473,0.0,0.0
3,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,32950,443,0,0,0,0,17,3232270803,6,443,443,3608,54,1514,336.0,721.6,0.3517651772642305,-1.802825727457311,426554.2400000001,1514.0,190.0,1324.0,3418,156,1480,891.0,854.5,-0.0202237146386286,-1.973080645658362,393914.75,1480.0,265.5,1214.5,1633629045.250473,0.0,0.0
4,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,32950,443,0,0,0,0,17,3232270803,6,443,443,5122,54,1514,925.0,853.6666666666666,-0.0444801817769407,-1.940987984538182,442669.8888888889,1514.0,226.5,1287.5,4898,156,1480,1480.0,979.6,-0.4254731525317005,-1.7958821291919904,377731.84,1480.0,302.0,1178.0,1633629045.250473,0.0,0.0
5,1,0,0,1,2,1,1285,880264544,1319,64,1305,6,32950,443,0,0,0,0,17,3232270803,6,443,443,6441,54,1514,1319.0,920.1428571428572,-0.3019035690372427,-1.8194016843795795,405945.83673469385,1514.0,263.0,1251.0,6183,156,1480,1382.5,1030.5,-0.6808581734041312,-1.4588784823911465,327730.5833333333,1480.0,547.75,932.25,1633629045.250473,0.0,0.0
6,1,0,0,1,2,1,163,880264544,197,64,183,6,32950,443,0,0,0,0,17,3232270803,6,443,443,6638,54,1514,827.5,829.75,-0.0114115364992263,-1.92375828001692,412398.6875,1514.0,195.25,1318.75,6346,156,1480,1285.0,906.5714285714286,-0.272769330940931,-1.8693162790961408,373061.6734693878,1480.0,232.5,1247.5,1633629045.250473,0.0,0.0
7,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,32950,443,0,0,0,0,17,3232270803,6,443,443,8152,54,1514,1319.0,905.7777777777778,-0.2325699000194586,-1.876490823240948,412818.3950617284,1514.0,197.0,1317.0,7826,156,1480,1382.5,978.25,-0.500146512422793,-1.695692122868856,362393.6875,1480.0,267.25,1212.75,1633629045.250473,0.0,0.0
8,1,0,0,1,2,1,462,880264544,496,64,482,6,32950,443,0,0,0,0,17,3232270803,6,443,443,8648,54,1514,907.5,864.8,-0.0615504003861628,-1.8707754213466024,386649.16,1514.0,231.75,1282.25,8288,156,1480,1285.0,920.8888888888888,-0.2534109790725228,-1.8362146308393144,348450.09876543214,1480.0,302.0,1178.0,1633629045.250957,0.0004839897155761,0.0004839897155761
9,1,0,0,1,2,1,100,880264544,134,64,120,6,32950,443,0,0,0,0,17,3232270803,6,443,443,8782,54,1514,496.0,798.3636363636364,0.1214078757084559,-1.869656605476108,395637.1404958677,1514.0,193.5,1320.5,8388,100,1480,873.5,838.8,-0.0415311998620979,-1.898490124607537,374252.36,1480.0,197.75,1282.25,1633629045.250957,0.0,0.0004839897155761
10,0,1,0,0,3,1,45,3232270593,79,64,65,17,63993,53,1,0,0,0,17,3232270803,6,443,443,8861,54,1514,416.0,738.4166666666666,0.2713788834787435,-1.8105049772398505,402197.4097222223,1514.0,176.0,1338.0,8433,45,1480,462.0,766.6363636363636,0.1269360364039505,-1.875458624551989,392305.3223140496,1480.0,159.5,1320.5,1633629045.250957,0.0,0.0004839897155761
11,1,0,0,1,1,2,20,3232270803,54,223,40,6,443,32950,1,0,0,0,17,3232270803,6,443,443,8915,54,1514,336.0,685.7692307692307,0.4013922802777018,-1.7196856151031024,404520.17751479294,1514.0,134.0,1380.0,8453,20,1480,382.0,704.4166666666666,0.2713788834787436,-1.8105049772398505,402197.4097222223,1480.0,142.0,1338.0,1633629045.27901,0.0280530452728271,0.0285370349884032
12,0,1,0,0,1,3,93,3232270803,127,128,113,17,53,63993,2,0,0,0,17,3232270803,6,443,443,9042,54,1514,266.5,645.8571428571429,0.5248324104102913,-1.608232666646164,396334.5510204081,1465.25,128.75,1336.5,8546,20,1480,302.0,657.3846153846154,0.4087125064530131,-1.721167605927274,397803.3136094674,1480.0,100.0,1380.0,1633629045.279185,0.0001749992370605,0.028712034225463697
