Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,302,880264544,336,64,322,6,32950,443,0,0,0,0,24,3232270803,6,443,443,1042,54,336,92.0,115.77777777777776,1.6088295542617057,1.3139519519470353,7954.172839506174,100.0,54.0,46.0,572,20,302,39.0,71.5,2.0443081266675143,2.5714855325941857,7997.75,66.0,20.0,46.0,1633628976.579514,0.0,0.0
1,1,0,0,1,2,1,156,880264544,190,64,176,6,32950,443,0,0,0,0,24,3232270803,6,443,443,1232,54,336,96.0,123.2,1.3397260801369193,0.7463863436441955,7654.560000000002,167.5,54.0,113.5,728,20,302,58.0,80.88888888888889,1.6587378647288131,1.5079154370024277,7814.3209876543215,66.0,20.0,46.0,1633628976.579514,0.0,0.0
2,0,1,0,0,2,1,45,3232270593,79,64,65,17,39089,53,1,0,0,0,24,3232270803,6,443,443,1311,54,336,92.0,119.1818181818182,1.4874951288487548,1.212814265910362,7120.148760330579,145.0,54.0,91.0,773,20,302,51.5,77.3,1.8258766166564415,2.1501141204090244,7148.81,66.0,20.0,46.0,1633628976.579514,0.0,0.0
3,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,32950,443,1,0,0,0,24,3232270803,6,443,443,2825,54,1514,96.0,235.41666666666663,2.803023343891779,6.274017217932128,155142.74305555553,192.0,54.0,138.0,2253,20,1480,58.0,204.8181818181818,2.66224937430452,5.426646521235217,169107.78512396695,111.0,20.0,91.0,1633628976.579514,0.0,0.0
4,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,32950,443,1,0,0,0,24,3232270803,6,443,443,4339,54,1514,100.0,333.7692307692308,1.8286706260425147,1.4845670937971145,259287.4082840237,198.0,54.0,144.0,3733,20,1480,62.0,311.0833333333333,1.7098296905845507,1.0395373483674115,279230.57638888893,192.5,20.0,172.5,1633628976.579514,0.0,0.0
5,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,32950,443,1,0,0,0,24,3232270803,6,443,443,5853,54,1514,100.0,418.07142857142856,1.3352564760694916,-0.1375297327571338,333156.06632653065,301.5,60.25,241.25,5213,20,1480,66.0,401.0,1.2271660783907858,-0.4273258679143521,354771.3846153846,302.0,20.0,282.0,1633628976.579514,0.0,0.0
6,1,0,0,1,2,1,1202,880264544,1236,64,1222,6,32950,443,1,0,0,0,24,3232270803,6,443,443,7089,54,1514,100.0,472.6,1.0427011733546774,-0.8081761386691206,352572.7733333333,786.0,66.5,719.5,6415,20,1480,66.0,458.2142857142857,0.9408841685409424,-1.0205084011706704,371985.7397959183,977.0,26.25,950.75,1633628976.579514,0.0,0.0
7,1,0,0,1,2,1,100,880264544,134,64,120,6,32950,443,1,0,0,0,24,3232270803,6,443,443,7223,54,1514,117.0,451.4375,1.141864589886784,-0.5885705212585015,337254.74609375,561.0,72.75,488.25,6515,20,1480,66.0,434.3333333333333,1.0470539272104478,-0.806506804030724,355170.88888888893,752.0,32.5,719.5,1633628976.579514,0.0,0.0
8,1,0,0,1,2,1,163,880264544,197,64,183,6,32950,443,1,0,0,0,24,3232270803,6,443,443,7420,54,1514,134.0,436.4705882352941,1.2312904058710952,-0.3664402912548552,321000.3667820069,336.0,79.0,257.0,6678,20,1480,83.0,417.375,1.141964547726825,-0.5884968309808012,337286.484375,527.0,38.75,488.25,1633628976.584405,0.0048909187316894,0.0048909187316894
9,0,1,0,0,1,2,93,3232270803,127,128,113,17,53,39089,2,0,0,0,24,3232270803,6,443,443,7547,54,1514,130.5,419.27777777777777,1.3194413289228244,-0.1386561811189062,308192.08950617287,301.5,82.25,219.25,6771,20,1480,93.0,398.2941176470589,1.235230104827667,-0.3639997130078591,323271.38408304506,302.0,45.0,257.0,1633628976.607514,0.023108959197998,0.0279998779296874
