Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,326,3232270803,360,215,346,6,443,38112,0,0,0,0,25,3232270803,6,443,443,1082,54,360,54.0,98.36363636363636,2.088960489462865,2.973585792476197,8560.595041322315,73.0,54.0,19.0,688,20,326,20.0,68.8,1.9335008936348517,2.313989348328453,9200.16,48.5,20.0,28.5,1633613366.92713,0.0,0.0
1,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,25,3232270803,6,443,443,1136,54,360,54.0,94.66666666666669,2.2345307261266143,3.638222909968923,7997.555555555555,63.5,54.0,9.5,708,20,326,20.0,64.36363636363636,2.088960489462865,2.973585792476197,8560.595041322315,39.0,20.0,19.0,1633613367.10649,0.1793599128723144,0.1793599128723144
2,1,0,0,1,2,1,302,2954913076,336,64,322,6,38112,443,0,0,0,0,25,3232270803,6,443,443,1472,54,360,54.0,113.23076923076924,1.5440197645545477,0.6724934559123987,11517.869822485209,92.0,54.0,38.0,1010,20,326,20.0,84.16666666666667,1.4203194477096972,0.295622241511885,12160.97222222222,84.5,20.0,64.5,1633613367.10649,0.0,0.1793599128723144
3,1,0,0,1,2,1,156,2954913076,190,64,176,6,38112,443,0,0,0,0,25,3232270803,6,443,443,1662,54,360,54.0,118.71428571428572,1.3896155861061148,0.3954237219211771,11086.061224489797,165.5,54.0,111.5,1166,20,326,20.0,89.6923076923077,1.2775269198438792,0.0852992154455307,11591.905325443788,156.0,20.0,136.0,1633613367.10649,0.0,0.1793599128723144
4,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,3176,54,1514,54.0,211.7333333333333,3.0436398808913143,8.116090920632296,131482.59555555554,194.0,54.0,140.0,2646,20,1480,20.0,189.0,2.9157883103404383,7.301003682116448,138970.14285714287,162.0,20.0,142.0,1633613367.10649,0.0,0.1793599128723144
5,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,4690,54,1514,54.0,293.125,2.086394469986435,2.642331690128972,222633.984375,232.5,54.0,178.5,4126,20,1480,20.0,275.06666666666666,1.982217508950336,2.203428713108372,233410.06222222224,233.0,20.0,213.0,1633613367.10649,0.0,0.1793599128723144
6,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,6204,54,1514,54.0,364.9411764705882,1.584110214083943,0.6696490626385749,292058.87889273354,336.0,54.0,282.0,5606,20,1480,39.0,350.375,1.491184792162879,0.3772073091860828,303892.109375,308.0,20.0,288.0,1633613367.10649,0.0,0.1793599128723144
7,1,0,0,1,2,1,1282,2954913076,1316,64,1302,6,38112,443,0,0,0,0,25,3232270803,6,443,443,7520,54,1514,73.0,417.77777777777777,1.2650280659686577,-0.2587603217739826,323292.3950617284,354.0,54.0,300.0,6888,20,1480,58.0,405.1764705882353,1.178710323498386,-0.4737374371182108,334067.32179930795,326.0,20.0,306.0,1633613367.10649,0.0,0.1793599128723144
8,1,0,0,1,2,1,102,2954913076,136,64,122,6,38112,443,0,0,0,0,25,3232270803,6,443,443,7656,54,1514,92.0,402.9473684210527,1.347976818979849,-0.0370885623869083,310235.94459833787,348.0,54.0,294.0,6990,20,1480,80.0,388.3333333333333,1.2663606419621292,-0.2550665213357947,320330.7777777778,320.0,20.0,300.0,1633613367.10649,0.0,0.1793599128723144
9,1,0,0,1,2,1,58,2954913076,92,64,78,6,38112,443,0,0,0,0,25,3232270803,6,443,443,7748,54,1514,92.0,387.4,1.427383314569604,0.1865015685320523,299316.84,342.0,54.0,288.0,7048,20,1480,58.0,370.9473684210527,1.34966417594439,-0.0341657056915667,308912.1551246538,314.0,20.0,294.0,1633613367.10649,0.0,0.1793599128723144
10,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,7068,20,1480,58.0,353.4,1.427383314569604,0.1865015685320523,299316.84,308.0,20.0,288.0,1633613367.1357,0.029210090637207,0.2085700035095214
11,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,108,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633613367.135756,5.602836608886719e-05,0.20862603187561027
12,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,162,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,40,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633613367.136173,0.0004169940948486,0.20904302597045887
13,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,216,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,60,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633613367.13623,5.698204040527344e-05,0.20910000801086415
14,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,270,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,80,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633613367.136261,3.0994415283203125e-05,0.20913100242614735
15,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,324,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,100,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633613367.13655,0.000288963317871,0.20941996574401836
16,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,378,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,120,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633613367.136605,5.507469177246094e-05,0.20947504043579082
17,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,432,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,140,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633613367.136636,3.0994415283203125e-05,0.20950603485107402
18,1,0,0,1,1,2,62,3232270803,96,215,82,6,443,38112,0,0,0,0,25,3232270803,6,443,443,528,54,96,54.0,58.66666666666666,2.474873734152917,4.125000000000003,174.22222222222223,54.0,54.0,0.0,202,20,62,20.0,25.25,2.2677868380553634,3.1428571428571432,192.9375,20.0,20.0,0.0,1633613367.136665,2.9087066650390625e-05,0.20953512191772442
19,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,25,3232270803,6,443,443,582,54,96,54.0,58.2,2.666666666666666,5.111111111111107,158.76,54.0,54.0,0.0,222,20,62,20.0,24.666666666666668,2.4748737341529163,4.124999999999997,174.2222222222222,20.0,20.0,0.0,1633613367.17825,0.0415849685668945,0.2511200904846189
20,1,0,0,1,1,2,163,3232270803,197,215,183,6,443,38112,0,0,0,0,25,3232270803,6,443,443,779,54,197,54.0,70.81818181818181,2.490225308988641,4.676386815542217,1736.5123966942149,54.0,54.0,0.0,385,20,163,20.0,38.5,2.322939816901655,3.839748322384194,1879.05,20.0,20.0,0.0,1633613367.185976,0.0077259540557861,0.258846044540405
21,1,0,0,1,1,2,58,3232270803,92,215,78,6,443,38112,0,0,0,0,25,3232270803,6,443,443,871,54,197,54.0,72.58333333333333,2.399832135351947,4.599594647618533,1626.076388888889,63.5,54.0,9.5,443,20,163,20.0,40.27272727272727,2.25231011994961,3.864946248583151,1739.6528925619832,39.0,20.0,19.0,1633613367.186031,5.507469177246094e-05,0.25890111923217746
22,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,25,3232270803,6,443,443,925,54,197,54.0,71.15384615384616,2.539403453750063,5.338013576682515,1525.514792899408,54.0,54.0,0.0,463,20,163,20.0,38.583333333333336,2.3998321353519465,4.59959464761853,1626.0763888888887,29.5,20.0,9.5,1633613367.250996,0.064965009689331,0.32386612892150846
23,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,25,3232270803,6,443,443,979,54,197,54.0,69.92857142857143,2.672132294984078,6.079306195152343,1436.0663265306123,54.0,54.0,0.0,483,20,163,20.0,37.15384615384615,2.539403453750063,5.338013576682513,1525.514792899408,20.0,20.0,0.0,1633613367.250996,0.0,0.32386612892150846
24,1,0,0,1,2,1,320,2954913076,354,64,340,6,38112,443,0,0,0,0,25,3232270803,6,443,443,1333,54,354,54.0,88.86666666666666,2.553801692874417,5.392574669561117,6361.448888888888,73.0,54.0,19.0,803,20,320,20.0,57.35714285714285,2.4329407267406427,4.747905812513444,6722.801020408165,48.5,20.0,28.5,1633613367.518403,0.2674069404602051,0.5912730693817135
25,1,0,0,1,2,1,156,2954913076,190,64,176,6,38112,443,0,0,0,0,25,3232270803,6,443,443,1523,54,354,54.0,95.1875,2.171719081501439,3.829313150695566,6563.15234375,93.0,54.0,39.0,959,20,320,20.0,63.93333333333333,2.0671183371887345,3.344621583922793,6880.062222222222,60.0,20.0,40.0,1633613367.518403,0.0,0.5912730693817135
26,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,3037,54,1514,54.0,178.64705882352942,3.447117325373461,10.534471483537034,117625.05190311416,96.0,54.0,42.0,2439,20,1480,20.0,152.4375,3.3224167684532184,9.653284636664516,123944.87109375,85.5,20.0,65.5,1633613367.518403,0.0,0.5912730693817135
27,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,4551,54,1514,54.0,252.83333333333331,2.351091188314216,3.736131567398729,204651.5833333333,166.5,54.0,112.5,3919,20,1480,20.0,230.52941176470588,2.253194365971116,3.2754054930017347,214227.54325259515,156.0,20.0,136.0,1633613367.518403,0.0,0.5912730693817135
28,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,6065,54,1514,54.0,319.2105263157895,1.8005316947318883,1.3537046674438518,273187.21883656504,193.5,54.0,139.5,5399,20,1480,20.0,299.94444444444446,1.7147030549920883,1.0476006938000682,284239.6080246914,161.25,20.0,141.25,1633613367.518403,0.0,0.5912730693817135
29,1,0,0,1,2,1,1329,2954913076,1363,64,1349,6,38112,443,0,0,0,0,25,3232270803,6,443,443,7428,54,1514,54.0,371.4,1.4522987142647934,0.2022321480410958,311278.93999999994,236.25,54.0,182.25,6728,20,1480,20.0,354.10526315789474,1.3733540960119737,-0.0235824837867872,322080.7257617728,241.5,20.0,221.5,1633613367.518403,0.0,0.5912730693817135
30,1,0,0,1,2,1,102,2954913076,136,64,122,6,38112,443,0,0,0,0,25,3232270803,6,443,443,136,136,136,136.0,136.0,0.0,-3.0,0.0,136.0,136.0,0.0,6830,20,1480,39.0,341.5,1.4518090435887938,0.2028659582295087,308995.65,202.25,20.0,182.25,1633613367.519043,0.0006399154663085,0.591912984848022
31,1,0,0,1,2,1,58,2954913076,92,64,78,6,38112,443,0,0,0,0,25,3232270803,6,443,443,228,92,136,114.0,114.0,0.0,-2.0,484.0,125.0,103.0,22.0,58,58,58,58.0,58.0,0.0,-3.0,0.0,58.0,58.0,0.0,1633613367.522408,0.0033650398254394,0.5952780246734615
32,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,282,54,136,92.0,94.0,0.0893229453689756,-1.5000000000000002,1122.6666666666667,114.0,73.0,41.0,78,20,58,39.0,39.0,0.0,-2.0,361.0,48.5,29.5,19.0,1633613367.547707,0.025299072265625,0.6205770969390865
33,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,336,54,136,73.0,84.0,0.5643632419190073,-1.2870804592060507,1142.0,103.0,54.0,49.0,98,20,58,20.0,32.666666666666664,0.707106781186548,-1.4999999999999991,320.88888888888886,39.0,20.0,19.0,1633613367.548194,0.0004868507385253,0.6210639476776117
34,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,390,54,136,54.0,78.0,0.9093690096137026,-0.7916774428329143,1057.6,92.0,54.0,38.0,118,20,58,20.0,29.5,1.1547005383792517,-0.6666666666666665,270.75,29.5,20.0,9.5,1633613367.548249,5.507469177246094e-05,0.6211190223693842
35,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,444,54,136,54.0,74.0,1.1863183669863362,-0.2008306385991103,961.3333333333334,82.5,54.0,28.5,138,20,58,20.0,27.6,1.5,0.2499999999999991,231.04,20.0,20.0,0.0,1633613367.551434,0.0031850337982177,0.6243040561676019
36,1,0,0,1,1,2,163,3232270803,197,215,183,6,443,38112,0,0,0,0,25,3232270803,6,443,443,641,54,197,54.0,91.57142857142856,1.0805888674173802,-0.2996399930291988,2676.5306122448974,114.0,54.0,60.0,301,20,163,20.0,50.16666666666666,1.5432663486983584,0.675125342222795,2738.805555555556,48.5,20.0,28.5,1633613367.638549,0.0871150493621826,0.7114191055297845
