Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,326,3232270803,360,215,346,6,443,38112,0,0,0,0,25,3232270803,6,443,443,3035,54,1364,54.0,159.73684210526315,3.6402310711907497,12.032799086192473,85873.87811634352,100.0,54.0,46.0,1059,20,326,20.0,58.833333333333336,2.603892288329941,6.287602112070047,5599.138888888889,64.0,20.0,44.0,1633613407.328813,0.0,0.0
1,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,25,3232270803,6,443,443,3089,54,1364,54.0,154.45,3.751468072599304,12.895716077993418,82111.24749999997,100.0,54.0,46.0,1079,20,326,20.0,56.78947368421053,2.6951608255271258,6.831330674890733,5379.639889196676,62.0,20.0,42.0,1633613407.39318,0.0643668174743652,0.0643668174743652
2,1,0,0,1,2,1,302,2954913076,336,64,322,6,38112,443,0,0,0,0,25,3232270803,6,443,443,336,336,336,336.0,336.0,0.0,-3.0,0.0,336.0,336.0,0.0,1381,20,326,20.0,69.05,2.042796756550752,2.8709080636806323,7966.747499999999,66.0,20.0,46.0,1633613407.451289,0.0581090450286865,0.1224758625030517
3,1,0,0,1,2,1,156,2954913076,190,64,176,6,38112,443,0,0,0,0,25,3232270803,6,443,443,526,190,336,263.0,263.0,0.0,-2.0,5329.0,299.5,226.5,73.0,156,156,156,156.0,156.0,0.0,-3.0,0.0,156.0,156.0,0.0,1633613407.455136,0.0038471221923828,0.12632298469543451
4,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,2040,190,1514,336.0,680.0,0.6750663861837861,-1.5000000000000002,351330.6666666667,925.0,263.0,662.0,1636,156,1480,818.0,818.0,0.0,-2.0,438244.0,1149.0,487.0,662.0,1633613407.459053,0.0039169788360595,0.130239963531494
5,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,3554,190,1514,925.0,888.5,-0.0202237146386286,-1.973080645658362,393914.75,1514.0,299.5,1214.5,3116,156,1480,1480.0,1038.6666666666667,-0.7071067811865478,-1.4999999999999991,389550.2222222223,1480.0,818.0,662.0,1633613407.459053,0.0,0.130239963531494
6,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,5068,190,1514,1514.0,1013.6,-0.4254731525317005,-1.7958821291919904,377731.84,1514.0,336.0,1178.0,4596,156,1480,1480.0,1149.0,-1.1547005383792517,-0.6666666666666665,328683.0,1480.0,1149.0,331.0,1633613407.459585,0.0005319118499755,0.1307718753814695
7,1,0,0,1,2,1,1283,2954913076,1317,64,1303,6,38112,443,0,0,0,0,25,3232270803,6,443,443,6385,190,1514,1415.5,1064.1666666666667,-0.6799810427978641,-1.4590753909746463,327561.4722222223,1514.0,581.25,932.75,5879,156,1480,1480.0,1175.8,-1.4226926654598728,0.134464232817884,265819.36000000004,1480.0,1283.0,197.0,1633613407.459585,0.0,0.1307718753814695
8,1,0,0,1,2,1,102,2954913076,136,64,122,6,38112,443,0,0,0,0,25,3232270803,6,443,443,6521,136,1514,1317.0,931.5714285714286,-0.2812619216846858,-1.8546740393193768,386255.9591836735,1514.0,263.0,1251.0,5981,102,1480,1381.5,996.8333333333334,-0.6709243831599616,-1.4997404462090351,381661.4722222222,1480.0,437.75,1042.25,1633613407.462555,0.0029699802398681,0.1337418556213376
9,1,0,0,1,2,1,58,2954913076,92,64,78,6,38112,443,0,0,0,0,25,3232270803,6,443,443,6613,92,1514,826.5,826.625,-0.0045517754381811,-1.934535077404652,415070.234375,1514.0,176.5,1337.5,6039,58,1480,1283.0,862.7142857142857,-0.2660385190018923,-1.890211529688444,435065.91836734704,1480.0,129.0,1351.0,1633613407.466355,0.0038001537322998,0.13754200935363742
10,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6667,54,1514,336.0,740.7777777777778,0.2090225574073094,-1.8865717805271391,427909.2839506173,1514.0,136.0,1378.0,6059,20,1480,719.5,757.375,0.0142051061467541,-1.962045249996436,458357.234375,1480.0,91.0,1389.0,1633613407.480485,0.0141298770904541,0.15167188644409152
11,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6721,54,1514,263.0,672.1,0.3887323721228471,-1.7776200436836984,427568.09,1464.75,103.0,1361.75,6079,20,1480,156.0,675.4444444444445,0.2339635016098379,-1.9085971911952333,461129.5802469136,1480.0,58.0,1422.0,1633613407.484198,0.0037131309509277,0.15538501739501923
12,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6775,54,1514,190.0,615.9090909090909,0.5445221875176154,-1.6310494758052687,420272.44628099166,1415.5,73.0,1342.5,6099,20,1480,129.0,609.9,0.4164802804929733,-1.7903453022406068,453681.2899999999,1430.75,29.5,1401.25,1633613407.488613,0.0044147968292236,0.15979981422424283
13,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6829,54,1514,163.0,569.0833333333334,0.6827218286607786,-1.4601208712137157,409368.9097222223,1366.25,54.0,1312.25,6119,20,1480,102.0,556.2727272727273,0.5738596459535126,-1.6344697810316402,441196.3801652893,1381.5,20.0,1361.5,1633613407.488667,5.412101745605469e-05,0.15985393524169889
14,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6883,54,1514,136.0,529.4615384615385,0.8074876188287798,-1.2726406440894686,396717.6331360949,1317.0,54.0,1263.0,6139,20,1480,80.0,511.5833333333333,0.7131334373423194,-1.4548705987175314,426398.5763888889,1332.25,20.0,1312.25,1633613407.489143,0.0004758834838867,0.16032981872558558
15,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6937,54,1514,114.0,495.5,0.92166454334806,-1.0734421591732632,383374.6785714286,1071.75,54.0,1017.75,6159,20,1480,58.0,473.7692307692308,0.8387298210680488,-1.2593686752467104,410757.5621301776,1283.0,20.0,1263.0,1633613407.489198,5.507469177246094e-05,0.16038489341735804
16,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6991,54,1514,92.0,466.06666666666666,1.0272757392347784,-0.8656597851619354,369944.8622222224,826.5,54.0,772.5,6179,20,1480,39.0,441.3571428571428,0.9536123818667904,-1.052694011790368,395074.8010204081,1001.25,20.0,981.25,1633613407.491576,0.0023779869079589,0.16276288032531694
17,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,7045,54,1514,73.0,440.3125,1.12580793343245,-0.6514086135561445,356772.46484375,581.25,54.0,527.25,6199,20,1480,20.0,413.26666666666665,1.059860633287848,-0.8378727379776199,379783.52888888906,719.5,20.0,699.5,1633613407.495487,0.003911018371582,0.16667389869689894
18,1,0,0,1,1,2,163,3232270803,197,215,183,6,443,38112,0,0,0,0,25,3232270803,6,443,443,7242,54,1514,92.0,426.0,1.213132679611431,-0.4351904265463364,339063.4117647059,336.0,54.0,282.0,6362,20,1480,39.0,397.625,1.1516266394706764,-0.6225994193461641,359716.984375,443.0,20.0,423.0,1633613407.540008,0.0445210933685302,0.21119499206542913
19,1,0,0,1,1,2,58,3232270803,92,215,78,6,443,38112,0,0,0,0,25,3232270803,6,443,443,7334,54,1514,92.0,407.44444444444446,1.3012447572395207,-0.2116393111738665,326079.80246913584,301.25,54.0,247.25,6420,20,1480,58.0,377.6470588235294,1.244969975742496,-0.3976458898057635,344943.0519031142,163.0,20.0,143.0,1633613407.540063,5.4836273193359375e-05,0.2112498283386225
20,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,25,3232270803,6,443,443,7388,54,1514,92.0,388.8421052631579,1.3837743779607836,0.0131686483229174,315146.55401662044,266.5,54.0,212.5,6440,20,1480,39.0,357.77777777777777,1.332631268588893,-0.1699048866829455,332490.9506172839,161.25,20.0,141.25,1633613407.610775,0.0707120895385742,0.2819619178771967
21,1,0,0,1,2,1,20,2954913076,54,64,40,6,38112,443,0,0,0,0,25,3232270803,6,443,443,7442,54,1514,73.0,372.1,1.4625221435440932,0.2405350468587128,304714.89,231.75,54.0,177.75,6460,20,1480,20.0,340.0,1.4159197184543026,0.0608235338781555,320680.3157894737,159.5,20.0,139.5,1633613407.610775,0.0,0.2819619178771967
22,1,0,0,1,2,1,302,2954913076,336,64,322,6,38112,443,0,0,0,0,25,3232270803,6,443,443,336,336,336,336.0,336.0,0.0,-3.0,0.0,336.0,336.0,0.0,6762,20,1480,39.0,338.1,1.4625221435440938,0.2405350468587128,304714.89,197.75,20.0,177.75,1633613407.900968,0.2901930809020996,0.5721549987792963
23,1,0,0,1,2,1,156,2954913076,190,64,176,6,38112,443,0,0,0,0,25,3232270803,6,443,443,526,190,336,263.0,263.0,0.0,-2.0,5329.0,299.5,226.5,73.0,156,156,156,156.0,156.0,0.0,-3.0,0.0,156.0,156.0,0.0,1633613407.900968,0.0,0.5721549987792963
24,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,2040,190,1514,336.0,680.0,0.6750663861837861,-1.5000000000000002,351330.6666666667,925.0,263.0,662.0,1636,156,1480,818.0,818.0,0.0,-2.0,438244.0,1149.0,487.0,662.0,1633613407.904807,0.0038390159606933,0.5759940147399896
25,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,3554,190,1514,925.0,888.5,-0.0202237146386286,-1.973080645658362,393914.75,1514.0,299.5,1214.5,3116,156,1480,1480.0,1038.6666666666667,-0.7071067811865478,-1.4999999999999991,389550.2222222223,1480.0,818.0,662.0,1633613407.906979,0.0021719932556152,0.5781660079956048
26,1,0,0,1,2,1,1480,2954913076,1514,64,1500,6,38112,443,0,0,0,0,25,3232270803,6,443,443,5068,190,1514,1514.0,1013.6,-0.4254731525317005,-1.7958821291919904,377731.84,1514.0,336.0,1178.0,4596,156,1480,1480.0,1149.0,-1.1547005383792517,-0.6666666666666665,328683.0,1480.0,1149.0,331.0,1633613407.906979,0.0,0.5781660079956048
27,1,0,0,1,2,1,1330,2954913076,1364,64,1350,6,38112,443,0,0,0,0,25,3232270803,6,443,443,6432,190,1514,1439.0,1072.0,-0.6982922829966829,-1.455536907390332,331829.3333333333,1514.0,593.0,921.0,5926,156,1480,1480.0,1185.2,-1.454839275578707,0.1841947515665154,268188.16000000003,1480.0,1330.0,150.0,1633613407.906979,0.0,0.5781660079956048
28,1,0,0,1,2,1,102,2954913076,136,64,122,6,38112,443,0,0,0,0,25,3232270803,6,443,443,6568,136,1514,1364.0,938.2857142857144,-0.2938468282589514,-1.862373447814396,391702.2040816326,1514.0,263.0,1251.0,6028,102,1480,1405.0,1004.6666666666666,-0.686895146034863,-1.4967663831850406,386451.5555555555,1480.0,449.5,1030.5,1633613407.908587,0.0016078948974609,0.5797739028930657
29,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6622,54,1514,850.0,827.75,-0.0217656514975971,-1.9372614180142584,428266.4375,1514.0,176.5,1337.5,6048,20,1480,1330.0,864.0,-0.2821438412472827,-1.888758416811235,449966.8571428572,1480.0,129.0,1351.0,1633613407.930301,0.0217139720916748,0.6014878749847405
30,1,0,0,1,1,2,20,3232270803,54,215,40,6,443,38112,0,0,0,0,25,3232270803,6,443,443,6676,54,1514,336.0,741.7777777777778,0.1960299252007464,-1.8978639066353435,439811.0617283951,1514.0,136.0,1378.0,6068,20,1480,743.0,758.5,0.0024037904981272,-1.9704733974832649,471632.75,1480.0,81.5,1398.5,1633613407.930359,5.793571472167969e-05,0.6015458106994622
