Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,1,51,3232270593,85,64,71,17,33275,53,1,0,0,0,1,3232270593,17,33275,53,85,85,85,85.0,85.0,0.0,-3.0,0.0,85.0,85.0,0.0,51,51,51,51.0,51.0,0.0,-3.0,0.0,51.0,51.0,0.0,1634136430.029344,0.0,0.0
1,0,1,0,0,1,2,195,3232270774,229,128,215,17,53,33275,2,0,0,0,2,3232270593,17,33275,33275,314,85,229,157.0,157.0,0.0,-2.0,5184.0,193.0,121.0,72.0,246,51,195,123.0,123.0,0.0,-2.0,5184.0,159.0,87.0,72.0,1634136430.062141,0.0327968597412109,0.0327968597412109
2,0,1,0,0,3,1,77,3232270593,111,64,97,17,59436,53,3,0,0,0,2,3232270593,17,33275,53,425,85,229,111.0,141.66666666666666,0.6168960091093889,-1.4999999999999996,3926.222222222222,170.0,98.0,72.0,323,51,195,77.0,107.66666666666669,0.616896009109388,-1.5000000000000009,3926.222222222223,136.0,64.0,72.0,1634136430.06526,0.0031189918518066,0.0359158515930175
3,0,1,0,0,1,3,159,3232270774,193,128,179,17,53,59436,4,0,0,0,2,3232270593,17,53,53,618,85,229,152.0,154.5,0.065143411728815,-1.7333137984521936,3438.75,202.0,104.5,97.5,482,51,195,118.0,120.5,0.065143411728815,-1.7333137984521936,3438.75,168.0,70.5,97.5,1634136430.097975,0.0327150821685791,0.0686309337615966
4,0,1,0,0,2,1,51,3232270593,85,64,71,17,34573,53,5,0,0,0,2,3232270593,17,53,53,703,85,229,111.0,140.6,0.4445807021816695,-1.5747922897967266,3523.84,193.0,85.0,108.0,533,51,195,77.0,106.6,0.4445807021816695,-1.5747922897967266,3523.84,159.0,51.0,108.0,1634136430.101121,0.0031459331512451,0.0717768669128417
5,0,1,0,0,1,2,161,3232270774,195,128,181,17,53,34573,6,0,0,0,2,3232270593,17,53,53,898,85,229,152.0,149.66666666666666,0.0646998129859834,-1.7421903401567365,3347.555555555555,194.5,91.5,103.0,694,51,195,118.0,115.66666666666669,0.0646998129859828,-1.7421903401567365,3347.555555555555,160.5,57.5,103.0,1634136430.133669,0.0325479507446289,0.10432481765747059
6,1,0,0,1,2,1,40,309772420,74,64,60,6,39304,443,6,0,0,0,3,3232270593,17,53,53,972,74,229,111.0,138.85714285714286,0.3088841789946706,-1.658823582943431,3570.4081632653065,194.0,85.0,109.0,734,40,195,77.0,104.85714285714286,0.3088841789946706,-1.658823582943431,3570.4081632653065,160.0,51.0,109.0,1634136430.153268,0.0195991992950439,0.1239240169525145
7,1,0,0,1,1,2,40,3232270774,74,231,60,6,443,39304,6,0,0,0,3,3232270774,17,53,53,1046,74,229,98.0,130.75,0.5185232348515648,-1.492801093766052,3584.1875,193.5,82.25,111.25,774,40,195,64.0,96.75,0.5185232348515648,-1.492801093766052,3584.1875,159.5,48.25,111.25,1634136430.197392,0.044123888015747,0.1680479049682615
8,1,0,0,1,2,1,32,309772420,66,64,52,6,39304,443,6,0,0,0,3,3232270774,17,53,53,1112,66,229,85.0,123.55555555555556,0.6796736074713451,-1.2818141938239274,3600.024691358025,193.0,74.0,119.0,806,32,195,51.0,89.55555555555556,0.6796736074713451,-1.2818141938239274,3600.024691358025,159.0,40.0,119.0,1634136430.200561,0.0031690597534179,0.1712169647216794
9,1,0,0,1,2,1,257,309772420,291,64,277,6,39304,443,6,0,0,0,3,3232270774,17,39304,53,1403,66,291,98.0,140.3,0.7025495599050827,-0.9441375456946606,5763.41,194.5,76.75,117.75,1063,32,257,64.0,106.3,0.702549559905083,-0.9441375456946606,5763.41,160.5,42.75,117.75,1634136430.203739,0.0031778812408447,0.1743948459625241
10,1,0,0,1,1,2,32,3232270774,66,232,52,6,443,39304,6,0,0,0,3,3232270774,17,39304,53,1469,66,291,85.0,133.54545454545453,0.8325735621255481,-0.7509980536829577,5695.702479338843,194.0,74.0,120.0,1095,32,257,51.0,99.54545454545456,0.8325735621255478,-0.7509980536829581,5695.702479338842,160.0,40.0,120.0,1634136430.247446,0.0437071323394775,0.21810197830200162
11,1,0,0,1,1,2,1480,3232270774,1514,232,1500,6,443,39304,6,0,0,0,3,3232270774,17,39304,39304,2983,66,1514,98.0,248.58333333333331,2.834713399102557,6.418760053406537,150791.90972222225,203.5,74.0,129.5,2575,32,1480,64.0,214.58333333333331,2.834713399102557,6.418760053406537,150791.90972222225,169.5,40.0,129.5,1634136430.248547,0.001101016998291,0.2192029953002926
12,1,0,0,1,1,2,1480,3232270774,1514,232,1500,6,443,39304,6,0,0,0,3,3232270774,6,443,39304,4497,66,1514,111.0,345.9230769230769,1.8424543213294788,1.5224098065885432,252892.8402366864,229.0,74.0,155.0,4055,32,1480,77.0,311.9230769230769,1.8424543213294788,1.5224098065885432,252892.8402366864,195.0,40.0,155.0,1634136430.248575,2.789497375488281e-05,0.2192308902740475
13,1,0,0,1,1,2,1480,3232270774,1514,232,1500,6,443,39304,6,0,0,0,3,3232270774,6,443,39304,6011,66,1514,152.0,429.3571428571428,1.344097365870952,-0.1213206568389604,325325.2295918367,275.5,76.75,198.75,5535,32,1480,118.0,395.3571428571428,1.344097365870952,-0.1213206568389604,325325.2295918367,241.5,42.75,198.75,1634136430.248849,0.0002739429473876,0.2195048332214351
14,1,0,0,1,1,2,1302,3232270774,1336,232,1322,6,443,39304,6,0,0,0,3,3232270774,6,443,39304,7347,66,1514,193.0,489.8,1.0311739050900806,-0.8634612643067752,354783.6266666668,813.5,79.5,734.0,6837,32,1480,159.0,455.8,1.0311739050900806,-0.8634612643067752,354783.6266666668,779.5,45.5,734.0,1634136430.248887,3.814697265625e-05,0.21954298019409135
15,1,0,0,1,2,1,32,309772420,66,64,52,6,39304,443,6,0,0,0,3,3232270774,6,443,39304,7413,66,1514,152.0,463.3125,1.1284523882671729,-0.6497166345828718,343133.46484375,552.25,74.0,478.25,6869,32,1480,118.0,429.3125,1.1284523882671729,-0.6497166345828718,343133.46484375,518.25,40.0,478.25,1634136430.249664,0.0007770061492919,0.22031998634338326
