Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,1,51,3232270593,85,64,71,17,55665,53,1,0,0,0,9,3232270774,6,443,443,1153,42,90,60.0,67.82352941176471,0.1775241129885524,-1.6808397557572434,344.0276816608997,90.0,54.0,36.0,51,51,51,51.0,51.0,0.0,-3.0,0.0,51.0,51.0,0.0,1634135503.784101,0.0,0.0
1,0,1,0,0,1,3,195,3232270774,229,128,215,17,53,55665,2,0,0,0,9,3232270774,6,443,443,1382,42,229,60.0,76.77777777777777,2.7054657955837307,7.5646588962070815,1687.9506172839508,90.0,54.0,36.0,246,51,195,123.0,123.0,0.0,-2.0,5184.0,159.0,87.0,72.0,1634135503.817705,0.0336039066314697,0.0336039066314697
2,0,1,0,0,2,1,77,3232270593,111,64,97,17,34862,53,3,0,0,0,9,3232270774,6,443,443,1493,42,229,60.0,78.57894736842105,2.532460394713291,6.946033267855732,1657.5069252077562,90.0,54.0,36.0,323,51,195,77.0,107.66666666666669,0.616896009109388,-1.5000000000000009,3926.222222222223,136.0,64.0,72.0,1634135503.821224,0.003519058227539,0.0371229648590087
3,0,1,0,0,1,2,159,3232270774,193,128,179,17,53,34862,4,0,0,0,9,3232270774,6,443,443,1686,42,229,72.5,84.3,1.936627616261705,3.121539823193753,2196.51,90.0,54.0,36.0,482,51,195,118.0,120.5,0.065143411728815,-1.7333137984521936,3438.75,168.0,70.5,97.5,1634135503.854386,0.0331621170043945,0.0702850818634032
4,0,1,0,0,2,1,51,3232270593,85,64,71,17,43609,53,5,0,0,0,9,3232270774,6,443,443,85,85,85,85.0,85.0,0.0,-3.0,0.0,85.0,85.0,0.0,533,51,195,77.0,106.6,0.4445807021816695,-1.5747922897967266,3523.84,159.0,51.0,108.0,1634135503.857311,0.0029249191284179,0.0732100009918211
5,0,1,0,0,1,2,161,3232270774,195,128,181,17,53,43609,6,0,0,0,9,3232270774,6,443,443,280,85,195,140.0,140.0,0.0,-2.0,3025.0,167.5,112.5,55.0,694,51,195,118.0,115.66666666666669,0.0646998129859828,-1.7421903401567365,3347.555555555555,160.5,57.5,103.0,1634135503.890446,0.0331349372863769,0.10634493827819799
6,1,0,0,1,3,1,40,51904109,74,64,60,6,49508,443,6,0,0,0,10,3232270774,6,443,443,354,74,195,85.0,118.0,0.6856675374889222,-1.5,2984.6666666666665,140.0,79.5,60.5,734,40,195,77.0,104.85714285714286,0.3088841789946706,-1.658823582943431,3570.4081632653065,160.0,51.0,109.0,1634135503.901101,0.0106551647186279,0.1170001029968259
7,1,0,0,1,1,3,40,3232270774,74,231,60,6,443,49508,6,0,0,0,10,3232270774,6,443,443,428,74,195,79.5,107.0,1.1284825102685416,-0.6884802595997837,2601.5,112.5,74.0,38.5,774,40,195,64.0,96.75,0.5185232348515648,-1.492801093766052,3584.1875,159.5,48.25,111.25,1634135503.944578,0.0434768199920654,0.1604769229888913
8,1,0,0,1,3,1,32,51904109,66,64,52,6,49508,443,6,0,0,0,10,3232270774,6,443,443,494,66,195,74.0,98.8,1.4427109456220275,0.1718598684254111,2350.16,85.0,74.0,11.0,806,32,195,51.0,89.55555555555556,0.6796736074713451,-1.2818141938239274,3600.024691358025,159.0,40.0,119.0,1634135503.948919,0.0043411254882812,0.1648180484771725
9,1,0,0,1,3,1,257,51904109,291,64,277,6,49508,443,6,0,0,0,10,3232270774,6,443,443,785,66,291,79.5,130.83333333333334,1.015569193366871,-0.6188697589165275,7089.13888888889,167.5,74.0,93.5,1063,32,257,64.0,106.3,0.702549559905083,-0.9441375456946606,5763.41,160.5,42.75,117.75,1634135503.952086,0.003166913986206,0.1679849624633785
10,1,0,0,1,1,3,32,3232270774,66,232,52,6,443,49508,6,0,0,0,10,3232270774,6,443,443,851,66,291,74.0,121.57142857142856,1.2419721157672914,-0.0923453029808252,6591.102040816327,140.0,70.0,70.0,1095,32,257,51.0,99.54545454545456,0.8325735621255478,-0.7509980536829581,5695.702479338842,160.0,40.0,120.0,1634135503.995062,0.0429761409759521,0.21096110343933058
11,1,0,0,1,1,3,1480,3232270774,1514,232,1500,6,443,49508,6,0,0,0,10,3232270774,6,443,443,2365,66,1514,79.5,295.625,2.154422597785444,2.837778849918127,217829.734375,219.0,72.0,147.0,2575,32,1480,64.0,214.58333333333331,2.834713399102557,6.418760053406537,150791.90972222225,169.5,40.0,129.5,1634135503.996154,0.0010919570922851,0.21205306053161568
12,1,0,0,1,1,3,1480,3232270774,1514,232,1500,6,443,49508,6,0,0,0,10,3232270774,6,443,443,3879,66,1514,85.0,431.0,1.2848448047944958,-0.2768365943842465,340237.5555555556,291.0,74.0,217.0,4055,32,1480,77.0,311.9230769230769,1.8424543213294788,1.5224098065885432,252892.8402366864,195.0,40.0,155.0,1634135503.996217,6.29425048828125e-05,0.2121160030364985
13,1,0,0,1,1,3,1480,3232270774,1514,232,1500,6,443,49508,6,0,0,0,10,3232270774,6,443,443,5393,66,1514,140.0,539.3,0.8381212062009317,-1.2529308708731797,411773.81,1208.25,74.0,1134.25,5535,32,1480,118.0,395.3571428571428,1.344097365870952,-0.1213206568389604,325325.2295918367,241.5,42.75,198.75,1634135503.996475,0.0002579689025878,0.2123739719390863
14,1,0,0,1,1,3,1302,3232270774,1336,232,1322,6,443,49508,6,0,0,0,10,3232270774,6,443,443,6729,66,1514,195.0,611.7272727272727,0.5529766037495016,-1.6396480676259069,426796.9256198346,1425.0,74.0,1351.0,6837,32,1480,159.0,455.8,1.0311739050900806,-0.8634612643067752,354783.6266666668,779.5,45.5,734.0,1634135503.996536,6.103515625e-05,0.2124350070953363
15,1,0,0,1,3,1,32,51904109,66,64,52,6,49508,443,6,0,0,0,10,3232270774,6,443,443,6795,66,1514,140.0,566.25,0.6921646453888772,-1.4657840163746731,413980.5208333333,1380.5,72.0,1308.5,6869,32,1480,118.0,429.3125,1.1284523882671729,-0.6497166345828718,343133.46484375,518.25,40.0,478.25,1634135503.997308,0.0007719993591308,0.2132070064544671
16,1,0,0,1,3,1,32,51904109,66,64,52,6,49508,443,6,0,0,0,10,3232270774,6,443,443,6861,66,1514,85.0,527.7692307692307,0.8176469321703377,-1.2754451570502183,399905.10059171583,1336.0,66.0,1270.0,6901,32,1480,77.0,405.9411764705882,1.220009504160812,-0.4312092183757219,331688.6435986159,257.0,40.0,217.0,1634135503.997308,0.0,0.2132070064544671
17,1,0,0,1,3,1,32,51904109,66,64,52,6,49508,443,6,0,0,0,10,3232270774,6,443,443,6927,66,1514,79.5,494.7857142857143,0.932384433499739,-1.0735206041123524,385483.31122448994,1074.75,66.0,1008.75,6933,32,1480,64.0,385.1666666666667,1.306650281476245,-0.2089137269487335,320598.361111111,241.5,34.0,207.5,1634135503.997308,0.0,0.2132070064544671
18,1,0,0,1,3,1,32,51904109,66,64,52,6,49508,443,6,0,0,0,10,3232270774,6,443,443,6993,66,1514,74.0,466.2,1.0384602055159209,-0.8631454330570802,371224.4266666666,813.5,66.0,747.5,6965,32,1480,51.0,366.578947368421,1.3890182779936888,0.0164404163509508,309943.82271468145,226.0,32.0,194.0,1634135503.997308,0.0,0.2132070064544671
19,1,0,0,1,3,1,158,51904109,192,64,178,6,49508,443,6,0,0,0,10,3232270774,6,443,443,7185,66,1514,79.5,449.0625,1.1329387365318302,-0.6486507389480827,352428.30859375,552.25,66.0,486.25,7123,32,1480,64.0,356.15,1.46488421381927,0.2421950481999193,296513.1275,210.5,32.0,178.5,1634135504.182953,0.1856448650360107,0.3988518714904778
