Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,24,3232270774,58,46,44,17,26807,22428,0,0,0,0,13,3232270774,6,443,443,2252,58,930,66.0,160.85714285714286,2.826191558717959,6.77142017853007,50694.55102040813,112.0,66.0,46.0,1840,24,896,32.0,115.0,3.07966940495701,8.360087248500117,45341.875,68.0,32.0,36.0,1634135922.897771,0.0,0.0
1,0,1,0,0,2,2,237,2211110196,271,64,257,17,22428,26807,0,0,0,0,14,3232270774,6,443,443,2523,58,930,66.0,168.2,2.7646922385155333,6.770301203092712,48069.75999999998,154.5,66.0,88.5,2077,24,896,32.0,122.17647058823528,2.993181183837357,8.204931205142866,43498.73356401384,83.0,32.0,51.0,1634135922.91156,0.0137891769409179,0.0137891769409179
2,0,1,0,0,2,2,176,3232270774,210,46,196,17,26807,22428,0,0,0,0,14,3232270774,6,443,443,2733,58,930,66.0,170.8125,2.8092554315259504,7.2355199097787235,45167.77734375,196.5,66.0,130.5,2253,24,896,32.0,125.16666666666669,3.019797990357776,8.597837548938799,41234.1388888889,139.25,32.0,107.25,1634135922.943027,0.0314669609069824,0.0452561378479003
3,0,1,0,0,2,2,18,2211110196,52,64,38,17,22428,26807,0,0,0,0,14,3232270774,6,443,443,2785,52,930,66.0,163.8235294117647,2.90751192109136,7.876270050208262,43292.38062283737,192.0,66.0,126.0,2271,18,896,32.0,119.52631578947368,3.11236162863652,9.24328753023501,39636.5650969529,120.5,32.0,88.5,1634135922.959361,0.016334056854248,0.0615901947021483
4,0,1,0,0,2,2,1040,2211110196,1074,64,1060,17,22428,26807,0,0,0,0,14,3232270774,6,443,443,3859,52,1074,66.0,214.38888888888889,2.1918491202079293,3.354666116354534,84353.79320987653,205.5,66.0,139.5,3311,18,1040,32.0,165.55,2.367431470649832,4.200554990953415,77900.1475,162.5,32.0,130.5,1634135922.959361,0.0,0.0615901947021483
5,0,1,0,0,2,2,1040,2211110196,1074,64,1060,17,22428,26807,0,0,0,0,14,3232270774,6,443,443,4933,52,1074,66.0,259.63157894736844,1.71354902568499,1.237296599627987,116758.33795013852,240.5,66.0,174.5,1040,1040,1040,1040.0,1040.0,0.0,-3.0,0.0,1040.0,1040.0,0.0,1634135922.959361,0.0,0.0615901947021483
6,0,1,0,0,2,2,1040,2211110196,1074,64,1060,17,22428,26807,0,0,0,0,14,3232270774,6,443,443,6007,52,1074,81.5,300.35,1.385806865483869,0.1215084116533216,142422.22749999998,285.75,66.0,219.75,2080,1040,1040,1040.0,1040.0,0.0,-3.0,0.0,1040.0,1040.0,0.0,1634135922.959361,0.0,0.0615901947021483
7,0,1,0,0,2,2,1040,2211110196,1074,64,1060,17,22428,26807,0,0,0,0,14,3232270774,6,443,443,1074,1074,1074,1074.0,1074.0,0.0,-3.0,0.0,1074.0,1074.0,0.0,3120,1040,1040,1040.0,1040.0,0.0,-3.0,0.0,1040.0,1040.0,0.0,1634135922.959361,0.0,0.0615901947021483
8,0,1,0,0,2,2,428,2211110196,462,64,448,17,22428,26807,0,0,0,0,14,3232270774,6,443,443,1536,462,1074,768.0,768.0,0.0,-2.0,93636.0,921.0,615.0,306.0,3548,428,1040,1040.0,887.0,-1.1547005383792517,-0.6666666666666665,70227.0,1040.0,887.0,153.0,1634135922.959834,0.0004730224609375,0.0620632171630858
9,0,1,0,0,2,1,51,3232270593,85,64,71,17,37077,53,1,0,0,0,14,3232270774,6,443,443,1621,85,1074,462.0,540.3333333333334,0.2812146065573334,-1.5000000000000002,166088.22222222222,768.0,273.5,494.5,3599,51,1040,1040.0,719.8,-0.6549491812695104,-1.3075158194089658,168004.96000000002,1040.0,428.0,612.0,1634135922.975934,0.0160999298095703,0.0781631469726561
10,0,1,0,0,2,2,18,3232270774,52,46,38,17,26807,22428,1,0,0,0,14,3232270774,6,443,443,1673,52,1074,273.5,418.25,0.7032697226865761,-1.122196007471596,169279.1875,615.0,76.75,538.25,3617,18,1040,734.0,602.8333333333334,-0.2150650708336561,-1.7712391423325151,208410.13888888888,1040.0,145.25,894.75,1634135922.98304,0.007106065750122,0.0852692127227781
11,0,1,0,0,1,2,195,3232270774,229,128,215,17,53,37077,2,0,0,0,14,3232270774,6,443,443,1902,52,1074,229.0,380.4,1.0165798202163974,-0.4779270568994169,141153.84,462.0,85.0,377.0,3812,18,1040,428.0,544.5714285714286,0.0873143895524414,-1.8020842724026769,199003.95918367343,1040.0,123.0,917.0,1634135923.003937,0.0208969116210937,0.10616612434387179
