Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,233,3232270836,267,222,253,6,8886,40399,0,0,0,0,12,3232270809,17,5000,5000,1321,54,267,214.0,188.7142857142857,-0.9420333367168576,-0.4309204948710294,4665.061224489797,224.5,168.5,56.0,2799,20,233,180.0,147.31578947368422,-0.7586935661660769,-0.9440308782922208,5682.847645429363,190.5,89.0,101.5,1633520105.136241,0.0,0.0
1,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,12,3232270809,17,5000,5000,1375,54,267,214.0,171.875,-0.5438142210102601,-1.3052493067553603,6066.859375,219.25,105.75,113.5,2819,20,233,180.0,140.95,-0.6066066920938862,-1.233235924198557,6168.647499999998,185.25,71.75,113.5,1633520105.256496,0.1202549934387207,0.1202549934387207
2,1,0,0,0,2,2,201,597822746,235,255,221,6,40399,8886,0,0,0,0,12,3232270809,17,5000,5000,1610,54,267,214.0,178.88888888888889,-0.732870728058829,-1.072030469026442,5786.320987654321,235.0,123.0,112.0,201,201,201,201.0,201.0,0.0,-3.0,0.0,201.0,201.0,0.0,1633520105.352201,0.0957050323486328,0.21596002578735352
3,1,0,0,0,2,2,89,3232270836,123,222,109,6,8886,40399,0,0,0,0,12,3232270809,17,5000,5000,1733,54,267,214.0,173.3,-0.5301197185066696,-1.233381057912481,5488.81,229.75,123.0,106.75,290,89,201,145.0,145.0,0.0,-2.0,3136.0,173.0,117.0,56.0,1633520105.440434,0.0882329940795898,0.3041930198669433
4,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,12,3232270809,17,5000,5000,1787,54,267,214.0,162.45454545454547,-0.3065656741491749,-1.5272485238380578,6166.066115702479,224.5,88.5,136.0,310,20,201,89.0,103.33333333333331,0.2811653134914668,-1.4999999999999991,5562.888888888888,145.0,54.5,90.5,1633520105.502814,0.0623800754547119,0.3665730953216552
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,12,3232270809,17,5000,5000,2001,54,267,214.0,166.75,-0.4468047828851388,-1.40424561480561,5855.1875,219.25,105.75,113.5,490,20,201,134.5,122.5,-0.2875960122599141,-1.5571661850015173,5274.25,185.25,71.75,113.5,1633520107.655885,2.15307092666626,2.5196440219879155
6,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,12,3232270809,17,5000,5000,2215,54,267,214.0,170.3846153846154,-0.5720632055443327,-1.2587418510664614,5563.313609467456,214.0,123.0,91.0,670,20,201,180.0,134.0,-0.6584443925691895,-1.2073006430619342,4748.4,180.0,89.0,91.0,1633520112.658067,5.0021820068359375,7.5218260288238525
7,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,12,3232270809,17,5000,5000,2429,54,267,214.0,173.5,-0.685713983639221,-1.0974641795134623,5292.107142857143,214.0,123.0,91.0,850,20,201,180.0,141.66666666666666,-0.9436570399846508,-0.733936201681511,4250.88888888889,180.0,111.75,68.25,1633520117.659309,5.00124192237854,12.523067951202393
8,1,0,0,0,2,2,89,597822746,123,255,109,6,40399,8886,0,0,0,0,12,3232270809,17,5000,5000,2552,54,267,214.0,170.13333333333333,-0.5589277279442662,-1.1885723505405206,5097.982222222224,214.0,123.0,91.0,939,20,201,180.0,134.14285714285714,-0.6154044964272374,-1.0975417134874852,3983.265306122448,180.0,89.0,91.0,1633520118.680683,1.021373987197876,13.544441938400269
9,1,0,0,0,2,2,89,3232270836,123,222,109,6,8886,40399,0,0,0,0,12,3232270809,17,5000,5000,2675,54,267,214.0,167.1875,-0.4472755663241858,-1.2419403455616198,4909.52734375,214.0,123.0,91.0,1028,20,201,134.5,128.5,-0.3716133147515329,-1.2308669046451943,3708.25,180.0,89.0,91.0,1633520118.767789,0.0871059894561767,13.631547927856445
10,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,12,3232270809,17,5000,5000,2729,54,267,214.0,160.52941176470588,-0.317000149932219,-1.421888478674975,5330.013840830449,214.0,123.0,91.0,1048,20,201,89.0,116.44444444444444,-0.1796737866909311,-1.464241607247657,4458.913580246914,180.0,89.0,91.0,1633520119.004579,0.2367901802062988,13.868338108062744
