Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,184,4026531834,218,1,204,17,37020,37000,0,0,0,0,5,3232270703,6,41668,50920,1338,66,218,105.0,121.63636363636364,0.7799874732523807,-1.086902442402446,3758.776859504133,161.5,66.0,95.5,964,32,184,71.0,87.63636363636364,0.7799874732523807,-1.086902442402446,3758.776859504133,127.5,32.0,95.5,1634046913.4844,0.0,0.0
1,0,1,0,0,2,2,184,4294967295,218,64,204,17,34596,37010,0,0,0,0,5,3232270703,6,41668,50920,1556,66,218,105.0,129.66666666666666,0.5179741368392976,-1.5000000000000002,4154.88888888889,218.0,66.0,152.0,1148,32,184,71.0,95.66666666666669,0.517974136839297,-1.5000000000000004,4154.88888888889,184.0,32.0,152.0,1634046916.523221,3.03882098197937,3.03882098197937
2,0,1,0,0,2,2,184,4026531834,218,1,204,17,37020,37000,0,0,0,0,5,3232270703,6,41668,50920,1774,66,218,105.0,136.46153846153845,0.3138981739952253,-1.7082533723132065,4389.325443786983,218.0,66.0,152.0,1332,32,184,71.0,102.46153846153848,0.3138981739952245,-1.7082533723132074,4389.325443786983,184.0,32.0,152.0,1634046919.556999,3.033777952194214,6.072598934173584
3,0,1,0,0,2,2,184,4294967295,218,64,204,17,34596,37010,0,0,0,0,5,3232270703,6,41668,50920,1992,66,218,105.0,142.28571428571428,0.1461563071435832,-1.808275488628828,4516.775510204081,218.0,75.75,142.25,1516,32,184,71.0,108.28571428571428,0.1461563071435825,-1.8082754886288288,4516.775510204082,184.0,41.75,142.25,1634046922.59764,3.0406410694122314,9.113240003585815
4,0,1,0,0,2,2,184,4026531834,218,1,204,17,37020,37000,0,0,0,0,5,3232270703,6,41668,50920,2210,66,218,105.0,147.33333333333334,0.0031643181852311,-1.8442150665241608,4572.355555555554,218.0,85.5,132.5,1700,32,184,71.0,113.33333333333331,0.0031643181852317,-1.844215066524162,4572.355555555556,184.0,51.5,132.5,1634046925.637447,3.039807081222534,12.15304708480835
5,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,41668,50920,0,0,0,0,5,3232270703,6,41668,50920,3674,66,1464,161.5,229.625,3.366777378268736,9.968120118714513,105865.359375,218.0,95.25,122.75,3130,32,1430,127.5,195.625,3.366777378268736,9.968120118714513,105865.359375,184.0,61.25,122.75,1634046926.306033,0.6685857772827148,12.821632862091064
6,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,41668,50920,0,0,0,0,5,3232270703,6,41668,50920,5138,66,1464,218.0,302.2352941176471,2.27208556521631,3.363395772618581,183994.06228373703,218.0,105.0,113.0,4560,32,1430,184.0,268.2352941176471,2.27208556521631,3.363395772618581,183994.06228373703,184.0,71.0,113.0,1634046926.310594,0.0045611858367919,12.826194047927856
7,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,41668,50920,0,0,0,0,5,805182303,6,41668,50920,6602,66,1464,218.0,366.77777777777777,1.7264862366087597,1.0888887464747397,244589.61728395065,218.0,105.0,113.0,5990,32,1430,184.0,332.77777777777777,1.7264862366087597,1.0888887464747397,244589.61728395065,184.0,71.0,113.0,1634046926.312716,0.0021219253540039,12.82831597328186
8,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,41668,50920,0,0,0,0,5,805182303,6,41668,50920,8066,66,1464,218.0,424.5263157894737,1.3747750555259033,-0.0377560078595267,291744.5650969529,218.0,105.0,113.0,7420,32,1430,184.0,390.5263157894737,1.3747750555259033,-0.0377560078595267,291744.5650969529,184.0,71.0,113.0,1634046926.315158,0.0024418830871582,12.830757856369019
9,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,41668,50920,0,0,0,0,5,805182303,6,41668,50920,9530,66,1464,218.0,476.5,1.118681954622486,-0.6943106960779026,328481.35,529.5,105.0,424.5,8850,32,1430,184.0,442.5,1.118681954622486,-0.6943106960779026,328481.35,495.5,71.0,424.5,1634046926.317307,0.0021491050720214,12.83290696144104
