Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,184,4026531834,218,1,204,17,37020,37000,0,0,0,0,5,805182303,6,41668,50920,2634,66,218,161.5,146.33333333333334,-0.0664714705804332,-1.9292532334897872,5267.555555555556,218.0,66.0,152.0,2022,32,184,127.5,112.33333333333331,-0.0664714705804325,-1.9292532334897872,5267.555555555556,184.0,32.0,152.0,1634047399.4537,0.0,0.0
1,0,1,0,0,2,2,184,4294967295,218,64,204,17,34596,37010,0,0,0,0,5,805182303,6,41668,50920,2852,66,218,218.0,150.10526315789474,-0.1687408804297158,-1.9081024850738213,5246.40997229917,218.0,66.0,152.0,2206,32,184,184.0,116.10526315789474,-0.1687408804297158,-1.9081024850738213,5246.40997229917,184.0,32.0,152.0,1634047402.52235,3.068650007247925,3.068650007247925
2,0,1,0,0,3,2,28,805182880,62,64,48,17,55474,19302,0,0,0,0,5,805182303,6,41668,50920,2914,62,218,161.5,145.7,-0.0620124186637581,-1.935075552813469,5352.810000000002,218.0,66.0,152.0,2234,28,184,127.5,111.7,-0.0620124186637587,-1.9350755528134675,5352.81,184.0,32.0,152.0,1634047404.048752,1.5264019966125488,4.595052003860474
3,0,1,0,0,2,3,76,3232270703,110,48,96,17,19302,55474,0,0,0,0,5,805182303,6,41668,50920,110,110,110,110.0,110.0,0.0,-3.0,0.0,110.0,110.0,0.0,76,76,76,76.0,76.0,0.0,-3.0,0.0,76.0,76.0,0.0,1634047404.136783,0.0880308151245117,4.683082818984985
4,0,1,0,0,3,2,172,805182880,206,64,192,17,58948,5000,0,0,0,0,5,805182303,6,41668,50920,316,110,206,158.0,158.0,0.0,-2.0,2304.0,182.0,134.0,48.0,248,76,172,124.0,124.0,0.0,-2.0,2304.0,148.0,100.0,48.0,1634047404.259077,0.1222941875457763,4.805377006530762
5,0,1,0,0,2,3,112,3232270703,146,48,132,17,5000,58948,0,0,0,0,5,3232270703,6,41668,50920,462,110,206,146.0,154.0,0.2947996201448288,-1.5,1568.0,176.0,128.0,48.0,360,76,172,112.0,120.0,0.2947996201448288,-1.5,1568.0,142.0,94.0,48.0,1634047404.347681,0.0886039733886718,4.893980979919434
6,0,0,0,0,0,0,140,805182880,174,64,160,1,0,0,0,0,0,0,5,3232270703,6,41668,50920,636,110,206,160.0,159.0,-0.071462120853932,-1.2869550882076113,1251.0,182.0,137.0,45.0,500,76,172,126.0,125.0,-0.071462120853932,-1.2869550882076113,1251.0,148.0,103.0,45.0,1634047404.351212,0.0035309791564941,4.897511959075928
7,0,1,0,0,2,2,184,4026531834,218,1,204,17,37020,37000,0,0,0,0,5,3232270703,6,41668,50920,854,110,218,174.0,170.8,-0.2966952427253914,-1.3069413789448163,1557.7599999999998,206.0,146.0,60.0,684,76,184,140.0,136.8,-0.2966952427253914,-1.3069413789448163,1557.7599999999998,172.0,112.0,60.0,1634047405.577094,1.225882053375244,6.123394012451172
8,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,41668,50920,0,0,0,0,5,805182303,6,41668,50920,2318,110,1464,190.0,386.3333333333333,1.766391646030331,1.1603797570448942,233571.22222222225,215.0,153.0,62.0,2114,76,1430,156.0,352.3333333333333,1.766391646030331,1.1603797570448942,233571.22222222225,181.0,119.0,62.0,1634047407.345805,1.7687108516693115,7.892104864120483
9,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,41668,50920,0,0,0,0,5,805182303,6,41668,50920,3782,110,1464,206.0,540.2857142857143,0.9378422644799128,-1.104365379512936,342411.91836734704,841.0,160.0,681.0,3544,76,1430,172.0,506.2857142857143,0.9378422644799138,-1.1043653795129342,342411.9183673469,807.0,126.0,681.0,1634047407.345805,0.0,7.892104864120483
