Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,3,2,78,3232270809,112,48,98,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,1929,66,218,105.0,120.5625,0.7977399649481741,-0.9579153623406876,3559.49609375,151.25,66.0,85.25,1385,32,184,71.0,86.5625,0.7977399649481741,-0.9579153623406876,3559.49609375,117.25,32.0,85.25,1633539900.741864,0.0,0.0
1,1,0,0,0,3,2,319,3232270809,353,48,339,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,2282,66,353,105.0,134.23529411764707,1.2584753273265763,0.8335056255482267,6341.23875432526,218.0,66.0,152.0,1704,32,319,71.0,100.23529411764706,1.258475327326577,0.833505625548228,6341.238754325259,184.0,32.0,152.0,1633539900.841412,0.0995481014251709,0.0995481014251709
2,1,0,0,0,3,2,181,3232270809,215,48,201,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,2497,66,353,105.0,138.72222222222223,1.080135258061621,0.428267379288537,6331.20061728395,217.25,66.0,151.25,1885,32,319,71.0,104.72222222222224,1.080135258061621,0.428267379288537,6331.20061728395,183.25,32.0,151.25,1633539900.842909,0.0014970302581787,0.1010451316833496
3,1,0,0,0,2,3,32,805182303,66,64,52,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,2563,66,353,105.0,134.89473684210526,1.1447452656758996,0.5653402316562488,6261.673130193907,216.5,66.0,150.5,1917,32,319,71.0,100.89473684210526,1.1447452656758996,0.5653402316562488,6261.673130193907,182.5,32.0,150.5,1633539900.979419,0.136509895324707,0.23755502700805659
4,1,0,0,0,2,3,32,805182303,66,64,52,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,2629,66,353,105.0,131.45,1.2086428197064876,0.7138616597212462,6174.047500000001,215.75,66.0,149.75,1949,32,319,71.0,97.45,1.2086428197064876,0.7138616597212475,6174.0475,181.75,32.0,149.75,1633539900.979419,0.0,0.23755502700805659
5,1,0,0,0,2,3,32,805182303,66,64,52,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1633539900.979419,0.0,0.23755502700805659
6,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,1530,66,1464,765.0,765.0,0.0,-2.0,488601.0,1114.5,415.5,699.0,1462,32,1430,731.0,731.0,0.0,-2.0,488601.0,1080.5,381.5,699.0,1633539901.029822,0.0504031181335449,0.2879581451416015
7,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,2994,66,1464,1464.0,998.0,-0.7071067811865476,-1.5,434312.0,1464.0,765.0,699.0,2892,32,1430,1430.0,964.0,-0.7071067811865476,-1.5,434312.0,1430.0,731.0,699.0,1633539901.031761,0.0019388198852539,0.2898969650268554
8,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,4458,66,1464,1464.0,1114.5,-1.1547005383792517,-0.6666666666666665,366450.75,1464.0,1114.5,349.5,4322,32,1430,1430.0,1080.5,-1.1547005383792517,-0.6666666666666665,366450.75,1430.0,1080.5,349.5,1633539901.033009,0.0012481212615966,0.29114508628845204
9,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,5922,66,1464,1464.0,1184.4,-1.5000000000000004,0.2500000000000022,312704.64,1464.0,1464.0,0.0,5752,32,1430,1430.0,1150.4,-1.5000000000000004,0.2500000000000022,312704.64,1430.0,1430.0,0.0,1633539901.03416,0.0011508464813232,0.2922959327697752
10,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,7386,66,1464,1464.0,1231.0,-1.788854381999832,1.2000000000000002,271445.0,1464.0,1464.0,0.0,7182,32,1430,1430.0,1197.0,-1.788854381999832,1.2000000000000002,271445.0,1430.0,1430.0,0.0,1633539901.035042,0.0008821487426757,0.29317808151245095
11,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,8850,66,1464,1464.0,1264.2857142857142,-2.041241452319316,2.1666666666666687,239314.77551020405,1464.0,1464.0,0.0,8612,32,1430,1430.0,1230.2857142857142,-2.041241452319316,2.1666666666666687,239314.77551020405,1430.0,1430.0,0.0,1633539901.046917,0.0118749141693115,0.3050529956817625
12,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,10314,66,1464,1464.0,1289.25,-2.2677868380553634,3.1428571428571432,213762.9375,1464.0,1464.0,0.0,10042,32,1430,1430.0,1255.25,-2.2677868380553634,3.1428571428571432,213762.9375,1430.0,1430.0,0.0,1633539901.047854,0.0009369850158691,0.30598998069763156
13,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,11778,66,1464,1464.0,1308.6666666666667,-2.474873734152917,4.124999999999999,193027.5555555556,1464.0,1464.0,0.0,11472,32,1430,1430.0,1274.6666666666667,-2.474873734152917,4.124999999999999,193027.5555555556,1430.0,1430.0,0.0,1633539901.049091,0.001237154006958,0.30722713470458957
14,1,0,0,0,2,3,1200,805182303,1234,64,1220,6,42393,50920,0,0,0,0,6,805182303,6,41668,50920,13012,66,1464,1464.0,1301.2,-2.544386313982858,4.687256605171126,174226.56,1464.0,1464.0,0.0,12672,32,1430,1430.0,1267.2,-2.544386313982858,4.687256605171126,174226.56,1430.0,1430.0,0.0,1633539901.050188,0.0010969638824462,0.30832409858703574
15,0,1,0,0,2,2,184,4026531834,218,1,204,17,37020,37000,0,0,0,0,6,805182303,6,41668,50920,13230,66,1464,1464.0,1202.7272727272727,-1.6069755650240405,0.6906584083861711,255356.5619834711,1464.0,1349.0,115.0,12856,32,1430,1430.0,1168.7272727272727,-1.6069755650240405,0.6906584083861711,255356.5619834711,1430.0,1315.0,115.0,1633539901.089378,0.0391900539398193,0.347514152526855
16,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,13296,66,1464,1464.0,1108.0,-1.130693425135706,-0.6568113788491567,332782.6666666667,1464.0,980.0,484.0,12888,32,1430,1430.0,1074.0,-1.130693425135706,-0.6568113788491567,332782.6666666667,1430.0,946.0,484.0,1633539901.12466,0.0352818965911865,0.38279604911804155
17,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,13362,66,1464,1464.0,1027.8461538461538,-0.8163789858327353,-1.2866558049964607,384279.6686390533,1464.0,218.0,1246.0,12920,32,1430,1430.0,993.8461538461538,-0.8163789858327353,-1.2866558049964607,384279.6686390533,1430.0,184.0,1246.0,1633539901.124717,5.698204040527344e-05,0.3828530311584468
18,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,13428,66,1464,1464.0,959.1428571428572,-0.5828590729779941,-1.62257895428977,418192.9795918368,1464.0,104.0,1360.0,12952,32,1430,1430.0,925.1428571428572,-0.5828590729779941,-1.62257895428977,418192.9795918368,1430.0,70.0,1360.0,1633539901.125161,0.0004439353942871,0.38329696655273393
19,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,13494,66,1464,1464.0,899.6,-0.3968896530016533,-1.8101648787337985,439948.3733333333,1464.0,66.0,1398.0,12984,32,1430,1430.0,865.6,-0.3968896530016533,-1.8101648787337985,439948.3733333333,1430.0,32.0,1398.0,1633539901.125218,5.698204040527344e-05,0.3833539485931392
20,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,13560,66,1464,1349.0,847.5,-0.2419526446320612,-1.912579281942488,453167.75,1464.0,66.0,1398.0,13016,32,1430,1315.0,813.5,-0.2419526446320612,-1.912579281942488,453167.75,1430.0,32.0,1398.0,1633539901.125251,3.314018249511719e-05,0.3833870887756343
21,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,13626,66,1464,1234.0,801.5294117647059,-0.1087481173710082,-1.961609455476149,460323.5432525951,1464.0,66.0,1398.0,13048,32,1430,1200.0,767.5294117647059,-0.1087481173710082,-1.961609455476149,460323.5432525951,1430.0,32.0,1398.0,1633539901.13532,0.0100688934326171,0.3934559822082514
22,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,13692,66,1464,726.0,760.6666666666666,0.0084377209843332,-1.974983825871954,463136.0,1464.0,66.0,1398.0,13080,32,1430,692.0,726.6666666666666,0.0084377209843332,-1.974983825871954,463136.0,1430.0,32.0,1398.0,1633539901.13625,0.0009300708770751,0.3943860530853265
23,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,6,805182303,6,41668,50920,13758,66,1464,218.0,724.1052631578947,0.1133493412204653,-1.9633667466728533,462821.6731301939,1464.0,66.0,1398.0,13112,32,1430,184.0,690.1052631578947,0.1133493412204653,-1.9633667466728533,462821.6731301939,1430.0,32.0,1398.0,1633539901.137331,0.0010809898376464,0.39546704292297286
