Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,3,146,2211110130,180,64,166,17,39132,63194,0,0,0,0,9,3232270703,6,50920,50920,1744,98,218,110.0,116.26666666666668,2.2183207751566267,3.469920334920852,1132.1955555555553,110.0,98.0,12.0,1234,64,184,76.0,82.26666666666667,2.2183207751566267,3.469920334920852,1132.1955555555553,76.0,64.0,12.0,1634046787.209795,0.0,0.0
1,0,1,0,0,2,3,394,2211110130,428,64,414,17,39132,63194,0,0,0,0,9,3232270703,6,50920,50920,2172,98,428,110.0,135.75,2.8281886972219903,7.081600520951298,6755.4375,110.0,98.0,12.0,1628,64,394,76.0,101.75,2.8281886972219903,7.081600520951298,6755.4375,76.0,64.0,12.0,1634046787.212559,0.0027639865875244,0.0027639865875244
2,0,1,0,0,3,2,32,3232270703,66,47,52,17,63194,39132,0,0,0,0,9,3232270703,6,50920,50920,2238,66,428,110.0,131.64705882352942,2.853658787798806,7.450459462239712,6627.404844290659,110.0,98.0,12.0,1660,32,394,76.0,97.6470588235294,2.8536587877988078,7.450459462239717,6627.404844290657,76.0,64.0,12.0,1634046787.214949,0.002389907836914,0.0051538944244384
3,0,1,0,0,3,2,76,3232270703,110,47,96,17,63194,39132,0,0,0,0,9,3232270703,6,50920,50920,2348,66,428,110.0,130.44444444444446,2.963558863874494,8.157540608587222,6283.802469135803,110.0,98.0,12.0,1736,32,394,76.0,96.44444444444444,2.963558863874494,8.157540608587222,6283.802469135803,76.0,64.0,12.0,1634046787.221938,0.0069890022277832,0.0121428966522216
4,0,1,0,0,3,2,32,3232270703,66,47,52,17,63194,39132,0,0,0,0,9,3232270703,6,50920,50920,2414,66,428,110.0,127.05263157894736,2.993127162929526,8.529004353272681,6160.155124653739,110.0,98.0,12.0,1768,32,394,76.0,93.05263157894736,2.993127162929526,8.529004353272681,6160.155124653739,76.0,64.0,12.0,1634046787.254509,0.0325710773468017,0.0447139739990233
5,0,1,0,0,3,2,32,3232270703,66,47,52,17,63194,39132,0,0,0,0,9,3232270703,6,50920,50920,2480,66,428,104.0,124.0,3.030310102297378,8.919869400131901,6029.2,110.0,98.0,12.0,1800,32,394,70.0,90.0,3.030310102297378,8.919869400131901,6029.2,76.0,64.0,12.0,1634046787.25867,0.0041611194610595,0.0488750934600828
6,0,1,0,0,3,2,64,3232270703,98,47,84,17,63194,39132,0,0,0,0,9,3232270703,6,50920,50920,98,98,98,98.0,98.0,0.0,-3.0,0.0,98.0,98.0,0.0,64,64,64,64.0,64.0,0.0,-3.0,0.0,64.0,64.0,0.0,1634046787.300619,0.0419487953186035,0.0908238887786863
7,1,0,0,0,2,3,71,805182303,105,64,91,6,41668,50920,0,0,0,0,9,3232270703,6,50920,50920,203,98,105,101.5,101.5,0.0,-2.0,12.25,103.25,99.75,3.5,135,64,71,67.5,67.5,0.0,-2.0,12.25,69.25,65.75,3.5,1634046787.308773,0.0081541538238525,0.0989780426025388
8,0,1,0,0,2,3,394,2211110130,428,64,414,17,39132,63194,0,0,0,0,9,3232270703,6,50920,50920,631,98,428,105.0,210.33333333333331,0.7060103625098345,-1.4999999999999996,23697.55555555555,266.5,101.5,165.0,529,64,394,71.0,176.33333333333334,0.7060103625098345,-1.4999999999999996,23697.55555555555,232.5,67.5,165.0,1634046787.327553,0.0187799930572509,0.1177580356597897
9,0,1,0,0,2,3,148,2211110130,182,64,168,17,39132,63194,0,0,0,0,9,3232270703,6,50920,50920,813,98,428,143.5,203.25,0.9614862163990424,-0.8462700196724677,17923.6875,243.5,103.25,140.25,677,64,394,109.5,169.25,0.9614862163990424,-0.8462700196724677,17923.6875,209.5,69.25,140.25,1634046787.3289,0.0013470649719238,0.1191051006317135
