Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,184,4294967295,218,64,204,17,46981,37010,0,0,0,0,10,3232270703,17,43692,49830,2373,66,291,218.0,182.53846153846155,-0.4668266654303471,-1.045164048238918,5539.633136094673,218.0,134.0,84.0,1931,32,257,184.0,148.53846153846155,-0.4668266654303471,-1.045164048238918,5539.633136094673,184.0,100.0,84.0,1633539804.596941,0.0,0.0
1,1,0,0,0,3,2,78,3232270809,112,48,98,6,50920,42393,0,0,0,0,10,3232270703,17,43692,49830,2485,66,291,212.0,177.5,-0.2985908506974311,-1.1911484173272586,5473.964285714285,218.0,117.5,100.5,2009,32,257,178.0,143.5,-0.2985908506974311,-1.1911484173272586,5473.964285714285,184.0,83.5,100.5,1633539804.870736,0.2737948894500732,0.2737948894500732
2,1,0,0,0,2,3,32,805182303,66,64,52,6,42393,50920,0,0,0,0,10,3232270703,17,43692,49830,2551,66,291,206.0,170.06666666666666,-0.1633198150453313,-1.3601369719951113,5882.595555555554,218.0,89.0,129.0,2041,32,257,172.0,136.06666666666666,-0.1633198150453313,-1.3601369719951113,5882.595555555554,184.0,55.0,129.0,1633539804.93195,0.0612142086029052,0.3350090980529784
3,1,0,0,0,3,2,319,3232270809,353,48,339,6,50920,42393,0,0,0,0,10,3232270703,17,43692,49830,2904,66,353,212.0,181.5,0.0860455337968845,-0.9464031372798334,7475.75,222.75,100.5,122.25,2360,32,319,178.0,147.5,0.0860455337968845,-0.9464031372798334,7475.75,188.75,66.5,122.25,1633539804.967369,0.0354189872741699,0.3704280853271483
4,1,0,0,0,3,2,181,3232270809,215,48,201,6,50920,42393,0,0,0,0,10,3232270703,17,43692,49830,3119,66,353,215.0,183.4705882352941,0.0210479778843644,-0.8598658151564256,7098.131487889274,218.0,112.0,106.0,2541,32,319,181.0,149.47058823529412,0.0210479778843644,-0.8598658151564256,7098.131487889274,184.0,78.0,106.0,1633539804.967428,5.888938903808594e-05,0.3704869747161864
5,1,0,0,0,2,3,32,805182303,66,64,52,6,42393,50920,0,0,0,0,10,3232270703,17,43692,49830,3185,66,353,210.5,176.94444444444446,0.1054953379217828,-0.9649526618957864,7427.83024691358,218.0,77.5,140.5,2573,32,319,176.5,142.94444444444446,0.1054953379217828,-0.9649526618957864,7427.83024691358,184.0,43.5,140.5,1633539805.041231,0.0738029479980468,0.44428992271423323
6,1,0,0,0,2,3,32,805182303,66,64,52,6,42393,50920,0,0,0,0,10,3232270703,17,43692,49830,3251,66,353,206.0,171.10526315789474,0.1887775452404737,-1.0228300192680222,7650.620498614959,218.0,66.0,152.0,2605,32,319,172.0,137.10526315789474,0.1887775452404737,-1.0228300192680222,7650.620498614959,184.0,32.0,152.0,1633539805.043843,0.0026121139526367,0.44690203666686995
7,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,10,3232270703,17,43692,49830,4715,66,1464,210.5,235.75,3.570534693165342,12.186523564852193,86667.9875,222.75,66.0,156.75,4035,32,1430,176.5,201.75,3.570534693165342,12.186523564852193,86667.9875,188.75,32.0,156.75,1633539805.059403,0.0155599117279052,0.46246194839477517
8,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,10,3232270703,17,43692,49830,1464,1464,1464,1464.0,1464.0,0.0,-3.0,0.0,1464.0,1464.0,0.0,1430,1430,1430,1430.0,1430.0,0.0,-3.0,0.0,1430.0,1430.0,0.0,1633539805.072906,0.013503074645996,0.47596502304077115
9,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,10,3232270703,17,43692,49830,2928,1464,1464,1464.0,1464.0,0.0,-3.0,0.0,1464.0,1464.0,0.0,2860,1430,1430,1430.0,1430.0,0.0,-3.0,0.0,1430.0,1430.0,0.0,1633539805.110362,0.0374560356140136,0.5134210586547847
