Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,313,3232270836,347,224,333,6,8886,40399,0,0,0,0,8,3232270809,17,5000,5000,2284,54,347,214.0,190.33333333333331,-0.0055020638914846,-0.9129471269320288,9514.888888888889,219.25,105.75,113.5,1876,20,313,180.0,156.33333333333334,-0.0055020638914846,-0.9129471269320288,9514.888888888889,185.25,71.75,113.5,1633459483.99324,0.0,0.0
1,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,8,3232270809,17,5000,5000,2338,54,347,214.0,179.84615384615384,0.1175483738755194,-1.0471759401099046,10102.745562130176,214.0,54.0,160.0,1896,20,313,180.0,145.84615384615384,0.1175483738755194,-1.0471759401099046,10102.745562130176,180.0,20.0,160.0,1633459484.202151,0.2089109420776367,0.2089109420776367
2,1,0,0,0,2,2,201,597822746,235,255,221,6,40399,8886,0,0,0,0,8,3232270809,17,5000,5000,2573,54,347,214.0,183.78571428571428,0.0101316168756146,-0.9887364246117656,9582.882653061226,229.75,71.25,158.5,2097,20,313,180.0,149.78571428571428,0.0101316168756146,-0.9887364246117656,9582.882653061226,195.75,37.25,158.5,1633459484.347979,0.1458280086517334,0.3547389507293701
3,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40399,0,0,0,0,8,3232270809,17,5000,5000,2696,54,347,214.0,179.73333333333332,0.1200577384571567,-0.9313402146243795,9173.928888888891,224.5,88.5,136.0,2186,20,313,180.0,145.73333333333332,0.1200577384571567,-0.9313402146243795,9173.928888888891,190.5,54.5,136.0,1633459484.439812,0.0918328762054443,0.4465718269348144
4,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,8,3232270809,17,5000,5000,2750,54,347,214.0,171.875,0.21481292805701,-0.9993153370354856,9526.859375,219.25,54.0,165.25,2206,20,313,180.0,137.875,0.21481292805701,-0.9993153370354856,9526.859375,185.25,20.0,165.25,1633459484.452255,0.0124430656433105,0.4590148925781249
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,8,3232270809,17,5000,5000,2964,54,347,214.0,174.35294117647058,0.1448322762712926,-0.9369883636254576,9064.698961937718,214.0,54.0,160.0,2386,20,313,180.0,140.35294117647058,0.1448322762712926,-0.9369883636254576,9064.698961937718,180.0,20.0,160.0,1633459485.499273,1.047018051147461,1.506032943725586
6,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,8,3232270809,17,5000,5000,3178,54,347,214.0,176.55555555555554,0.0801240233688046,-0.8662453163405726,8643.580246913582,214.0,71.25,142.75,2566,20,313,180.0,142.55555555555554,0.0801240233688046,-0.8662453163405726,8643.580246913582,180.0,37.25,142.75,1633459490.501185,5.001911878585815,6.507944822311401
7,0,1,0,0,2,1,39,3232270593,73,255,59,17,4528,53,1,0,0,0,9,3232270809,17,5000,5000,3251,54,347,214.0,171.10526315789474,0.1783950954611905,-0.9146172183609296,8723.357340720222,214.0,63.5,150.5,2605,20,313,180.0,137.10526315789474,0.1783950954611905,-0.9146172183609296,8723.357340720222,180.0,29.5,150.5,1633459492.814813,2.313627958297729,8.82157278060913
8,0,1,0,0,1,2,87,3232270836,121,128,107,17,53,4528,2,0,0,0,9,3232270809,17,5000,5000,3372,54,347,214.0,168.6,0.2529815211419216,-0.8390680531691985,8406.439999999999,214.0,68.25,145.75,2692,20,313,180.0,134.6,0.2529815211419216,-0.8390680531691985,8406.439999999999,180.0,34.25,145.75,1633459492.84279,0.0279769897460937,8.849549770355225
9,1,0,0,1,3,1,24,584749847,58,255,44,6,54635,443,2,0,0,0,10,3232270809,17,5000,5000,58,58,58,58.0,58.0,0.0,-3.0,0.0,58.0,58.0,0.0,24,24,24,24.0,24.0,0.0,-3.0,0.0,24.0,24.0,0.0,1633459492.846398,0.003608226776123,8.853157997131348
