Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,313,3232270836,347,224,333,6,8886,40399,0,0,0,0,10,3232270809,17,5000,5000,3140,54,347,123.0,165.26315789473685,0.4198557582292881,-0.7582110845006373,8472.404432132964,224.5,88.5,136.0,2494,20,313,89.0,131.26315789473685,0.4198557582292881,-0.7582110845006373,8472.404432132964,190.5,54.5,136.0,1633459199.316614,0.0,0.0
1,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,10,3232270809,17,5000,5000,3194,54,347,123.0,159.7,0.4815249983283207,-0.7540996345296,8636.81,219.25,54.0,165.25,2514,20,313,89.0,125.7,0.4815249983283203,-0.7540996345296009,8636.810000000001,185.25,20.0,165.25,1633459199.320486,0.0038721561431884,0.0038721561431884
2,1,0,0,0,2,2,201,597822746,235,255,221,6,40399,8886,0,0,0,0,10,3232270809,17,5000,5000,235,235,235,235.0,235.0,0.0,-3.0,0.0,235.0,235.0,0.0,201,201,201,201.0,201.0,0.0,-3.0,0.0,201.0,201.0,0.0,1633459199.691583,0.3710968494415283,0.37496900558471674
3,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40399,0,0,0,0,10,3232270809,17,5000,5000,358,123,235,179.0,179.0,0.0,-2.0,3136.0,207.0,151.0,56.0,290,89,201,145.0,145.0,0.0,-2.0,3136.0,173.0,117.0,56.0,1633459199.779301,0.0877180099487304,0.46268701553344715
4,1,0,0,0,2,2,201,597822746,235,255,221,6,40399,8886,0,0,0,0,10,3232270809,17,5000,5000,593,123,235,235.0,197.66666666666663,-0.7071067811865472,-1.5000000000000004,2787.555555555555,235.0,179.0,56.0,491,89,201,201.0,163.66666666666666,-0.7071067811865472,-1.5000000000000004,2787.555555555555,201.0,145.0,56.0,1633459199.803904,0.0246031284332275,0.48729014396667464
5,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40399,0,0,0,0,10,3232270809,17,5000,5000,716,123,235,179.0,179.0,0.0,-2.0,3136.0,235.0,123.0,112.0,580,89,201,145.0,145.0,0.0,-2.0,3136.0,201.0,89.0,112.0,1633459199.891105,0.0872008800506591,0.5744910240173338
6,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,10,3232270809,17,5000,5000,770,54,235,123.0,154.0,0.0018618444708448,-1.5017545927983234,5008.8,235.0,123.0,112.0,600,20,201,89.0,120.0,0.0018618444708448,-1.5017545927983234,5008.8,201.0,89.0,112.0,1633459199.894037,0.002932071685791,0.5774230957031248
7,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,10,3232270809,17,5000,5000,984,54,235,168.5,164.0,-0.3275587175333337,-1.4044963086614854,4674.0,229.75,123.0,106.75,780,20,201,134.5,130.0,-0.3275587175333337,-1.4044963086614854,4674.0,195.75,89.0,106.75,1633459200.317037,0.4230000972747803,1.000423192977905
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,10,3232270809,17,5000,5000,1198,54,235,214.0,171.14285714285714,-0.5813498597803429,-1.163650285975368,4312.408163265306,224.5,123.0,101.5,960,20,201,180.0,137.14285714285714,-0.5813498597803429,-1.163650285975368,4312.408163265306,190.5,89.0,101.5,1633459205.305825,4.988787889480591,5.989211082458496
9,1,0,0,0,2,2,89,597822746,123,255,109,6,40399,8886,0,0,0,0,10,3232270809,17,5000,5000,1321,54,235,168.5,165.125,-0.3329674442398199,-1.2961692878619029,4026.859375,219.25,123.0,96.25,1049,20,201,134.5,131.125,-0.3329674442398199,-1.2961692878619029,4026.859375,185.25,89.0,96.25,1633459206.447009,1.1411840915679932,7.130395174026489
10,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40399,0,0,0,0,10,3232270809,17,5000,5000,1444,54,235,123.0,160.44444444444446,-0.1352275402973875,-1.3095009782517355,3754.691358024691,214.0,123.0,91.0,1138,20,201,89.0,126.44444444444444,-0.1352275402973869,-1.3095009782517362,3754.691358024691,180.0,89.0,91.0,1633459206.533123,0.0861139297485351,7.216509103775024
11,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,10,3232270809,17,5000,5000,1498,54,235,123.0,149.8,-0.0237428971017639,-1.398598524306317,4398.960000000001,214.0,123.0,91.0,1158,20,201,89.0,115.8,-0.0237428971017631,-1.3985985243063166,4398.96,180.0,89.0,91.0,1633459206.668209,0.1350860595703125,7.351595163345337
12,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,10,3232270809,17,5000,5000,1712,54,235,123.0,155.63636363636363,-0.2043666746341892,-1.3968695468281322,4339.685950413223,214.0,123.0,91.0,1338,20,201,89.0,121.63636363636364,-0.2043666746341899,-1.3968695468281322,4339.685950413224,180.0,89.0,91.0,1633459210.321608,3.653398990631104,11.00499415397644
