Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,313,3232270836,347,223,333,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,2910,54,347,214.0,181.875,0.0566203598395189,-0.8355514006541127,8669.359375,219.25,105.75,113.5,2366,20,313,180.0,147.875,0.0566203598395189,-0.8355514006541127,8669.359375,185.25,71.75,113.5,1633703297.557631,0.0,0.0
1,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,2964,54,347,214.0,174.35294117647058,0.1448322762712926,-0.9369883636254568,9064.698961937716,214.0,54.0,160.0,2386,20,313,180.0,140.35294117647058,0.1448322762712926,-0.9369883636254568,9064.698961937716,180.0,20.0,160.0,1633703297.560397,0.0027658939361572,0.0027658939361572
2,1,0,0,0,2,2,201,753648327,235,255,221,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,3199,54,347,214.0,177.72222222222223,0.0511815314711167,-0.9162297991605844,8754.089506172842,229.75,71.25,158.5,2587,20,313,180.0,143.72222222222223,0.0511815314711167,-0.9162297991605844,8754.089506172842,195.75,37.25,158.5,1633703297.908037,0.3476400375366211,0.3504059314727783
3,1,0,0,0,2,2,89,3232270836,123,223,109,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,3322,54,347,214.0,174.8421052631579,0.134143743101146,-0.8600316651878046,8442.659279778392,224.5,88.5,136.0,2676,20,313,180.0,140.8421052631579,0.134143743101146,-0.8600316651878046,8442.659279778392,190.5,54.5,136.0,1633703297.995217,0.0871801376342773,0.4375860691070556
4,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,3376,54,347,214.0,168.8,0.2075109910752559,-0.92275697952194,8714.16,219.25,54.0,165.25,2696,20,313,180.0,134.8,0.2075109910752559,-0.92275697952194,8714.16,185.25,20.0,165.25,1633703298.182376,0.1871588230133056,0.6247448921203612
5,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,214,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,180,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1633703298.724197,0.5418210029602051,1.1665658950805664
6,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,428,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,360,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1633703303.727013,5.002816200256348,6.169382095336914
7,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,642,214,214,214.0,214.0,0.0,-3.0,0.0,214.0,214.0,0.0,540,180,180,180.0,180.0,0.0,-3.0,0.0,180.0,180.0,0.0,1633703308.734775,5.007761955261231,11.177144050598145
8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,11,3232270809,17,5000,5000,702,60,214,214.0,175.5,-1.1547005383792517,-0.6666666666666665,4446.75,214.0,175.5,38.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633703312.489143,3.7543678283691406,14.931511878967285
9,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,11,3232270809,17,5000,5000,744,42,214,214.0,148.8,-0.4236842018408699,-1.7997668228530386,6408.96,214.0,60.0,154.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633703312.489163,2.002716064453125e-05,14.93153190612793
10,1,0,0,0,2,2,89,753648327,123,255,109,6,40528,8886,0,0,2,0,11,3232270809,17,5000,5000,867,42,214,168.5,144.5,-0.2842669277313164,-1.692578665118501,5433.25,214.0,75.75,138.25,629,89,180,180.0,157.25,-1.1547005383792517,-0.6666666666666665,1552.6875,180.0,157.25,22.75,1633703312.491734,0.0025711059570312,14.934103012084961
11,1,0,0,0,2,2,89,3232270836,123,223,109,6,8886,40528,0,0,2,0,11,3232270809,17,5000,5000,990,42,214,123.0,141.42857142857142,-0.1716180051644682,-1.5524360095931595,4713.673469387756,214.0,91.5,122.5,718,89,180,180.0,143.6,-0.4082482904638626,-1.833333333333334,1987.44,180.0,89.0,91.0,1633703312.577394,0.0856599807739257,15.019762992858887
12,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,2,0,11,3232270809,17,5000,5000,1044,42,214,123.0,130.5,0.0910386887916216,-1.6480257155203153,4960.5,214.0,58.5,155.5,738,20,180,134.5,123.0,-0.4419411806684274,-1.2847727264447342,3778.0,180.0,89.0,91.0,1633703312.69674,0.1193459033966064,15.139108896255493
