Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,3013,42,347,123.0,150.65,0.379268646336567,-0.5752839787339754,6748.527500000001,214.0,58.5,155.5,2299,20,313,134.5,127.72222222222224,0.276087040107429,-0.4376803283538297,6263.422839506172,180.0,89.0,91.0,1633703028.540975,0.0,0.0
1,1,0,0,0,2,2,313,3232270836,347,219,333,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,347,347,347,347.0,347.0,0.0,-3.0,0.0,347.0,347.0,0.0,2612,20,313,180.0,137.47368421052633,0.3587300726577633,-0.5445525570875436,7645.407202216066,180.0,89.0,91.0,1633703030.769763,2.228787899017334,2.228787899017334
2,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,11,3232270809,17,5000,5000,407,60,347,203.5,203.5,0.0,-2.0,20592.25,275.25,131.75,143.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633703030.774241,0.0044779777526855,2.2332658767700195
3,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,1,0,11,3232270809,17,5000,5000,461,54,347,60.0,153.66666666666666,0.7060856823222714,-1.5,18694.88888888889,203.5,57.0,146.5,2632,20,313,134.5,131.6,0.4065831554962573,-0.5924816976499412,7918.639999999999,180.0,71.75,108.25,1633703030.774241,0.0,2.2332658767700195
4,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,11,3232270809,17,5000,5000,503,42,347,57.0,125.75,1.1457581429129982,-0.6733653169885674,16359.1875,131.75,51.0,80.75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633703030.774261,2.002716064453125e-05,2.233285903930664
5,1,0,0,0,2,2,201,753648327,235,255,221,6,40528,8886,0,0,2,0,11,3232270809,17,5000,5000,738,42,347,60.0,147.6,0.6453335418077761,-1.3111284362984903,14997.04,235.0,54.0,181.0,201,201,201,201.0,201.0,0.0,-3.0,0.0,201.0,201.0,0.0,1633703031.122229,0.3479681015014648,2.581254005432129
6,1,0,0,0,2,2,89,3232270836,123,219,109,6,8886,40528,0,0,2,0,11,3232270809,17,5000,5000,861,42,347,91.5,143.5,0.8078034677959667,-0.889865260604894,12581.583333333334,207.0,55.5,151.5,290,89,201,145.0,145.0,0.0,-2.0,3136.0,173.0,117.0,56.0,1633703031.210877,0.0886478424072265,2.6699018478393555
7,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,2,0,11,3232270809,17,5000,5000,915,42,347,60.0,130.71428571428572,1.0407325563444385,-0.4581748364064317,11765.061224489797,179.0,54.0,125.0,310,20,201,89.0,103.33333333333331,0.2811653134914668,-1.4999999999999991,5562.888888888888,145.0,54.5,90.5,1633703031.406607,0.1957299709320068,2.8656318187713623
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,2,0,11,3232270809,17,5000,5000,1129,42,347,91.5,141.125,0.7641289963913226,-0.7925265436210585,11053.109375,219.25,54.0,165.25,490,20,201,134.5,122.5,-0.2875960122599141,-1.5571661850015173,5274.25,185.25,71.75,113.5,1633703033.553185,2.146578073501587,5.012209892272949
9,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,2,0,11,3232270809,17,5000,5000,1343,42,347,123.0,149.22222222222223,0.5512136088115168,-0.9462202471201469,10349.506172839509,214.0,54.0,160.0,670,20,201,180.0,134.0,-0.6584443925691895,-1.2073006430619342,4748.4,180.0,89.0,91.0,1633703038.549331,4.996145963668823,10.008355855941772
