Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,2295,54,347,214.0,176.53846153846155,-0.0265685495140523,-0.6742341648576282,7206.863905325443,214.0,123.0,91.0,1230,20,201,180.0,136.66666666666666,-0.877832463586835,-1.0041940793790598,4780.222222222223,180.0,89.0,91.0,1633702523.197152,0.0,0.0
1,1,0,0,0,2,2,313,3232270836,347,219,333,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,2642,54,347,214.0,188.7142857142857,0.0275580436403017,-0.7963686797404783,8619.346938775509,229.75,123.0,106.75,1543,20,313,180.0,154.3,-0.1569954534286066,-0.4016190789267178,7100.609999999999,180.0,111.75,68.25,1633702525.050546,1.8533940315246584,1.8533940315246584
2,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,2696,54,347,214.0,179.73333333333332,0.1200577384571567,-0.931340214624378,9173.928888888888,224.5,88.5,136.0,1563,20,313,180.0,142.0909090909091,-0.0180090356002177,-0.7679429384949694,7945.719008264463,180.0,54.5,125.5,1633702525.083729,0.0331830978393554,1.886577129364014
3,1,0,0,0,2,2,201,753648327,235,255,221,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,2931,54,347,214.0,183.1875,0.0224047932874851,-0.8863685358843143,8779.52734375,235.0,105.75,129.25,1764,20,313,180.0,147.0,-0.1615396702948616,-0.6980901944335547,7548.666666666667,185.25,71.75,113.5,1633702525.403856,0.320127010345459,2.2067041397094727
4,1,0,0,0,2,2,89,3232270836,123,219,109,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,3054,54,347,214.0,179.64705882352942,0.1213154228325858,-0.8388733777319999,8463.640138408306,235.0,123.0,112.0,1853,20,313,180.0,142.53846153846155,-0.0265685495140522,-0.67423416485763,7206.863905325445,180.0,89.0,91.0,1633702525.49259,0.0887339115142822,2.295438051223755
5,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,3108,54,347,214.0,172.66666666666666,0.1980387156572085,-0.9176725223342932,8821.777777777777,229.75,71.25,158.5,1873,20,313,180.0,133.78571428571428,0.0831071233861804,-0.8564527589344744,7688.025510204081,180.0,37.25,142.75,1633702525.583715,0.0911250114440918,2.3865630626678467
6,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,3322,54,347,214.0,174.8421052631579,0.134143743101146,-0.8600316651878059,8442.659279778394,224.5,88.5,136.0,2053,20,313,180.0,136.86666666666667,-0.0139439204021818,-0.7861963926490105,7308.3822222222225,180.0,54.5,125.5,1633702528.213975,2.6302599906921387,5.016823053359985
7,1,0,0,0,2,2,89,753648327,123,255,109,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,3445,54,347,214.0,172.25,0.2111065014018114,-0.7926937869906125,8148.1875,219.25,105.75,113.5,2142,20,313,180.0,133.875,0.0816985471214822,-0.7177660507057988,6985.859375,180.0,71.75,108.25,1633702531.115386,2.9014110565185547,7.91823410987854
8,1,0,0,0,2,2,89,3232270836,123,219,109,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,123,123,123,123.0,123.0,0.0,-3.0,0.0,123.0,123.0,0.0,2231,20,313,180.0,131.23529411764707,0.1692723707118989,-0.6343770583566068,6686.415224913495,180.0,89.0,91.0,1633702531.202299,0.0869131088256836,8.005147218704224
9,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,177,54,123,88.5,88.5,0.0,-2.0,1190.25,105.75,71.25,34.5,2251,20,313,134.5,125.05555555555556,0.2413934160243081,-0.7265155089682236,6964.163580246914,180.0,37.25,142.75,1633702531.336233,0.1339337825775146,8.139081001281738
10,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,391,54,214,123.0,130.33333333333334,0.1664724957017492,-1.5000000000000004,4293.555555555556,168.5,88.5,80.0,2431,20,313,180.0,127.94736842105264,0.1498527878531729,-0.7240821292401827,6748.15512465374,180.0,54.5,125.5,1633702533.206539,1.8703060150146484,10.009387016296387
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,605,54,214,168.5,151.25,-0.3671212403472702,-1.5265310244943446,4532.6875,214.0,105.75,108.25,2611,20,313,180.0,130.55,0.0659783987627326,-0.7037931648866294,6539.4475,180.0,71.75,108.25,1633702538.209,5.002461194992065,15.011848211288452
