Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,313,3232270836,347,219,333,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,952,54,347,214.0,190.4,0.212243723816051,-0.964688354091802,9757.04,214.0,123.0,91.0,313,313,313,313.0,313.0,0.0,-3.0,0.0,313.0,313.0,0.0,1633702337.943152,0.0,0.0
1,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,1006,54,347,168.5,167.66666666666666,0.4418018251583961,-0.9947094954063648,10714.888888888889,214.0,71.25,142.75,333,20,313,166.5,166.5,0.0,-2.0,21462.25,239.75,93.25,146.5,1633702338.058445,0.1152930259704589,0.1152930259704589
2,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,1220,54,347,214.0,174.28571428571428,0.2682814938744365,-0.8824296049680078,9447.061224489797,214.0,88.5,125.5,513,20,313,180.0,171.0,-0.1122769175921689,-1.4999999999999998,14348.666666666666,246.5,100.0,146.5,1633702338.076238,0.0177929401397705,0.1330859661102294
3,1,0,0,0,2,2,201,753648327,235,255,221,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,1455,54,347,214.0,181.875,0.0566203598395189,-0.8355514006541127,8669.359375,219.25,105.75,113.5,714,20,313,190.5,178.5,-0.3363302443522151,-0.9939776618484122,10930.25,229.0,140.0,89.0,1633702338.291255,0.2150170803070068,0.3481030464172362
4,1,0,0,0,2,2,89,3232270836,123,219,109,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,1578,54,347,214.0,175.33333333333334,0.2440009972103449,-0.7078927869744152,8048.444444444444,214.0,123.0,91.0,803,20,313,180.0,160.6,0.092910319065618,-1.0912547498198564,10025.84,201.0,89.0,112.0,1633702338.379626,0.0883710384368896,0.4364740848541258
5,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,1632,54,347,168.5,163.2,0.3701901350827926,-0.794036659458992,8568.560000000001,214.0,71.25,142.75,823,20,313,134.5,137.16666666666666,0.3486162481897961,-1.162977940543195,11100.47222222222,195.75,37.25,158.5,1633702338.558882,0.1792559623718261,0.6157300472259519
6,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,1846,54,347,214.0,167.8181818181818,0.2344804392126386,-0.7560151095508956,8002.876033057851,214.0,88.5,125.5,1003,20,313,180.0,143.28571428571428,0.1890255359980369,-1.0194342083699277,9739.346938775512,190.5,54.5,136.0,1633702343.077058,4.518176078796387,5.133906126022339
7,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,2060,54,347,214.0,171.66666666666666,0.1161957652446034,-0.682999045796854,7498.888888888888,214.0,105.75,108.25,1183,20,313,180.0,147.875,0.0566203598395189,-0.8355514006541127,8669.359375,185.25,71.75,113.5,1633702348.088399,5.011340856552124,10.145246982574463
8,1,0,0,0,2,2,89,753648327,123,255,109,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,2183,54,347,214.0,167.92307692307693,0.2352763494926907,-0.5690167340974952,7090.224852071007,214.0,123.0,91.0,1272,20,313,180.0,141.33333333333334,0.2440009972103449,-0.7078927869744152,8048.444444444444,180.0,89.0,91.0,1633702350.758148,2.669749021530152,12.814996004104614
9,1,0,0,0,2,2,89,3232270836,123,219,109,6,8886,40528,0,0,0,0,11,3232270809,17,5000,5000,2306,54,347,168.5,164.71428571428572,0.3426459272402558,-0.4344018036870469,6717.632653061225,214.0,123.0,91.0,1361,20,313,134.5,136.1,0.4041266381303708,-0.5289128039713566,7490.090000000001,180.0,89.0,91.0,1633702350.845219,0.0870709419250488,12.902066946029663
10,1,0,0,0,2,2,20,753648327,54,255,40,6,40528,8886,0,0,0,0,11,3232270809,17,5000,5000,2360,54,347,123.0,157.33333333333334,0.4098845924366937,-0.5147568307540085,7032.48888888889,214.0,88.5,125.5,1381,20,313,89.0,125.54545454545456,0.4933483930319179,-0.5798714014150312,7923.157024793386,180.0,54.5,125.5,1633702351.061253,0.2160341739654541,13.118101119995117
11,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,2574,54,347,168.5,160.875,0.2970914400485148,-0.5423374325112738,6781.109375,214.0,105.75,108.25,1561,20,313,134.5,130.08333333333334,0.3553952422372254,-0.595128888386252,7489.409722222223,180.0,71.75,108.25,1633702353.08437,2.0231168270111084,15.141217947006226
