Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,201,597822746,235,255,221,6,40399,8886,0,0,0,0,11,3232270809,17,5000,5000,931,54,235,214.0,186.2,-1.4420131081800125,0.1811344453283814,4435.36,214.0,214.0,0.0,201,201,201,201.0,201.0,0.0,-3.0,0.0,201.0,201.0,0.0,1633458833.091258,0.0,0.0
1,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40399,0,0,0,0,11,3232270809,17,5000,5000,1054,54,235,214.0,175.66666666666666,-0.943657039984651,-0.7339362016815101,4250.888888888889,214.0,145.75,68.25,290,89,201,145.0,145.0,0.0,-2.0,3136.0,173.0,117.0,56.0,1633458833.17859,0.087332010269165,0.087332010269165
2,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,11,3232270809,17,5000,5000,1108,54,235,214.0,158.28571428571428,-0.475669629591083,-1.5525112747571457,5456.2040816326535,214.0,88.5,125.5,310,20,201,89.0,103.33333333333331,0.2811653134914668,-1.4999999999999991,5562.888888888888,145.0,54.5,90.5,1633458833.373053,0.1944630146026611,0.2817950248718261
3,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,1322,54,235,214.0,165.25,-0.6926944084254577,-1.2991931141485384,5113.6875,214.0,105.75,108.25,490,20,201,134.5,122.5,-0.2875960122599141,-1.5571661850015173,5274.25,185.25,71.75,113.5,1633458835.062989,1.6899359226226809,1.971730947494507
4,1,0,0,0,2,2,201,597822746,235,255,221,6,40399,8886,0,0,0,0,11,3232270809,17,5000,5000,1557,54,235,214.0,173.0,-0.8553543897224493,-1.0286726293468949,5026.0,214.0,123.0,91.0,691,20,201,180.0,138.2,-0.640176753371057,-1.263820389967728,5205.36,201.0,89.0,112.0,1633458839.661343,4.59835410118103,6.570085048675537
5,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40399,0,0,0,0,11,3232270809,17,5000,5000,1680,54,235,214.0,168.0,-0.6584443925691895,-1.2073006430619342,4748.4,214.0,123.0,91.0,780,20,201,134.5,130.0,-0.3275587175333337,-1.4044963086614854,4674.0,195.75,89.0,106.75,1633458839.74855,0.0872068405151367,6.657291889190674
6,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,11,3232270809,17,5000,5000,1734,54,235,214.0,157.63636363636363,-0.4088651414045402,-1.5579708706668072,5390.7768595041325,214.0,88.5,125.5,800,20,201,89.0,114.28571428571428,-0.0424633657816921,-1.621555940188307,5487.918367346939,190.5,54.5,136.0,1633458839.873997,0.1254470348358154,6.782738924026489
7,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,1948,54,235,214.0,162.33333333333334,-0.553419291518214,-1.4205584926290198,5184.222222222222,214.0,105.75,108.25,980,20,201,134.5,122.5,-0.2875960122599141,-1.5571661850015173,5274.25,185.25,71.75,113.5,1633458840.065629,0.1916320323944091,6.974370956420898
8,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,0,0,11,3232270809,17,5000,5000,2162,54,235,214.0,166.30769230769232,-0.6823990970034884,-1.2599454133975792,4974.98224852071,214.0,123.0,91.0,1160,20,201,180.0,128.88888888888889,-0.4876479339410217,-1.4059460001659834,5014.765432098765,180.0,89.0,91.0,1633458845.067333,5.001703977584839,11.976074934005737
9,1,0,0,0,2,2,89,597822746,123,255,109,6,40399,8886,0,0,0,0,11,3232270809,17,5000,5000,2285,54,235,214.0,163.21428571428572,-0.5634172315447822,-1.3252418694966062,4744.025510204082,214.0,123.0,91.0,1249,20,201,134.5,124.9,-0.3349065334442412,-1.4232373143309478,4656.49,180.0,89.0,91.0,1633458845.678535,0.6112020015716553,12.587276935577393
10,1,0,0,0,2,2,89,3232270836,123,224,109,6,8886,40399,0,0,0,0,11,3232270809,17,5000,5000,2408,54,235,214.0,160.53333333333333,-0.4585069466261175,-1.358566908750529,4528.382222222222,214.0,123.0,91.0,1338,20,201,89.0,121.63636363636364,-0.2043666746341899,-1.3968695468281322,4339.685950413224,180.0,89.0,91.0,1633458845.765133,0.0865979194641113,12.673874855041504
11,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,0,0,11,3232270809,17,5000,5000,2462,54,235,168.5,153.875,-0.3143851023868682,-1.5311165982227186,4910.359375,214.0,105.75,108.25,1358,20,201,89.0,113.16666666666669,-0.0586715036317594,-1.5101975186626226,4767.13888888889,180.0,71.75,108.25,1633458845.881981,0.1168479919433593,12.790722846984863
