Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,702,60,214,214.0,175.5,-1.1547005383792517,-0.6666666666666665,4446.75,214.0,175.5,38.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633522749.310958,0.0,0.0
1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,744,42,214,214.0,148.8,-0.4236842018408699,-1.7997668228530386,6408.96,214.0,60.0,154.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633522749.310978,2.002716064453125e-05,2.002716064453125e-05
2,1,0,0,0,2,2,201,597822746,235,255,221,6,40399,8886,0,0,2,0,11,3232270809,17,5000,5000,979,42,235,214.0,163.16666666666666,-0.6919726124027752,-1.459096779151149,6372.805555555556,214.0,98.5,115.5,2459,20,201,180.0,136.61111111111111,-0.7363554949782272,-1.029338544139748,4297.793209876543,180.0,89.0,91.0,1633522749.311571,0.0005929470062255,0.0006129741668700312
3,1,0,0,0,2,2,89,3232270836,123,219,109,6,8886,40399,0,0,2,0,11,3232270809,17,5000,5000,1102,42,235,214.0,157.42857142857142,-0.5011111959606194,-1.5017960115219406,5659.959183673469,214.0,91.5,122.5,2548,20,201,180.0,134.10526315789474,-0.6308048650330655,-1.1220128766103648,4184.620498614959,180.0,89.0,91.0,1633522749.400645,0.0890741348266601,0.08968710899353013
4,0,1,0,0,3,2,180,4294967295,214,255,200,17,54554,6667,0,0,2,0,11,3232270809,17,5000,5000,1316,42,235,214.0,164.5,-0.71718621742932,-1.238917799842219,5302.5,214.0,107.25,106.75,2728,20,201,180.0,136.4,-0.712811830442743,-1.0109493777808114,4075.44,180.0,89.0,91.0,1633522749.426212,0.0255670547485351,0.11525416374206524
5,1,0,0,0,2,2,20,597822746,54,255,40,6,40399,8886,0,0,2,0,11,3232270809,17,5000,5000,1370,42,235,214.0,152.22222222222223,-0.3868751792987396,-1.671437047625576,5919.283950617284,214.0,60.0,154.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633522749.563689,0.1374769210815429,0.2527310848236082
6,0,1,0,0,3,1,39,3232270593,73,255,59,17,53128,53,1,0,2,0,11,3232270809,17,5000,5000,1443,42,235,168.5,144.3,-0.1498026996699072,-1.805688540650667,5892.21,214.0,63.25,150.75,59,20,39,29.5,29.5,0.0,-2.0,90.25,34.25,24.75,9.5,1633522749.823069,0.2593801021575928,0.512111186981201
7,0,1,0,0,1,3,87,3232270836,121,128,107,17,53,53128,2,0,2,0,11,3232270809,17,5000,5000,1564,42,235,123.0,142.1818181818182,-0.0715706518627753,-1.7203091555508436,5401.421487603305,214.0,66.5,147.5,146,20,87,39.0,48.66666666666666,0.4739918625145679,-1.4999999999999998,794.8888888888888,63.0,29.5,33.5,1633522749.860835,0.0377659797668457,0.5498771667480467
8,1,0,0,1,3,1,24,910501276,58,255,44,6,54680,443,2,0,2,0,12,3232270809,17,5000,5000,1622,42,235,122.0,135.16666666666666,0.098711803098215,-1.7433355542629594,5492.63888888889,214.0,59.5,154.5,170,20,87,31.5,42.5,0.9292322741079738,-0.8714832255251674,710.25,51.0,23.0,28.0,1633522749.864362,0.0035269260406494,0.5534040927886961
9,1,0,0,1,1,3,24,3232270836,58,217,44,6,443,54680,2,0,2,0,12,3232270809,17,5000,5000,1680,42,235,121.0,129.23076923076923,0.2450740646943849,-1.70974847007492,5492.946745562131,214.0,58.0,156.0,194,20,87,24.0,38.8,1.271524879126522,-0.1045490034371385,622.96,39.0,24.0,15.0,1633522749.951797,0.0874350070953369,0.640839099884033
